vehicle_id,pv_wp,pv_area_m2,pv_eff
1836744,400.0,2.0,0.2
1836821,400.0,2.0,0.2
1836949,400.0,2.0,0.2
1837038,400.0,2.0,0.2
1837209,400.0,2.0,0.2
1837409,400.0,2.0,0.2
1837656,400.0,2.0,0.2
1837697,400.0,2.0,0.2
1838232,400.0,2.0,0.2
1838297,400.0,2.0,0.2
1838342,400.0,2.0,0.2
1838343,400.0,2.0,0.2
1838405,400.0,2.0,0.2
1838736,400.0,2.0,0.2
1838919,400.0,2.0,0.2
1838993,400.0,2.0,0.2
1839092,400.0,2.0,0.2
1839193,400.0,2.0,0.2
1839269,400.0,2.0,0.2
1839350,400.0,2.0,0.2
1839738,400.0,2.0,0.2
1839932,400.0,2.0,0.2
1840284,400.0,2.0,0.2
1840321,400.0,2.0,0.2
1853366,400.0,2.0,0.2
1854610,400.0,2.0,0.2
1854789,400.0,2.0,0.2
1855125,400.0,2.0,0.2
1855278,400.0,2.0,0.2
1855965,400.0,2.0,0.2
1855994,400.0,2.0,0.2
1856046,400.0,2.0,0.2
1856079,400.0,2.0,0.2
1856138,400.0,2.0,0.2
1856221,400.0,2.0,0.2
1856233,400.0,2.0,0.2
1856463,400.0,2.0,0.2
1856981,400.0,2.0,0.2
1858017,400.0,2.0,0.2
1858195,400.0,2.0,0.2
1858222,400.0,2.0,0.2
1858515,400.0,2.0,0.2
1858609,400.0,2.0,0.2
1859364,400.0,2.0,0.2
1859483,400.0,2.0,0.2
1859775,400.0,2.0,0.2
1859798,400.0,2.0,0.2
1859884,400.0,2.0,0.2
1860478,400.0,2.0,0.2
1860645,400.0,2.0,0.2
1860750,400.0,2.0,0.2
1860985,400.0,2.0,0.2
1861003,400.0,2.0,0.2
1861019,400.0,2.0,0.2
1861022,400.0,2.0,0.2
1861076,400.0,2.0,0.2
1861293,400.0,2.0,0.2
1861412,400.0,2.0,0.2
1861415,400.0,2.0,0.2
1861426,400.0,2.0,0.2
1861653,400.0,2.0,0.2
1862058,400.0,2.0,0.2
1862242,400.0,2.0,0.2
1862518,400.0,2.0,0.2
1862529,400.0,2.0,0.2
1862673,400.0,2.0,0.2
1863041,400.0,2.0,0.2
1863058,400.0,2.0,0.2
1863293,400.0,2.0,0.2
1863297,400.0,2.0,0.2
1863379,400.0,2.0,0.2
1863428,400.0,2.0,0.2
1863484,400.0,2.0,0.2
1863496,400.0,2.0,0.2
1863856,400.0,2.0,0.2
1863982,400.0,2.0,0.2
1864190,400.0,2.0,0.2
