vehicle_id,pv_wp,pv_area_m2,pv_eff
1836828,400.0,2.0,0.2
1836878,400.0,2.0,0.2
1837004,400.0,2.0,0.2
1837338,400.0,2.0,0.2
1837345,400.0,2.0,0.2
1837519,400.0,2.0,0.2
1837575,400.0,2.0,0.2
1837768,400.0,2.0,0.2
1837808,400.0,2.0,0.2
1837916,400.0,2.0,0.2
1837992,400.0,2.0,0.2
1838028,400.0,2.0,0.2
1838160,400.0,2.0,0.2
1838232,400.0,2.0,0.2
1838493,400.0,2.0,0.2
1838759,400.0,2.0,0.2
1838788,400.0,2.0,0.2
1839162,400.0,2.0,0.2
1839502,400.0,2.0,0.2
1839646,400.0,2.0,0.2
1839685,400.0,2.0,0.2
1839738,400.0,2.0,0.2
1839829,400.0,2.0,0.2
1839923,400.0,2.0,0.2
1839969,400.0,2.0,0.2
1840146,400.0,2.0,0.2
1840149,400.0,2.0,0.2
1840161,400.0,2.0,0.2
1840319,400.0,2.0,0.2
1840332,400.0,2.0,0.2
1840522,400.0,2.0,0.2
1840561,400.0,2.0,0.2
1853303,400.0,2.0,0.2
1853594,400.0,2.0,0.2
1853871,400.0,2.0,0.2
1854308,400.0,2.0,0.2
1855509,400.0,2.0,0.2
1855517,400.0,2.0,0.2
1855772,400.0,2.0,0.2
1855965,400.0,2.0,0.2
1856102,400.0,2.0,0.2
1856464,400.0,2.0,0.2
1858342,400.0,2.0,0.2
1858536,400.0,2.0,0.2
1858818,400.0,2.0,0.2
1859040,400.0,2.0,0.2
1859201,400.0,2.0,0.2
1859518,400.0,2.0,0.2
1859843,400.0,2.0,0.2
1860164,400.0,2.0,0.2
1860301,400.0,2.0,0.2
1860455,400.0,2.0,0.2
1860579,400.0,2.0,0.2
1860808,400.0,2.0,0.2
1861022,400.0,2.0,0.2
1861350,400.0,2.0,0.2
1862134,400.0,2.0,0.2
1862149,400.0,2.0,0.2
1862239,400.0,2.0,0.2
1862280,400.0,2.0,0.2
1862340,400.0,2.0,0.2
1862618,400.0,2.0,0.2
1862804,400.0,2.0,0.2
1862999,400.0,2.0,0.2
1863333,400.0,2.0,0.2
1863421,400.0,2.0,0.2
1863428,400.0,2.0,0.2
1864526,400.0,2.0,0.2
1864915,400.0,2.0,0.2
1865068,400.0,2.0,0.2
1865142,400.0,2.0,0.2
1865158,400.0,2.0,0.2
1865822,400.0,2.0,0.2
1865844,400.0,2.0,0.2
1866032,400.0,2.0,0.2
1866077,400.0,2.0,0.2
1866088,400.0,2.0,0.2
1866147,400.0,2.0,0.2
1866162,400.0,2.0,0.2
1866500,400.0,2.0,0.2
1866541,400.0,2.0,0.2
1866928,400.0,2.0,0.2
1867014,400.0,2.0,0.2
1867040,400.0,2.0,0.2
1867121,400.0,2.0,0.2
1867296,400.0,2.0,0.2
1867330,400.0,2.0,0.2
1867333,400.0,2.0,0.2
1867636,400.0,2.0,0.2
1868123,400.0,2.0,0.2
1868538,400.0,2.0,0.2
1868606,400.0,2.0,0.2
1868633,400.0,2.0,0.2
1868697,400.0,2.0,0.2
1868821,400.0,2.0,0.2
1868837,400.0,2.0,0.2
1868839,400.0,2.0,0.2
1869124,400.0,2.0,0.2
1869913,400.0,2.0,0.2
1870171,400.0,2.0,0.2
1870377,400.0,2.0,0.2
1870597,400.0,2.0,0.2
1871093,400.0,2.0,0.2
1871113,400.0,2.0,0.2
1871328,400.0,2.0,0.2
1871420,400.0,2.0,0.2
1871663,400.0,2.0,0.2
1871875,400.0,2.0,0.2
1871898,400.0,2.0,0.2
1871990,400.0,2.0,0.2
1872084,400.0,2.0,0.2
1872354,400.0,2.0,0.2
1872553,400.0,2.0,0.2
1872580,400.0,2.0,0.2
1872678,400.0,2.0,0.2
1872828,400.0,2.0,0.2
1872878,400.0,2.0,0.2
1872904,400.0,2.0,0.2
1873159,400.0,2.0,0.2
1873227,400.0,2.0,0.2
1873231,400.0,2.0,0.2
1873235,400.0,2.0,0.2
1873257,400.0,2.0,0.2
1873656,400.0,2.0,0.2
1873978,400.0,2.0,0.2
1874060,400.0,2.0,0.2
1874804,400.0,2.0,0.2
1875057,400.0,2.0,0.2
1875078,400.0,2.0,0.2
1875335,400.0,2.0,0.2
1876291,400.0,2.0,0.2
1876391,400.0,2.0,0.2
1876458,400.0,2.0,0.2
1876471,400.0,2.0,0.2
1876759,400.0,2.0,0.2
1876928,400.0,2.0,0.2
1876981,400.0,2.0,0.2
1877079,400.0,2.0,0.2
1877085,400.0,2.0,0.2
1877148,400.0,2.0,0.2
1877590,400.0,2.0,0.2
1877957,400.0,2.0,0.2
1877997,400.0,2.0,0.2
1879046,400.0,2.0,0.2
1879186,400.0,2.0,0.2
1879323,400.0,2.0,0.2
1879328,400.0,2.0,0.2
1879555,400.0,2.0,0.2
1879563,400.0,2.0,0.2
1879729,400.0,2.0,0.2
1880012,400.0,2.0,0.2
1880431,400.0,2.0,0.2
1880561,400.0,2.0,0.2
1880683,400.0,2.0,0.2
1880820,400.0,2.0,0.2
1880930,400.0,2.0,0.2
1881037,400.0,2.0,0.2
1881132,400.0,2.0,0.2
1881266,400.0,2.0,0.2
1881319,400.0,2.0,0.2
1881330,400.0,2.0,0.2
1881410,400.0,2.0,0.2
1881677,400.0,2.0,0.2
1881712,400.0,2.0,0.2
1881744,400.0,2.0,0.2
1881966,400.0,2.0,0.2
1882208,400.0,2.0,0.2
1882535,400.0,2.0,0.2
1882589,400.0,2.0,0.2
1882590,400.0,2.0,0.2
1882655,400.0,2.0,0.2
1883123,400.0,2.0,0.2
1883209,400.0,2.0,0.2
1884277,400.0,2.0,0.2
1884433,400.0,2.0,0.2
1884483,400.0,2.0,0.2
1884486,400.0,2.0,0.2
1884545,400.0,2.0,0.2
1895430,400.0,2.0,0.2
1895712,400.0,2.0,0.2
1895838,400.0,2.0,0.2
1895858,400.0,2.0,0.2
1895951,400.0,2.0,0.2
1896185,400.0,2.0,0.2
1896288,400.0,2.0,0.2
1896709,400.0,2.0,0.2
1896721,400.0,2.0,0.2
1896747,400.0,2.0,0.2
1896883,400.0,2.0,0.2
1896892,400.0,2.0,0.2
1896972,400.0,2.0,0.2
1897307,400.0,2.0,0.2
1897471,400.0,2.0,0.2
1897490,400.0,2.0,0.2
1897667,400.0,2.0,0.2
1898163,400.0,2.0,0.2
1905933,400.0,2.0,0.2
1905991,400.0,2.0,0.2
1915815,400.0,2.0,0.2
1915862,400.0,2.0,0.2
1916479,400.0,2.0,0.2
1916493,400.0,2.0,0.2
