Method,Model role,Solver calls,Max initial_rows,Median initial_rows,Max initial_columns,Median initial_columns,Max initial_nonzeros,Median initial_nonzeros,Max presolved_rows,Median presolved_rows,Max presolved_columns,Median presolved_columns,Max presolved_nonzeros,Median presolved_nonzeros,Max root_presolved_rows,Median root_presolved_rows,Max root_presolved_columns,Median root_presolved_columns,Max root_presolved_nonzeros,Median root_presolved_nonzeros,Max threads_used,Median threads_used,Total solver_seconds,Total work_units,Total nodes_explored,Total simplex_iterations,Rows removed by presolve,Columns removed by presolve
Monolithic,main_model,1,10570215.0,10570215.0,6095996.0,6095996.0,22459522.0,22459522.0,8029.0,8029.0,6809.0,6809.0,25317.0,25317.0,6539.0,6539.0,4484.0,4484.0,18695.0,18695.0,8.0,8.0,124.57,483.52,1.0,1669.0,0.9992404128014425,0.9988830373248276
Monolithic,other,1,10570215.0,10570215.0,6095996.0,6095996.0,22459522.0,22459522.0,8029.0,8029.0,6809.0,6809.0,25317.0,25317.0,6539.0,6539.0,4484.0,4484.0,18695.0,18695.0,8.0,8.0,124.57,483.52,1.0,1669.0,0.9992404128014425,0.9988830373248276
