log_file,log_name,model_role,initial_rows,initial_columns,initial_nonzeros,initial_continuous,initial_integer_total,initial_binary,presolve_removed_rows,presolve_removed_columns,presolved_rows,presolved_columns,presolved_nonzeros,root_presolved_rows,root_presolved_columns,root_presolved_nonzeros,nodes_explored,simplex_iterations,solver_seconds,work_units,threads_used,final_objective,final_bound,final_gap,log_size_bytes
C:\Users\omkarp\IdeaProjects\GotVIPV\src\main\python\Opti\runs\2026-08-12_132848_full_noVIPV_no_redirection_withPV_withBESS_slackpenalty\logs\gurobi_run.log,gurobi_run.log,main_model,10570215,6095996,22459522,5754949,341047,338112,10562186,6089187,8029,6809,25317,6539,4484,18695,1,1669,124.57,483.52,8,410293657.9938,410293657.9938,0.0,5031
C:\Users\omkarp\IdeaProjects\GotVIPV\src\main\python\Opti\runs\2026-08-12_132848_full_noVIPV_no_redirection_withPV_withBESS_slackpenalty\logs\pyomo_solve.log,pyomo_solve.log,other,10570215,6095996,22459522,5754949,341047,338112,10562186,6089187,8029,6809,25317,6539,4484,18695,1,1669,124.57,483.52,8,410293657.9938,410293657.9938,0.0,5646
