ChargerType,DemandClass,AnnualEnergy_kWh,InstalledChargers,AnnualCapacity_kWh,CapacityRatio_all_classes
slow,home,273694.48181553336,606.0,58394160.0,
slow,public,1285849.5193791136,606.0,58394160.0,
slow,ALL,1559544.0011946468,606.0,58394160.0,0.02670719128753024
medium,home,6520498.13452231,2608.0,502613760.0,
medium,public,56323650.34041844,2608.0,502613760.0,
medium,ALL,62844148.474940754,2608.0,502613760.0,0.12503467568206003
fast,home,2221856.3463872476,165.0,72270000.0,
fast,public,28490894.062930483,165.0,72270000.0,
fast,ALL,30712750.409317728,165.0,72270000.0,0.4249723316634527
