Month,Season,TimeIndex,PV_capacity_factor,Retail_price_SEK_per_kWh
March,SPRING,35,0.0002461290322580645,2.4071249999999997
March,SPRING,36,0.0002461290322580645,2.4071249999999997
March,SPRING,37,0.0,2.446625
March,SPRING,38,0.0,2.446625
March,SPRING,39,0.0,2.425375
March,SPRING,40,0.0,2.425375
March,SPRING,41,0.0,2.372
March,SPRING,42,0.0,2.372
March,SPRING,43,0.0,2.3695
March,SPRING,44,0.0,2.3695
March,SPRING,45,0.0,2.077125
March,SPRING,46,0.0,2.077125
March,SPRING,47,0.0,1.9676249999999997
March,SPRING,48,0.0,1.9676249999999997
April,SPRING,1,0.0,1.408875
April,SPRING,2,0.0,1.408875
April,SPRING,3,0.0,1.408125
April,SPRING,4,0.0,1.408125
April,SPRING,5,0.0,1.4136250000000001
April,SPRING,6,0.0,1.4136250000000001
April,SPRING,7,0.0,1.43025
April,SPRING,8,0.0,1.43025
April,SPRING,9,0.000412,1.4602499999999998
April,SPRING,10,0.000412,1.4602499999999998
April,SPRING,11,0.013936,1.5313750000000002
April,SPRING,12,0.013936,1.5313750000000002
April,SPRING,13,0.10575899999999999,1.545125
April,SPRING,14,0.10575899999999999,1.545125
April,SPRING,15,0.24982133333333334,1.570875
April,SPRING,16,0.24982133333333334,1.570875
April,SPRING,17,0.38033666666666666,1.6818749999999998
April,SPRING,18,0.38033666666666666,1.6818749999999998
April,SPRING,19,0.49202999999999997,1.6815
April,SPRING,20,0.49202999999999997,1.6815
April,SPRING,21,0.5536926666666666,1.605375
April,SPRING,22,0.5536926666666666,1.605375
April,SPRING,23,0.5941813333333333,1.57375
April,SPRING,24,0.5941813333333333,1.57375
April,SPRING,25,0.59891,1.5631249999999999
April,SPRING,26,0.59891,1.5631249999999999
April,SPRING,27,0.5595956666666666,1.5563749999999998
April,SPRING,28,0.5595956666666666,1.5563749999999998
April,SPRING,29,0.45444333333333337,1.557125
April,SPRING,30,0.45444333333333337,1.557125
April,SPRING,31,0.32042533333333334,1.56475
April,SPRING,32,0.32042533333333334,1.56475
April,SPRING,33,0.15745066666666666,1.571
April,SPRING,34,0.15745066666666666,1.571
April,SPRING,35,0.035215333333333335,1.628625
April,SPRING,36,0.035215333333333335,1.628625
April,SPRING,37,0.0007603333333333333,1.7035
April,SPRING,38,0.0007603333333333333,1.7035
April,SPRING,39,0.0,1.737875
April,SPRING,40,0.0,1.737875
April,SPRING,41,0.0,1.7101250000000001
April,SPRING,42,0.0,1.7101250000000001
April,SPRING,43,0.0,1.681375
April,SPRING,44,0.0,1.681375
April,SPRING,45,0.0,1.6423750000000001
April,SPRING,46,0.0,1.6423750000000001
April,SPRING,47,0.0,1.602
April,SPRING,48,0.0,1.602
May,SPRING,1,0.0,1.114375
May,SPRING,2,0.0,1.114375
May,SPRING,3,0.0,1.114125
May,SPRING,4,0.0,1.114125
May,SPRING,5,0.0,1.11625
May,SPRING,6,0.0,1.11625
May,SPRING,7,0.00020483870967741934,1.12
May,SPRING,8,0.00020483870967741934,1.12
May,SPRING,9,0.01807032258064516,1.12225
May,SPRING,10,0.01807032258064516,1.12225
May,SPRING,11,0.051492580645161296,1.139875
May,SPRING,12,0.051492580645161296,1.139875
May,SPRING,13,0.18674290322580647,1.237625
May,SPRING,14,0.18674290322580647,1.237625
May,SPRING,15,0.337658064516129,2.2095000000000002
May,SPRING,16,0.337658064516129,2.2095000000000002
May,SPRING,17,0.49848096774193545,2.232875
May,SPRING,18,0.49848096774193545,2.232875
May,SPRING,19,0.6247632258064516,2.147875
May,SPRING,20,0.6247632258064516,2.147875
May,SPRING,21,0.6813845161290323,1.7185000000000001
May,SPRING,22,0.6813845161290323,1.7185000000000001
May,SPRING,23,0.7179922580645162,1.436875
May,SPRING,24,0.7179922580645162,1.436875
May,SPRING,25,0.6961832258064515,1.2429999999999999
May,SPRING,26,0.6961832258064515,1.2429999999999999
May,SPRING,27,0.6538545161290323,1.2015
May,SPRING,28,0.6538545161290323,1.2015
May,SPRING,29,0.5466545161290323,1.168125
May,SPRING,30,0.5466545161290323,1.168125
May,SPRING,31,0.3953616129032258,1.20525
May,SPRING,32,0.3953616129032258,1.20525
May,SPRING,33,0.23582548387096774,1.555875
May,SPRING,34,0.23582548387096774,1.555875
May,SPRING,35,0.07669193548387097,1.975625
May,SPRING,36,0.07669193548387097,1.975625
May,SPRING,37,0.018296774193548384,2.06
May,SPRING,38,0.018296774193548384,2.06
May,SPRING,39,0.00017516129032258063,2.0912499999999996
May,SPRING,40,0.00017516129032258063,2.0912499999999996
May,SPRING,41,0.0,2.1026249999999997
May,SPRING,42,0.0,2.1026249999999997
May,SPRING,43,0.0,2.0891249999999997
May,SPRING,44,0.0,2.0891249999999997
May,SPRING,45,0.0,1.279625
May,SPRING,46,0.0,1.279625
May,SPRING,47,0.0,1.14675
May,SPRING,48,0.0,1.14675
June,SUMMER,1,0.0,1.714375
June,SUMMER,2,0.0,1.714375
June,SUMMER,3,0.0,1.6621249999999999
June,SUMMER,4,0.0,1.6621249999999999
June,SUMMER,5,0.0,1.6605
June,SUMMER,6,0.0,1.6605
June,SUMMER,7,0.0022156666666666666,1.6844999999999999
June,SUMMER,8,0.0022156666666666666,1.6844999999999999
June,SUMMER,9,0.026709,1.7046249999999998
June,SUMMER,10,0.026709,1.7046249999999998
June,SUMMER,11,0.050911000000000005,1.7874999999999999
June,SUMMER,12,0.050911000000000005,1.7874999999999999
June,SUMMER,13,0.166566,1.814875
June,SUMMER,14,0.166566,1.814875
June,SUMMER,15,0.2960426666666667,1.8994999999999997
June,SUMMER,16,0.2960426666666667,1.8994999999999997
June,SUMMER,17,0.436587,1.9594999999999998
June,SUMMER,18,0.436587,1.9594999999999998
June,SUMMER,19,0.4949206666666667,1.9300000000000002
June,SUMMER,20,0.4949206666666667,1.9300000000000002
June,SUMMER,21,0.5854370000000001,1.913
June,SUMMER,22,0.5854370000000001,1.913
June,SUMMER,23,0.606809,1.9028749999999999
June,SUMMER,24,0.606809,1.9028749999999999
June,SUMMER,25,0.6010793333333333,1.9071249999999997
June,SUMMER,26,0.6010793333333333,1.9071249999999997
June,SUMMER,27,0.5750236666666667,1.933125
June,SUMMER,28,0.5750236666666667,1.933125
June,SUMMER,29,0.48362166666666667,1.9304999999999999
June,SUMMER,30,0.48362166666666667,1.9304999999999999
June,SUMMER,31,0.38851033333333335,1.9062500000000002
June,SUMMER,32,0.38851033333333335,1.9062500000000002
June,SUMMER,33,0.2540246666666667,1.894
June,SUMMER,34,0.2540246666666667,1.894
June,SUMMER,35,0.10236866666666668,1.905125
June,SUMMER,36,0.10236866666666668,1.905125
June,SUMMER,37,0.028175000000000002,1.930125
June,SUMMER,38,0.028175000000000002,1.930125
June,SUMMER,39,0.006746333333333334,1.914875
June,SUMMER,40,0.006746333333333334,1.914875
June,SUMMER,41,0.0,1.8515000000000001
June,SUMMER,42,0.0,1.8515000000000001
June,SUMMER,43,0.0,1.812125
June,SUMMER,44,0.0,1.812125
June,SUMMER,45,0.0,1.76675
June,SUMMER,46,0.0,1.76675
June,SUMMER,47,0.0,1.6997499999999999
June,SUMMER,48,0.0,1.6997499999999999
July,SUMMER,1,0.0,1.523
July,SUMMER,2,0.0,1.523
July,SUMMER,3,0.0,1.5133750000000001
July,SUMMER,4,0.0,1.5133750000000001
July,SUMMER,5,0.0,1.420625
July,SUMMER,6,0.0,1.420625
July,SUMMER,7,0.0002851612903225806,1.305625
July,SUMMER,8,0.0002851612903225806,1.305625
July,SUMMER,9,0.012634516129032259,1.2685
July,SUMMER,10,0.012634516129032259,1.2685
July,SUMMER,11,0.046178387096774194,1.2273749999999999
July,SUMMER,12,0.046178387096774194,1.2273749999999999
July,SUMMER,13,0.1120216129032258,1.3050000000000002
July,SUMMER,14,0.1120216129032258,1.3050000000000002
July,SUMMER,15,0.2118909677419355,1.3387499999999999
July,SUMMER,16,0.2118909677419355,1.3387499999999999
July,SUMMER,17,0.30832709677419357,1.429625
July,SUMMER,18,0.30832709677419357,1.429625
July,SUMMER,19,0.3574806451612903,1.273875
July,SUMMER,20,0.3574806451612903,1.273875
July,SUMMER,21,0.39264096774193546,1.114875
July,SUMMER,22,0.39264096774193546,1.114875
July,SUMMER,23,0.40603032258064514,1.0565
July,SUMMER,24,0.40603032258064514,1.0565
July,SUMMER,25,0.40680064516129033,1.056375
July,SUMMER,26,0.40680064516129033,1.056375
July,SUMMER,27,0.39004483870967743,1.054625
July,SUMMER,28,0.39004483870967743,1.054625
July,SUMMER,29,0.34020709677419353,1.043375
July,SUMMER,30,0.34020709677419353,1.043375
July,SUMMER,31,0.2556435483870968,1.0550000000000002
July,SUMMER,32,0.2556435483870968,1.0550000000000002
July,SUMMER,33,0.16135612903225807,1.078375
July,SUMMER,34,0.16135612903225807,1.078375
July,SUMMER,35,0.08240354838709678,1.3175000000000001
July,SUMMER,36,0.08240354838709678,1.3175000000000001
July,SUMMER,37,0.025975483870967743,1.500125
July,SUMMER,38,0.025975483870967743,1.500125
July,SUMMER,39,0.0033112903225806455,1.503625
July,SUMMER,40,0.0033112903225806455,1.503625
July,SUMMER,41,0.0,1.4751249999999998
July,SUMMER,42,0.0,1.4751249999999998
July,SUMMER,43,0.0,1.439625
July,SUMMER,44,0.0,1.439625
July,SUMMER,45,0.0,1.315625
July,SUMMER,46,0.0,1.315625
July,SUMMER,47,0.0,1.2590000000000001
July,SUMMER,48,0.0,1.2590000000000001
August,SUMMER,1,0.0,1.26925
August,SUMMER,2,0.0,1.26925
August,SUMMER,3,0.0,1.25625
August,SUMMER,4,0.0,1.25625
August,SUMMER,5,0.0,1.242375
August,SUMMER,6,0.0,1.242375
August,SUMMER,7,0.0,1.246
August,SUMMER,8,0.0,1.246
August,SUMMER,9,0.0011341935483870967,1.247625
August,SUMMER,10,0.0011341935483870967,1.247625
August,SUMMER,11,0.017423870967741936,1.2731249999999998
August,SUMMER,12,0.017423870967741936,1.2731249999999998
August,SUMMER,13,0.07339645161290323,1.2958749999999999
August,SUMMER,14,0.07339645161290323,1.2958749999999999
August,SUMMER,15,0.14902774193548388,1.342
August,SUMMER,16,0.14902774193548388,1.342
August,SUMMER,17,0.25551129032258063,1.3844999999999998
August,SUMMER,18,0.25551129032258063,1.3844999999999998
August,SUMMER,19,0.294111935483871,1.4055
August,SUMMER,20,0.294111935483871,1.4055
August,SUMMER,21,0.32964387096774195,1.380875
August,SUMMER,22,0.32964387096774195,1.380875
August,SUMMER,23,0.34920870967741935,1.3636249999999999
August,SUMMER,24,0.34920870967741935,1.3636249999999999
August,SUMMER,25,0.3254774193548387,1.354375
August,SUMMER,26,0.3254774193548387,1.354375
August,SUMMER,27,0.3308348387096774,1.342375
August,SUMMER,28,0.3308348387096774,1.342375
August,SUMMER,29,0.28906645161290323,1.3435
August,SUMMER,30,0.28906645161290323,1.3435
August,SUMMER,31,0.23484741935483872,1.34575
August,SUMMER,32,0.23484741935483872,1.34575
August,SUMMER,33,0.1281183870967742,1.360625
August,SUMMER,34,0.1281183870967742,1.360625
August,SUMMER,35,0.048665483870967745,1.3675000000000002
August,SUMMER,36,0.048665483870967745,1.3675000000000002
August,SUMMER,37,0.004119354838709678,1.3559999999999999
August,SUMMER,38,0.004119354838709678,1.3559999999999999
August,SUMMER,39,0.0,1.3421250000000002
August,SUMMER,40,0.0,1.3421250000000002
August,SUMMER,41,0.0,1.360625
August,SUMMER,42,0.0,1.360625
August,SUMMER,43,0.0,1.345875
August,SUMMER,44,0.0,1.345875
August,SUMMER,45,0.0,1.293625
August,SUMMER,46,0.0,1.293625
August,SUMMER,47,0.0,1.27575
August,SUMMER,48,0.0,1.27575
September,AUTUMN,1,0.0,1.2373750000000001
September,AUTUMN,2,0.0,1.2373750000000001
September,AUTUMN,3,0.0,1.230125
September,AUTUMN,4,0.0,1.230125
September,AUTUMN,5,0.0,1.2211250000000002
September,AUTUMN,6,0.0,1.2211250000000002
September,AUTUMN,7,0.0,1.212125
September,AUTUMN,8,0.0,1.212125
September,AUTUMN,9,0.0,1.2125
September,AUTUMN,10,0.0,1.2125
September,AUTUMN,11,0.001893,1.212375
September,AUTUMN,12,0.001893,1.212375
September,AUTUMN,13,0.038623,1.230375
September,AUTUMN,14,0.038623,1.230375
September,AUTUMN,15,0.12484133333333333,1.4183750000000002
September,AUTUMN,16,0.12484133333333333,1.4183750000000002
September,AUTUMN,17,0.20328,2.619625
September,AUTUMN,18,0.20328,2.619625
September,AUTUMN,19,0.2531856666666667,2.361
September,AUTUMN,20,0.2531856666666667,2.361
September,AUTUMN,21,0.3529613333333333,1.6805
September,AUTUMN,22,0.3529613333333333,1.6805
September,AUTUMN,23,0.36270566666666665,1.41825
September,AUTUMN,24,0.36270566666666665,1.41825
September,AUTUMN,25,0.40482466666666667,1.331
September,AUTUMN,26,0.40482466666666667,1.331
September,AUTUMN,27,0.32251266666666667,1.254625
September,AUTUMN,28,0.32251266666666667,1.254625
September,AUTUMN,29,0.2775393333333333,1.252
September,AUTUMN,30,0.2775393333333333,1.252
September,AUTUMN,31,0.16676533333333332,1.249
September,AUTUMN,32,0.16676533333333332,1.249
September,AUTUMN,33,0.07087566666666666,1.2575
September,AUTUMN,34,0.07087566666666666,1.2575
September,AUTUMN,35,0.005053666666666666,1.266125
September,AUTUMN,36,0.005053666666666666,1.266125
September,AUTUMN,37,0.0,1.2506249999999999
September,AUTUMN,38,0.0,1.2506249999999999
September,AUTUMN,39,0.0,1.222875
September,AUTUMN,40,0.0,1.222875
September,AUTUMN,41,0.0,1.2083750000000002
September,AUTUMN,42,0.0,1.2083750000000002
September,AUTUMN,43,0.0,1.19575
September,AUTUMN,44,0.0,1.19575
September,AUTUMN,45,0.0,1.167875
September,AUTUMN,46,0.0,1.167875
September,AUTUMN,47,0.0,1.1315
September,AUTUMN,48,0.0,1.1315
October,AUTUMN,1,0.0,1.001625
October,AUTUMN,2,0.0,1.001625
October,AUTUMN,3,0.0,1.00125
October,AUTUMN,4,0.0,1.00125
October,AUTUMN,5,0.0,1.000875
October,AUTUMN,6,0.0,1.000875
October,AUTUMN,7,0.0,1.001875
October,AUTUMN,8,0.0,1.001875
October,AUTUMN,9,0.0,1.0021250000000002
October,AUTUMN,10,0.0,1.0021250000000002
October,AUTUMN,11,0.0,1.006625
October,AUTUMN,12,0.0,1.006625
October,AUTUMN,13,0.007037741935483871,1.01475
October,AUTUMN,14,0.007037741935483871,1.01475
October,AUTUMN,15,0.07499580645161291,1.018625
October,AUTUMN,16,0.07499580645161291,1.018625
October,AUTUMN,17,0.16473451612903225,1.023625
October,AUTUMN,18,0.16473451612903225,1.023625
October,AUTUMN,19,0.17437870967741934,1.018375
October,AUTUMN,20,0.17437870967741934,1.018375
October,AUTUMN,21,0.23183451612903225,1.018625
October,AUTUMN,22,0.23183451612903225,1.018625
October,AUTUMN,23,0.21262129032258065,1.01825
October,AUTUMN,24,0.21262129032258065,1.01825
October,AUTUMN,25,0.20617322580645162,1.017875
October,AUTUMN,26,0.20617322580645162,1.017875
October,AUTUMN,27,0.18446645161290323,1.018
October,AUTUMN,28,0.18446645161290323,1.018
October,AUTUMN,29,0.12108322580645162,1.023625
October,AUTUMN,30,0.12108322580645162,1.023625
October,AUTUMN,31,0.04293225806451613,1.03
October,AUTUMN,32,0.04293225806451613,1.03
October,AUTUMN,33,0.0011196774193548387,1.0422500000000001
October,AUTUMN,34,0.0011196774193548387,1.0422500000000001
October,AUTUMN,35,0.0,1.055875
October,AUTUMN,36,0.0,1.055875
October,AUTUMN,37,0.0,1.05625
October,AUTUMN,38,0.0,1.05625
October,AUTUMN,39,0.0,1.056125
October,AUTUMN,40,0.0,1.056125
October,AUTUMN,41,0.0,1.0505
October,AUTUMN,42,0.0,1.0505
October,AUTUMN,43,0.0,1.0425
October,AUTUMN,44,0.0,1.0425
October,AUTUMN,45,0.0,1.0405
October,AUTUMN,46,0.0,1.0405
October,AUTUMN,47,0.0,1.030375
October,AUTUMN,48,0.0,1.030375
November,AUTUMN,1,0.0,2.07
November,AUTUMN,2,0.0,2.07
November,AUTUMN,3,0.0,2.0115
November,AUTUMN,4,0.0,2.0115
November,AUTUMN,5,0.0,1.9675
November,AUTUMN,6,0.0,1.9675
November,AUTUMN,7,0.0,1.939875
November,AUTUMN,8,0.0,1.939875
November,AUTUMN,9,0.0,1.986875
November,AUTUMN,10,0.0,1.986875
November,AUTUMN,11,0.0,2.06475
November,AUTUMN,12,0.0,2.06475
November,AUTUMN,13,0.0,2.289875
November,AUTUMN,14,0.0,2.289875
November,AUTUMN,15,0.005307333333333333,2.583625
November,AUTUMN,16,0.005307333333333333,2.583625
November,AUTUMN,17,0.051137,2.663625
November,AUTUMN,18,0.051137,2.663625
November,AUTUMN,19,0.096471,2.572375
November,AUTUMN,20,0.096471,2.572375
November,AUTUMN,21,0.14683533333333332,2.4659999999999997
November,AUTUMN,22,0.14683533333333332,2.4659999999999997
November,AUTUMN,23,0.18044,2.30425
November,AUTUMN,24,0.18044,2.30425
November,AUTUMN,25,0.13638933333333333,2.27325
November,AUTUMN,26,0.13638933333333333,2.27325
November,AUTUMN,27,0.10199833333333333,2.319875
November,AUTUMN,28,0.10199833333333333,2.319875
November,AUTUMN,29,0.020762666666666665,2.3846249999999998
November,AUTUMN,30,0.020762666666666665,2.3846249999999998
November,AUTUMN,31,0.0,2.571375
November,AUTUMN,32,0.0,2.571375
November,AUTUMN,33,0.0,2.5932500000000003
November,AUTUMN,34,0.0,2.5932500000000003
November,AUTUMN,35,0.0,2.65425
November,AUTUMN,36,0.0,2.65425
November,AUTUMN,37,0.0,2.68
November,AUTUMN,38,0.0,2.68
November,AUTUMN,39,0.0,2.56975
November,AUTUMN,40,0.0,2.56975
November,AUTUMN,41,0.0,2.4299999999999997
November,AUTUMN,42,0.0,2.4299999999999997
November,AUTUMN,43,0.0,2.275
November,AUTUMN,44,0.0,2.275
November,AUTUMN,45,0.0,2.202
November,AUTUMN,46,0.0,2.202
November,AUTUMN,47,0.0,2.108875
November,AUTUMN,48,0.0,2.108875
December,WINTER,1,0.0,2.132875
December,WINTER,2,0.0,2.132875
December,WINTER,3,0.0,2.092875
December,WINTER,4,0.0,2.092875
December,WINTER,5,0.0,2.0575
December,WINTER,6,0.0,2.0575
December,WINTER,7,0.0,2.0131249999999996
December,WINTER,8,0.0,2.0131249999999996
December,WINTER,9,0.0,1.9957499999999997
December,WINTER,10,0.0,1.9957499999999997
December,WINTER,11,0.0,2.061375
December,WINTER,12,0.0,2.061375
December,WINTER,13,0.0,2.255875
December,WINTER,14,0.0,2.255875
December,WINTER,15,0.0,2.393125
December,WINTER,16,0.0,2.393125
December,WINTER,17,0.001206774193548387,2.575
December,WINTER,18,0.001206774193548387,2.575
December,WINTER,19,0.03871064516129032,2.5242499999999994
December,WINTER,20,0.03871064516129032,2.5242499999999994
December,WINTER,21,0.1010341935483871,2.430875
December,WINTER,22,0.1010341935483871,2.430875
December,WINTER,23,0.0779341935483871,2.340625
December,WINTER,24,0.0779341935483871,2.340625
December,WINTER,25,0.0724658064516129,2.232875
December,WINTER,26,0.0724658064516129,2.232875
December,WINTER,27,0.028853870967741935,2.16
December,WINTER,28,0.028853870967741935,2.16
December,WINTER,29,0.0,2.1355
December,WINTER,30,0.0,2.1355
December,WINTER,31,0.0,2.1525
December,WINTER,32,0.0,2.1525
December,WINTER,33,0.0,2.253375
December,WINTER,34,0.0,2.253375
December,WINTER,35,0.0,2.214375
December,WINTER,36,0.0,2.214375
December,WINTER,37,0.0,2.117625
December,WINTER,38,0.0,2.117625
December,WINTER,39,0.0,2.0512499999999996
December,WINTER,40,0.0,2.0512499999999996
December,WINTER,41,0.0,2.018875
December,WINTER,42,0.0,2.018875
December,WINTER,43,0.0,2.0025
December,WINTER,44,0.0,2.0025
December,WINTER,45,0.0,1.8162500000000001
December,WINTER,46,0.0,1.8162500000000001
December,WINTER,47,0.0,1.924625
December,WINTER,48,0.0,1.924625
