Daily_pluggedTime_min,Daily_chargingTime_min,Daily_chargingCost_SEK,Daily_energy_kWh,Daily_sessionStarts,Charging_to_plugged_time_ratio,Effective_price_SEK_per_kWh,Mean_plugged_min_per_session,Mean_charging_min_per_session,Mean_cost_SEK_per_session,Scenario,Season,Source_rows,Unique_vehicles,Unique_chargers,Revised_CSV,Cost_reduction_pct,Plugged_time_reduction_pct,Charging_time_reduction_pct,Energy_reduction_pct,Session_reduction_pct
18680938.291666668,4544492.833333334,1850682.407720418,557465.7255438808,40595.0,0.2432689815886055,3.319813798265059,460.1783050047215,111.94710760766927,45.58892493460815,VIPV50_Wp1000,AUTUMN,24446,7467,7879,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV50_Wp1000_AUTUMN\ITERS\it.70\70.chargingStats_revised.csv,6.891623127533594,6.8378234674195735,6.9266781041524315,6.7221930808958845,6.420009220839096
19171995.333333336,4651267.416666666,2009585.7011227645,571912.4652177049,41867.5,0.24260737267026938,3.5137994419439575,457.9207101769472,111.09494038733304,47.998703078109855,VIPV50_Wp1000,WINTER,24553,7449,7966,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV50_Wp1000_WINTER\ITERS\it.70\70.chargingStats_revised.csv,4.8980229276475695,3.9726799236037835,3.9491755629720675,4.266921843733879,4.286449105560954
17567179.208333336,4269095.041666668,1817264.1290120338,526248.342589377,38942.5,0.24301539769353175,3.4532443752131976,451.10558408765064,109.62560291883335,46.665317558247,VIPV80_Wp400,SPRING,23444,7339,7761,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV80_Wp400_SPRING\ITERS\it.70\70.chargingStats_revised.csv,12.483025341474857,12.173689285290418,11.409416138656397,11.444034041521796,10.958042757516862
18104615.416666668,4327324.375,1868008.4469735138,534009.2404682816,39912.5,0.23901774632651795,3.498082627438106,453.6076521557574,108.42027873473222,46.80259184399659,VIPV80_Wp400,SUMMER,23483,7251,7729,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV80_Wp400_SUMMER\ITERS\it.70\70.chargingStats_revised.csv,10.672641775034641,11.885603913080962,11.679532616262684,10.946346238110578,11.098117830493374
19048225.208333336,4631207.041666666,1878376.1810523658,567007.2064228165,41420.0,0.24313063243501432,3.3127906661060376,459.87989397231615,111.81088946563655,45.34949736968532,VIPV80_Wp400,AUTUMN,24878,7470,8015,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV80_Wp400_AUTUMN\ITERS\it.70\70.chargingStats_revised.csv,5.49834123667272,5.006156982879493,5.150730881625516,5.125667285019618,4.5182111572153065
19473863.5,4738125.0,2046768.9822107097,582166.1919569157,42797.5,0.2433068815543459,3.5157812502485286,455.02338921665984,110.71032186459489,47.824498678911375,VIPV80_Wp400,WINTER,25285,7512,8078,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV80_Wp400_WINTER\ITERS\it.70\70.chargingStats_revised.csv,3.1383549804060515,2.460704223767497,2.1555262754938997,2.5505388602921806,2.1603703492027204
16133990.75,3900513.833333333,1699156.675329833,487033.0661335892,35917.5,0.24175753499383487,3.488791200192901,449.1958168023944,108.59647339968909,47.307208890647544,VIPV80_Wp700,SPRING,21813,7136,7530,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV80_Wp700_SPRING\ITERS\it.70\70.chargingStats_revised.csv,18.170920054120476,19.338849574348632,19.058068634765245,18.04309841060577,17.87469989710758
16851148.458333332,4009277.4999999995,1721530.3261728685,495111.30116426863,36980.0,0.23792310120069635,3.477057223546786,455.6827598251307,108.41745538128717,46.55301044274928,VIPV80_Wp700,SUMMER,21778,7011,7402,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV80_Wp700_SUMMER\ITERS\it.70\70.chargingStats_revised.csv,17.677162332785908,17.986174486194216,18.17085293701796,17.433132151764273,17.630025615324644
18538615.833333336,4498312.333333334,1836755.402385373,552463.4596973788,40390.0,0.2426455337213013,3.3246640481734064,458.9902409837419,111.37193199636876,45.47549894492134,VIPV80_Wp700,AUTUMN,24374,7433,7952,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV80_Wp700_AUTUMN\ITERS\it.70\70.chargingStats_revised.csv,7.5922948667962284,7.547588136666161,7.87247617215346,7.559195907092627,6.892577224527432
19107201.375,4651184.416666667,2015233.0896152307,571757.4733321136,42425.0,0.2434257286235707,3.524629206629807,450.37598998232176,109.63310351600865,47.50107459316985,VIPV80_Wp700,WINTER,24826,7451,7948,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV80_Wp700_WINTER\ITERS\it.70\70.chargingStats_revised.csv,4.630764949732461,4.297215271527328,3.9508895513786717,4.292866111780652,3.0119449048408296
14934181.958333334,3578307.6249999995,1562413.0384852448,447606.3348881437,33665.0,0.23960519799367314,3.4905963493025407,443.61152408535077,106.29162706074557,46.41060562855324,VIPV80_Wp1000,SPRING,20451,6919,7210,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV80_Wp1000_SPRING\ITERS\it.70\70.chargingStats_revised.csv,24.75630806095278,25.33723887097346,25.74436534200742,24.677745947633888,23.025037155596202
15723100.458333332,3739621.1666666665,1623149.1346355057,464429.3044244195,34895.0,0.23784247747934767,3.494932639203551,450.5831912403878,107.16782251516453,46.51523526681489,VIPV80_Wp1000,SUMMER,20465,6857,7167,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV80_Wp1000_SUMMER\ITERS\it.70\70.chargingStats_revised.csv,22.38170847833208,23.476336303470607,23.674524797296478,22.549792515165304,22.274195344693172
17849091.958333332,4337251.0,1763072.784312552,532139.6183353948,38905.0,0.24299561065206104,3.3131770752714935,458.78658163046737,111.48312556226706,45.31738296652235,VIPV80_Wp1000,AUTUMN,23459,7305,7735,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV80_Wp1000_AUTUMN\ITERS\it.70\70.chargingStats_revised.csv,11.299289078150194,10.986256150190666,11.17108701214733,10.959877354491178,10.315813739050252
18634253.833333336,4518905.916666667,1972262.7273249496,558352.5620969112,41212.5,0.2425053322276396,3.5322892043658807,452.15053280760293,109.648915175412,47.85593514892204,VIPV80_Wp1000,WINTER,24256,7355,7843,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV80_Wp1000_WINTER\ITERS\it.70\70.chargingStats_revised.csv,6.664301716558484,6.666081118474793,6.682501785662715,6.536729452771017,5.783848659770246
