Scenario,chargerAccessType,Annual_cost_MSEK,Annual_pluggedTime_million_h,Annual_chargingTime_million_h,Annual_energy_GWh,Annual_sessions_million
noVIPV,home,304.47452390244325,85.81491643333334,21.395956595138887,130.5295473001251,8.6096625
noVIPV,work,82.74844,13.18027497222222,2.719350375,20.68711,1.79618
noVIPV,public,367.2573288687993,23.53980350486111,5.455546006944445,66.77405979432713,5.6325225
VIPV20_Wp400,home,297.84987448389484,83.91959478958334,20.969329847916665,128.00829578580488,8.4711
VIPV20_Wp400,work,80.14312,12.627746884027776,2.6240803631944445,20.03578,1.735355
VIPV20_Wp400,public,360.37366161734565,22.94416831527778,5.326922871527777,65.52248393042646,5.5335925
VIPV20_Wp700,home,295.1473705416507,82.83903286041667,20.725096197916667,126.52756399585559,8.37543
VIPV20_Wp700,work,80.0083,12.384189964583333,2.6051652263888894,20.002075,1.7028125
VIPV20_Wp700,public,358.0914053774634,22.753896172222223,5.28067616875,65.10752825044788,5.4709125
VIPV20_Wp1000,home,292.9152742388332,82.38681622499999,20.578574429166668,125.67202885169708,8.305505
VIPV20_Wp1000,work,79.11256,12.2084728125,2.569838745833333,19.77814,1.686245
VIPV20_Wp1000,public,350.9348370651343,22.503669435416665,5.202841861805555,63.80633401184261,5.424895
VIPV50_Wp400,home,290.3664245008742,81.7562875423611,20.396746813194444,124.65020582390729,8.2254075
VIPV50_Wp400,work,78.06318,12.153929105555555,2.538299509027778,19.515795,1.6717025
VIPV50_Wp400,public,350.4523989683729,22.437101391666666,5.1750644604166665,63.71861799424962,5.3912825
VIPV50_Wp700,home,281.6029144392417,79.14357251319443,19.768333883333334,120.9030205069817,8.026795
VIPV50_Wp700,work,74.00281,11.576058143055555,2.4029255097222224,18.5007025,1.59579
VIPV50_Wp700,public,341.1140086848927,21.622806725,5.025517135416667,62.02072885179867,5.2430425
VIPV50_Wp1000,home,273.40570268320585,77.45250186527777,19.222447183333333,117.53160788649024,7.8303
VIPV50_Wp1000,work,72.57386,11.112894290972223,2.333824027083334,18.143465,1.5323375
VIPV50_Wp1000,public,330.4395029273342,20.99806500277778,4.853138575694444,60.079909623151664,5.0800825
VIPV80_Wp400,home,283.6793275889943,79.46453181527778,19.915126752083335,121.77690610619327,8.0475325
VIPV80_Wp400,work,75.11876,11.863793072222222,2.4429232208333334,18.77969,1.6326775
VIPV80_Wp400,public,335.3884302764052,21.469030353472224,4.9543113125,60.97971459571002,5.195445
VIPV80_Wp700,home,269.4806393782442,75.8859627638889,18.89731360902778,115.58267818876477,7.712415
VIPV80_Wp700,work,72.13318999999998,11.072219415972222,2.3148111263888893,18.033297499999996,1.5320375
VIPV80_Wp700,public,321.6050944424441,20.396734015972225,4.715438972916666,58.473653534989836,4.9558575
VIPV80_Wp1000,home,255.4950154916376,72.06190307916667,17.904780377083334,109.63775430724253,7.344565
VIPV80_Wp1000,work,68.48749,10.399316021527778,2.179134113888889,17.1218725,1.445005
VIPV80_Wp1000,public,307.03248326715925,19.569117491666667,4.493432547916667,55.824087866756216,4.76743
