ChargerType,DemandClass,AnnualEnergy_kWh,InstalledChargers,AnnualCapacity_kWh,CapacityRatio_all_classes
slow,home,338671.2451423608,617.0,59454120.0,
slow,public,1446725.0824153903,617.0,59454120.0,
slow,ALL,1785396.327557751,617.0,59454120.0,0.030029816731922884
medium,home,5253926.9307566555,2418.0,465996960.0,
medium,public,50515151.35365063,2418.0,465996960.0,
medium,ALL,55769078.28440728,2418.0,465996960.0,0.11967691438246138
fast,home,1890279.5605521086,163.0,71394000.0,
fast,public,27380930.36953983,163.0,71394000.0,
fast,ALL,29271209.93009194,163.0,71394000.0,0.40999537678365044
