log_file,log_name,model_role,initial_rows,initial_columns,initial_nonzeros,initial_continuous,initial_integer_total,initial_binary,presolve_removed_rows,presolve_removed_columns,presolved_rows,presolved_columns,presolved_nonzeros,root_presolved_rows,root_presolved_columns,root_presolved_nonzeros,nodes_explored,simplex_iterations,solver_seconds,work_units,threads_used,final_objective,final_bound,final_gap,log_size_bytes
C:\Users\omkarp\IdeaProjects\GotVIPV\src\main\python\Opti\runs\2026-08-12_142251_full_VIPV50_Wp700_no_redirection_withPV_withBESS_slackpenalty\logs\gurobi_run.log,gurobi_run.log,main_model,10474503,6095996,22399186,5754949,341047,338112,10466477,6089196,8026,6800,25290,6544,4634,19106,1,1634,165.65,485.02,8,373249169.0576,373253027.6293,1e-05,5639
C:\Users\omkarp\IdeaProjects\GotVIPV\src\main\python\Opti\runs\2026-08-12_142251_full_VIPV50_Wp700_no_redirection_withPV_withBESS_slackpenalty\logs\pyomo_solve.log,pyomo_solve.log,other,10474503,6095996,22399186,5754949,341047,338112,10466477,6089196,8026,6800,25290,6544,4634,19106,1,1634,165.65,485.02,8,373249169.0576,373253027.6293,1e-05,6254
