Method,Model role,Solver calls,Max initial_rows,Median initial_rows,Max initial_columns,Median initial_columns,Max initial_nonzeros,Median initial_nonzeros,Max presolved_rows,Median presolved_rows,Max presolved_columns,Median presolved_columns,Max presolved_nonzeros,Median presolved_nonzeros,Max root_presolved_rows,Median root_presolved_rows,Max root_presolved_columns,Median root_presolved_columns,Max root_presolved_nonzeros,Median root_presolved_nonzeros,Max threads_used,Median threads_used,Total solver_seconds,Total work_units,Total nodes_explored,Total simplex_iterations,Rows removed by presolve,Columns removed by presolve
Monolithic,main_model,1,10474503.0,10474503.0,6095996.0,6095996.0,22399186.0,22399186.0,8026.0,8026.0,6800.0,6800.0,25290.0,25290.0,6544.0,6544.0,4634.0,4634.0,19106.0,19106.0,8.0,8.0,165.65,485.02,1.0,1634.0,0.9992337583940737,0.9988845137037492
Monolithic,other,1,10474503.0,10474503.0,6095996.0,6095996.0,22399186.0,22399186.0,8026.0,8026.0,6800.0,6800.0,25290.0,25290.0,6544.0,6544.0,4634.0,4634.0,19106.0,19106.0,8.0,8.0,165.65,485.02,1.0,1634.0,0.9992337583940737,0.9988845137037492
