time	7368354	9460181	4680502	9430738	4575456	2067447	5908847	1968395	7326427	2017219
04:45	45.2	59.70053610000014	37.20053610000015	40.00053610000014	36.6	46.10053610000014	21.500536100000144	45.9	28.700536100000143	28.900536100000142
04:50	45.2	59.70059566666683	37.20059566666683	40.000595666666825	36.6	46.10059566666683	21.500595666666825	45.9	28.700595666666825	28.900595666666824
04:55	45.2	59.70065523333351	37.200655233333514	40.00065523333351	36.6	46.100655233333505	21.500655233333507	45.9	28.700655233333507	28.90065523333351
05:00	45.2	59.70071480000019	37.20071480000019	40.00071480000019	36.6	46.10071480000019	21.50071480000019	45.9	28.700714800000192	28.90071480000019
05:05	45.2	59.70166856666654	37.20166856666655	40.001668566666545	36.6	46.10166856666655	21.501668566666545	45.9	28.701668566666545	28.901668566666544
05:10	45.2	59.7026223333329	37.2026223333329	40.002622333332894	36.6	46.102622333332896	21.502622333332898	45.9	28.702622333332897	28.902622333332896
05:15	45.2	59.703576099999246	37.20357609999925	40.00357609999925	36.6	46.10357609999925	21.50357609999925	45.9	28.70357609999925	28.90357609999925
05:20	45.2	59.7045298666656	37.2045298666656	40.0045298666656	36.6	46.1045298666656	21.504529866665603	45.9	28.704529866665602	28.9045298666656
05:25	45.2	59.70548363333195	37.20548363333196	40.005483633331956	36.6	46.10548363333196	21.505483633331956	45.9	28.705483633331955	28.905483633331954
05:30	45.2	59.70643739999831	37.206437399998315	40.006437399998305	36.6	46.106437399998306	21.50643739999831	45.9	28.706437399998308	28.906437399998307
05:35	45.2	59.70739116666466	37.207391166664664	40.00739116666466	36.6	46.10739116666466	21.50739116666466	45.9	28.70739116666466	28.90739116666466
05:40	45.2	59.70834493333101	37.20834493333102	40.00834493333101	36.6	46.10834493333101	21.508344933331013	45.9	28.708344933331013	28.908344933331012
05:45	45.2	59.70929869999737	37.20929869999737	40.009298699997366	36.6	46.10929869999737	21.509298699997366	45.9	28.709298699997365	28.909298699997365
05:50	45.2	59.71025246666372	37.210252466663725	40.010252466663715	36.6	46.11025246666372	21.51025246666372	45.9	28.710252466663718	28.910252466663717
05:55	45.2	59.711206233330074	37.211206233330074	40.01120623333007	36.6	46.11120623333007	21.51120623333007	45.9	28.71120623333007	28.91120623333007
06:00	45.2	59.71215999999642	37.21215999999643	40.01215999999642	36.6	46.11215999999642	21.512159999996424	45.9	28.712159999996423	28.912159999996422
06:05	45.2	59.715077033331	37.215077033329756	40.015077033330996	36.6	46.115077033331	21.515077033329757	45.9	28.715077033329756	28.915077033329755
06:10	45.2	59.71799406666557	37.21799406666309	40.01799406666557	36.6	46.11799406666557	21.517994066663086	45.9	28.717994066663085	28.917994066663088
06:15	45.2	59.720911100000144	37.22091109999642	40.02091110000014	36.6	46.12091110000014	21.520911099996418	45.9	28.720911099996417	28.920911099996417
06:20	45.2	59.72382813333471	37.223828133329754	40.02382813333472	36.6	46.12382813333472	21.52382813332975	45.9	28.72382813332975	28.92382813332975
06:25	45.2	59.72674516666929	37.226745166663086	40.026745166669286	36.6	46.12674516666929	21.52674516666308	45.9	28.72674516666308	28.926745166663082
06:30	45.2	59.729662200003865	37.22966219999642	40.02966220000386	36.6	46.129662200003864	21.529662199996412	45.9	28.72966219999641	28.92966219999641
06:35	45.2	59.732579233338434	37.232579233329744	40.03257923333844	36.6	46.13257923333843	21.53257923332974	45.9	28.732579233329744	28.932579233329744
06:40	45.2	59.73549626667301	37.23549626666308	40.03549626667301	36.6	46.13549626667301	21.535496266663074	45.9	28.735496266663073	28.935496266663076
06:45	45.2	59.73841330000758	37.23841329999641	40.03841330000758	36.6	46.138413300007585	21.538413299996407	45.9	28.738413299996406	28.938413299996405
06:50	45.2	59.741330333342155	37.24133033332974	40.04133033334215	36.6	46.141330333342154	21.541330333329736	45.9	28.74133033332974	28.941330333329738
06:55	45.2	59.74424736667673	37.244247366663075	40.04424736667673	36.6	46.14424736667673	21.54424736666307	45.9	28.744247366663068	28.944247366663067
07:00	45.2	59.7471644000113	37.24716439999641	40.047164400011305	36.6	46.1471644000113	21.5471643999964	45.9	28.7471643999964	28.9471643999964
07:05	45.2	59.752810200010735	37.25281019999584	40.05281020001074	36.07082991518961	46.152810200010734	21.552810199995836	45.9	28.752810199995835	28.952810199995834
07:10	45.2	59.75845600001017	37.25845599999528	40.058456000010175	34.95934966885421	46.158456000010176	21.55845599999527	45.9	28.75845599999527	28.958455999995273
07:15	45.2	59.764101800009605	37.26410179999471	40.06410180000961	34.0237642685841	46.16410180000961	21.564101799994706	45.9	28.76410179999471	28.964101799994708
