Link;TotalConsumptionPerKm;TotalConsumption
1243965;1.6236903600770138;0.4700439992745579
1432048;63.625685772253156;0.6556291896562629
1243966;1.6236903600770138;0.4700439992745579
1243960;8.26229075724232;2.6277818017947463
1243961;6.975093496288444;0.9721214175435202
1243962;6.975093496288444;0.9721214175435202
1243963;1.358763507796716;0.6138353334294925
1243964;1.358763507796716;0.6138353334294925
826926;9.684974000314657;1.4840762218086965
826925;19.266667703594035;0.22519108477975067
826928;9.728721714263456;0.41261511097074777
826927;9.684974000314655;1.4840762218086962
826929;9.728721714263456;0.41261511097074777
826931;11.093949733550028;0.5623226830448194
826930;11.093949733550028;0.5623226830448194
826933;11.108516383196928;0.3349186801150938
826932;11.108516383196928;0.3349186801150938
2280789;7.297552218363646;0.39615749643807596
826935;12.667754228200698;0.5738169672898686
826934;12.667754228200694;0.5738169672898685
1279939;36.469088751345154;8.157565334999974
1733201;117.58668450502704;20.189803028121876
2578322;69.12322360644615;2.2034816051339616
2578321;70.38654134746868;0.6590697107596191
2542325;8.19382249677012;3.0310932774550015
2280788;3.063220887345459;0.1662910906911893
826924;20.81385948238907;0.9109125736818244
826923;13.086484164817263;0.09888434551472854
1483608;2.8121711144726587;0.3983599829487658
2578326;1.3591446730871835;0.07424230446969204
1483609;2.8121711144726587;0.3983599829487658
2578328;1.4421763786739177;0.01282869039307073
1279946;4.393343506829348;0.17880372550637952
1279949;37.33847269551847;1.740061775345001
2578329;69.0621915353532;0.8664177992524532
1243954;19.0896224851403;1.5917477161955913
1243955;9.620985637986553;1.6314306364570754
1243956;9.620985637986553;1.6314306364570754
1243957;8.284688361028447;2.9077442526631394
1243958;8.284688361028449;2.90774425266314
1483606;2.7765468278225454;0.5559464812480116
1243959;8.26229075724232;2.6277818017947463
2578330;67.62092401742596;5.98996494742587
1483607;2.797709214530492;0.5601838145813446
1255919;2.869128310170187;1.370708157853677
2300027;45.853974269169974;4.803969709897546
2086448;2.8415970446851775;0.16882913160394036
1279955;36.627592663537726;2.8203661106506583
2086449;2.8415970446851775;0.16882913160394036
2300020;79.514583714753;7.250206137534177
1279952;31.940179662289065;16.480042828336565
1432051;99.2361993837113;1.7107692628396831
2495486;65.92827542020497;7.156636337178013
1432056;27.16126293172697;1.1848601187244552
2253174;10.44238658029836;0.7670898871622611
2495485;4.0241107276831904;0.7168718146766512
1410696;2.500089357607224;0.0793270991117505
2086451;1.4376472735895294;0.09722146090329202
2086450;1.4063178188716239;0.09510279423662538
1471601;38.26917839651517;0.2486413016054525
1471600;10.95319751056793;0.7734330644659018
1865061;3.271591966336619;0.37626192397422653
