vehicleId,pvChargeStart_s,pvChargeEnd_s,mode,pvEnergyProduced_kWh,pvEnergyStored_kWh,pvEnergyWasted_kWh,startSoc_frac,endSoc_frac
1938243,16002.0,17187.0,DRIVING,2.350897777777759E-4,2.3508977784050835E-4,0.0,0.7973333333333333,0.7455881690600273
1983960,17896.0,18340.0,DRIVING,0.0011013867777777857,0.0011013867774274614,3.557734847466539E-13,0.7416666666666667,0.7201766373469469
4659494,14399.0,18706.0,PARKED_OPEN,0.0029593308888889343,0.0029593308883408705,7.387531771504048E-13,0.7333333333333333,0.7333827085018427
7502501,14399.0,18756.0,PARKED_OPEN,0.0031182920000000468,0.003118291999399662,7.910728072602069E-13,0.7019230769230769,0.7019831052158004
4657456,14399.0,18867.0,PARKED_OPEN,0.003471185666666717,0.003471185665950179,9.072223861039674E-13,0.6071428571428571,0.607225580116385
7502501,18755.0,18972.0,DRIVING,6.867120000000039E-4,6.867119997739792E-4,2.2602080207434483E-13,0.7019830440769115,0.6916035155769492
4657456,18866.0,19057.0,DRIVING,6.040522222222253E-4,6.040522220234076E-4,1.9881459441724777E-13,0.6072255044206178,0.5937308940743946
2044994,18736.0,19059.0,DRIVING,0.0010237095555555627,0.0010237095552186172,3.3693841790712514E-13,0.6716666666666666,0.6575840108717151
4659494,18705.0,19224.0,DRIVING,0.0016468371111111244,0.0016468371105690797,5.420313679375491E-13,0.7333826555148056,0.7102246107227449
9545089,19736.0,20031.0,DRIVING,9.346913333333397E-4,9.346913330256939E-4,3.07639425045636E-13,0.711764705882353,0.6932326231703023
10162338,14399.0,20035.0,PARKED_OPEN,0.007184517222221891,0.007184517220283548,2.129408945468943E-12,0.6133333333333333,0.6134291692859001
10162338,20034.0,20456.0,DRIVING,0.0013384525555555657,0.0013384525551150242,4.405312855245332E-13,0.6134291268962705,0.5991126828915453
7351598,14399.0,20925.0,PARKED_OPEN,0.010014024999999536,0.010014024997130036,3.0606983614234195E-12,0.6266666666666667,0.6268336200703225
7449665,20728.0,20939.0,DRIVING,6.676366666666704E-4,6.676366664469242E-4,2.1974244646116857E-13,0.7809523809523808,0.7621461649584623
1897768,20734.0,21324.0,DRIVING,0.0018725618888889043,0.0018725618882725636,6.163252426934681E-13,0.7904761904761906,0.7390851688329793
7515264,14399.0,21445.0,PARKED_OPEN,0.011667220555555372,0.011667220552141467,3.6048225145653608E-12,0.6733333333333333,0.6734889386636582
1863491,14399.0,21489.0,PARKED_OPEN,0.011807106333333173,0.011807106329873205,3.650863789061987E-12,0.7619047619047619,0.7621859591798118
4760278,20817.0,21501.0,DRIVING,0.0021714087777777963,0.0021714087770630915,7.146861472998959E-13,0.75,0.6853472416930044
7351598,20924.0,21576.0,DRIVING,0.0020696736666666843,0.002069673665985465,6.812015840296226E-13,0.6268335670832855,0.5941577030151962
2332424,14399.0,21635.0,PARKED_OPEN,0.012500320555555436,0.012500320552123918,3.767013367905747E-12,0.7966666666666666,0.7968751673999429
7301082,14399.0,21659.0,PARKED_OPEN,0.012733683222222089,0.012733683218645552,3.767404174305334E-12,0.7205882352941176,0.7209630413724438
1863491,21488.0,21720.0,DRIVING,0.0015197069999999956,0.0015197069998830557,1.169444393174975E-13,0.7621858834840446,0.7468919022857746
7515264,21444.0,21778.0,DRIVING,0.0022235525555555483,0.0022235525561289655,1.6219085334038634E-13,0.6734888962740285,0.6625325665645373
1937796,14399.0,21795.0,PARKED_OPEN,0.014056071666666456,0.014056071663896243,3.767013367905747E-12,0.7213333333333334,0.7215208772681113
9513338,21540.0,21809.0,DRIVING,0.002219773999999991,0.002219774000801974,6.173716352956641E-14,0.7826923076923077,0.7687961824029143
2331646,21721.0,21983.0,DRIVING,0.0025378189999999898,0.0025378189999982715,1.7288215303778998E-15,0.7676470588235295,0.7528164378089421
4784608,14399.0,22062.0,PARKED_OPEN,0.016652231333332972,0.01665223133166631,3.767013367905747E-12,0.7133333333333334,0.7136110325796019
2943901,14399.0,22202.0,PARKED_OPEN,0.018013513555555118,0.018013513554467096,3.767013367905747E-12,0.6566666666666666,0.6569670539499819
7301082,21658.0,22206.0,DRIVING,0.005318724111111125,0.005318724111107488,3.623238992784334E-15,0.7209627553887837,0.6781510481509548
1879340,14399.0,22213.0,PARKED_OPEN,0.018120471444444,0.018120471443401443,3.767013367905747E-12,0.6533333333333333,0.6536355032481308
7502501,18971.0,22224.0,PARKED_OPEN,0.014422425333332538,0.01442242533057928,2.7540530330346275E-12,0.6916034544380604,0.691880995760657
2332424,21634.0,22254.0,DRIVING,0.006018812111111158,0.0060188121136691836,0.0,0.7968750053425354,0.7711647945344524
1931084,14399.0,22332.0,PARKED_OPEN,0.019277561333333044,0.019277561329752207,3.771862016795543E-12,0.7952380952380952,0.7956973163041475
2027754,14399.0,22404.0,PARKED_OPEN,0.01997764933333315,0.019977649333079654,3.767013367905747E-12,0.76,0.7603331228796255
1931224,21846.0,22437.0,DRIVING,0.005736832222222256,0.005736832222218315,3.908063995873413E-15,0.7285714285714285,0.6849862231397242
7502501,22223.0,22441.0,DRIVING,0.0021099874444444363,0.0021099874444430074,1.4373726900076792E-15,0.6918808087713407,0.6812204987989057
4588031,21957.0,22499.0,DRIVING,0.0052603834444444565,0.005260383444440861,3.5834959690974854E-15,0.7214285714285714,0.682506732703205
4784608,22061.0,22592.0,DRIVING,0.005153425555555562,0.0051534255577458275,0.0,0.7136108705221944,0.690559453671158
7365302,21693.0,22593.0,DRIVING,0.008741376555555729,0.008741376559270753,0.0,0.6883333333333334,0.6520464718552462
2000357,22329.0,22621.0,DRIVING,0.0028295223333333216,0.002829522333331406,1.927536648812141E-15,0.6403846153846153,0.6291198296719772
1937796,21794.0,22641.0,DRIVING,0.00822603400000015,0.00822603400349617,0.0,0.7215207476221853,0.6854569978755248
7358415,22498.0,22784.0,DRIVING,0.002771181666666655,0.0027711816678444544,0.0,0.7413333333333333,0.7324455511160486
3255459,22069.0,22820.0,DRIVING,0.007292583333333439,0.007292583336432775,0.0,0.7066666666666667,0.6752555684783756
1882672,22628.0,22824.0,DRIVING,0.0018960716666666599,0.0018960716674725215,0.0,0.6866666666666666,0.6787622957005823
1866997,14399.0,22832.0,PARKED_OPEN,0.024139283555555998,0.02413928355197112,3.7751739354361135E-12,0.605,0.6054024834499402
2077613,22181.0,22866.0,DRIVING,0.006650836000000076,0.00665083599999547,4.530704700300703E-15,0.7761904761904762,0.7233159368632932
1931084,22331.0,22935.0,DRIVING,0.005863237000000039,0.005863236999996006,3.994173880528251E-15,0.7956970847935655,0.7527439037003282
4743770,14399.0,22945.0,PARKED_OPEN,0.025238032777778384,0.02523803277975983,3.767013367905747E-12,0.7173333333333334,0.7176699700829895
9669919,22411.0,23003.0,DRIVING,0.0057465556666667006,0.005746555666662752,3.914687833154555E-15,0.6785714285714286,0.6310596371557871
9672392,22417.0,23028.0,DRIVING,0.005931301111111154,0.00593130111363199,0.0,0.75,0.7212817575958035
1879340,22212.0,23060.0,DRIVING,0.008235757444444594,0.008235757447431484,8.213558228615309E-16,0.6536353411907233,0.6147256739242148
2027754,22403.0,23062.0,DRIVING,0.006398026444444509,0.006398026447163687,0.0,0.760332960822218,0.7306123418329491
4663510,22560.0,23082.0,DRIVING,0.0050659145555555585,0.0050659145555521055,3.451019223474658E-15,0.6058823529411764,0.5585923055275686
2943901,22201.0,23207.0,DRIVING,0.009772061666666818,0.009772061670207315,9.80327917608924E-16,0.6569668918925744,0.61526257054279
4743770,22944.0,23265.0,DRIVING,0.003111502222222209,0.0031115022235446506,0.0,0.7176698404370635,0.7043751835889673
7416337,22772.0,23274.0,DRIVING,0.0048714456666666605,0.004871445666663349,3.3185424778518304E-15,0.6794117647058824,0.6450415303831855
1866997,22831.0,23293.0,DRIVING,0.004482507888888868,0.004482507888885836,3.0535889866061754E-15,0.6054023213925328,0.5876120246208113
1985696,23048.0,23413.0,DRIVING,0.0035393337777777623,0.003539333777775367,2.411076770335462E-15,0.6235294117647059,0.5977121165711926
8253956,14399.0,23467.0,PARKED_OPEN,0.030313670777779148,0.030313670774189134,3.779380072109638E-12,0.65,0.6507219855766342
1967295,22439.0,23510.0,DRIVING,0.01040408555555567,0.010404085555548469,7.087505890821275E-15,0.6647058823529411,0.5764356232227281
2040335,14399.0,23530.0,PARKED_OPEN,0.03092624777777924,0.030926247774188717,3.77979737385835E-12,0.6833333333333333,0.6840699040766341
2945030,14399.0,23585.0,PARKED_OPEN,0.031461037222223764,0.031461037226849134,3.767013367905747E-12,0.6783333333333333,0.6788578460111883
1839223,14399.0,23597.0,PARKED_OPEN,0.03157771855555712,0.031577718551966054,3.780241170956186E-12,0.6352941176470588,0.6362231600587179
7365302,22592.0,23689.0,PARKED_OPEN,0.010656895111111212,0.010656895115640429,0.0,0.6520463097978387,0.6522240867738403
2945030,23584.0,23692.0,DRIVING,0.0010404085555555534,0.0010404085559977425,0.0,0.6788576839537808,0.6760337710470259
1839223,23596.0,23717.0,DRIVING,0.0011668133333333306,0.0011668133333325387,7.948604737369654E-16,0.6362228740750578,0.6296809249119825
4784608,22591.0,23733.0,PARKED_OPEN,0.011094450111111187,0.011094450115826394,0.0,0.6905592916137506,0.6907443611730885
3040376,14399.0,23833.0,PARKED_OPEN,0.03387245144444635,0.033872451450096236,3.767013367905747E-12,0.7986666666666666,0.799118428998594
1865752,14399.0,23842.0,PARKED_OPEN,0.033959962444446365,0.033959962440853315,3.781864011090066E-12,0.6269230769230769,0.6275763401131788
2043577,14399.0,23853.0,PARKED_OPEN,0.03406692033333527,0.034066920339067774,3.767013367905747E-12,0.7466666666666667,0.7472346107297253
2040335,23529.0,23935.0,DRIVING,0.003937994999999982,0.003937994999997318,2.6826540988622582E-15,0.6840696725660521,0.6521248333623257
1988503,14399.0,23959.0,PARKED_OPEN,0.03509760544444653,0.035097605450616944,3.767013367905747E-12,0.62,0.6204680977186009
5517877,23383.0,23974.0,DRIVING,0.005736832222222256,0.005736832222218315,3.908063995873413E-15,0.6442307692307693,0.6157454716693164
4804925,23271.0,23995.0,DRIVING,0.007030050333333427,0.007030050336321195,0.0,0.6933333333333334,0.6644966106024716
7486555,23531.0,24006.0,DRIVING,0.004608912666666648,0.004608912666663527,3.1396988712610134E-15,0.7833333333333333,0.7515318741288176
4784608,23732.0,24077.0,DRIVING,0.0033448648888888743,0.0033448648903104993,0.0,0.690744199115681,0.6783201965592044
4663510,23081.0,24109.0,PARKED_OPEN,0.009985977444444584,0.009985977444437643,6.8026808877321955E-15,0.5585920195439085,0.5588860107465226
1916724,14399.0,24118.0,PARKED_OPEN,0.03664363311111343,0.036643633107518156,3.783692190179661E-12,0.6711538461538461,0.67185871839523
7457316,23545.0,24123.0,DRIVING,0.005610427444444472,0.0056104274444406235,3.821954111218575E-15,0.6411764705882353,0.604463115080381
4926680,14399.0,24125.0,PARKED_OPEN,0.03671169722222455,0.03671169721862922,3.783738557040629E-12,0.8,0.801080041784208
2070560,14399.0,24140.0,PARKED_OPEN,0.03685754888889124,0.03685754889580939,3.767013367905747E-12,0.6813333333333333,0.6818248969645367
1895729,22953.0,24227.0,DRIVING,0.01237794477777778,0.012377944777769347,8.432144858892975E-15,0.6288461538461539,0.5568689638615222
2126857,23397.0,24278.0,DRIVING,0.008556631111111275,0.008556631113861998,1.417501178164255E-15,0.6483333333333333,0.6114847664675132
7300962,14399.0,24384.0,PARKED_OPEN,0.039230069333336046,0.039230069341262185,3.767013367905747E-12,0.7053333333333334,0.7058565305704761
1988503,23958.0,24390.0,DRIVING,0.004190804555555536,0.004190804557336701,0.0,0.6204679680726749,0.6058799503755762
4577001,23766.0,24443.0,DRIVING,0.006573048444444517,0.006573048444439967,4.477714002051572E-15,0.7928571428571427,0.7399302521829615
4663510,24108.0,24466.0,DRIVING,0.0034712696666666515,0.0034712696666643022,2.364709909367472E-15,0.5588857247628625,0.5323542810322234
1923602,14399.0,24470.0,PARKED_OPEN,0.04006628555555839,0.04006628556383981,3.767013367905747E-12,0.75,0.7507706924809286
8253956,23466.0,24473.0,DRIVING,0.009781785111111262,0.009781785111104448,6.663580304828226E-15,0.6507217540660521,0.5598012150862482
2070560,24139.0,24478.0,DRIVING,0.003286524222222208,0.0032865242236190372,0.0,0.6818247673186107,0.6674563649410373
1840473,14399.0,24485.0,PARKED_OPEN,0.04021213722222508,0.040212137218626834,3.78612313846184E-12,0.625,0.6257734973204436
9538939,23925.0,24486.0,DRIVING,0.005445128888888909,0.005445128891203139,0.0,0.7773333333333333,0.7562987660490494
7365302,23688.0,24546.0,DRIVING,0.008332991888889044,0.008332991891954508,7.617412873312585E-16,0.6522239247164328,0.6168408851410675
2043577,23852.0,24556.0,DRIVING,0.006835581444444529,0.006835581447349654,0.0,0.7472344486723178,0.7139314709692098
