Scenario,City_annual_MWh,Suburban_annual_MWh,City_reduction_pct,Suburban_reduction_pct,Reduction_difference_pp_city_minus_suburban,City_spatial_CV,Suburban_spatial_CV,City_public_share,Suburban_public_share
noVIPV,9496.623088641814,1724.5559758792347,0.0,0.0,0.0,0.4530927957821937,0.6965135859148043,0.7757049459834412,0.4161998856743763
VIPV20_Wp400,8922.97584388467,1710.70634260814,0.06040539246453202,0.008030840091481358,5.237455237305067,0.47202185425711574,0.7047454813035156,0.7735554596663632,0.4289280876116327
VIPV20_Wp700,9024.86373358445,1712.4952100719763,0.04967653771808624,0.006993548470416786,4.268298924766946,0.4566415839232473,0.6305986456629538,0.7721481976979403,0.40898574102279844
VIPV20_Wp1000,8710.881300319785,1701.47526038738,0.0827390727196276,0.01338356992447709,6.935550279515051,0.44495824064402006,0.707248774060293,0.7709142471902898,0.3973696623382905
VIPV50_Wp400,8628.471791384085,1707.237804849727,0.09141684250858169,0.010042104328146496,8.137473818043519,0.4558863620834761,0.7330499233331783,0.7792932380902642,0.42116569698577516
VIPV50_Wp700,8241.41227496902,1502.85259519602,0.1321744373717492,0.12855679014430543,0.361764722744376,0.47163191943643856,0.6707555590286062,0.7807648477365111,0.4053607798578151
VIPV50_Wp1000,8229.836506798749,1654.403751788623,0.13339337257242231,0.04067842683670843,9.271494573571388,0.4729329597041008,0.7119524844856934,0.7776974056182807,0.42749556074714956
VIPV80_Wp400,8385.03845850802,1550.7104958869897,0.11705051572103316,0.10080593638232754,1.6244579338705614,0.4691126388937751,0.6707451420034161,0.7608357417521835,0.39044435824060214
VIPV80_Wp700,7807.05345454709,1622.0331075376675,0.17791267678249645,0.05944884931281957,11.846382746967688,0.4635404894194518,0.7241644974696212,0.7743135787394155,0.395898507380179
VIPV80_Wp1000,7720.704356175158,1486.3698188795108,0.18700528765753557,0.13811448299223156,4.889080466530402,0.4500644193670035,0.6558689369284226,0.7818263769638224,0.37849478496749334
