Region,Region_key,Scenario,Season,Daily_demand_MWh,Home_MWh,Public_MWh,Home_share,Public_share,Peak_30min_MW,Peak_TimeIndex,Peak_hour,Load_factor,Spatial_mean_kWh_hex_day,Spatial_std_kWh_hex_day,Spatial_CV,Spatial_Gini,Spatial_HHI,Top_cell_share,Max_demand_HexID,Max_hex_kWh_day,Demand_reduction_pct,Peak_reduction_pct
City center,city_center,noVIPV,SPRING,25.572232167748616,5.8397321677486165,19.7325,0.22836223797129504,0.7716377620287049,2.8318722905278157,17,8.0,0.3762562588786793,3653.1760239640885,1745.4763112896915,0.47779693610155205,0.26105624121597426,0.17546998744971865,0.2483162188715204,271,6350.0,0.0,0.0
City center,city_center,noVIPV,SUMMER,26.080570989412532,5.980570989412533,20.1,0.22931135180438955,0.7706886481956104,2.802861501695805,17,8.0,0.3877075114966303,3725.7958556303615,1683.2605851370513,0.45178551116624804,0.24697697339277358,0.17201573544282117,0.24798153394055278,271,6467.5,0.0,0.0
City center,city_center,noVIPV,AUTUMN,25.478311910547628,5.840811910547627,19.6375,0.2292464246082811,0.7707535753917188,2.4959258748972215,17,8.0,0.42533167362186425,3639.7588443639465,1601.437333864459,0.4399844611530335,0.23756780471815375,0.17051233229373222,0.23618126746885645,271,6017.5,0.0,0.0
City center,city_center,noVIPV,WINTER,26.955986825812833,5.67848682581283,21.2775,0.21065772373709418,0.7893422762629057,3.0201380929792476,18,8.5,0.3718923053065571,3850.8552608304044,1782.6852542008066,0.46293229255684504,0.2561366234040705,0.1734723296417052,0.24691451187451485,248,6655.824329191428,0.0,0.0
City center,city_center,VIPV20_Wp400,SPRING,25.223217070970573,5.243217070970573,19.98,0.207872653841805,0.7921273461581949,2.6955627161830917,18,8.5,0.3898879338430952,3603.3167244243677,1698.2661607503535,0.4713063798247301,0.2546569249919357,0.17458995766621324,0.27444952721622146,271,6922.5,0.013648206167086833,0.04813408245868252
City center,city_center,VIPV20_Wp400,SUMMER,22.889298719964028,5.399298719964026,17.49,0.23588746802691526,0.7641125319730847,2.0009521577611156,17,8.0,0.476633474868099,3269.899817137718,1542.5163139025613,0.4717319796215626,0.24970667983513928,0.17464729437109688,0.24957077409355327,271,5712.5,0.12236205529181123,0.286103806217151
City center,city_center,VIPV20_Wp400,AUTUMN,23.810260474012264,5.415260474012262,18.395,0.22743390312435913,0.7725660968756408,2.2242875634704253,16,7.5,0.44602784402088336,3401.4657820017524,1570.4344510641524,0.4616934438599457,0.25376598185705035,0.1733086908718938,0.24332517215719146,248,5793.635728946606,0.06546946447597327,0.10883268375827941
City center,city_center,VIPV20_Wp400,WINTER,25.887674310928567,6.0962111941723425,19.79146311675623,0.23548701675371458,0.7645129832462856,2.73820899742368,17,8.0,0.3939265035297054,3698.23918727551,1910.7347055659723,0.5166606616846784,0.2830297689692889,0.18099117704749282,0.2603555622281097,271,6740.0,0.03963173456744897,0.09334973662659769
City center,city_center,VIPV20_Wp700,SPRING,24.312180284191832,5.207180284191828,19.105,0.21417989762019082,0.785820102379809,2.5753209946610403,17,8.0,0.3933519409585899,3473.168612027404,1596.5786693071263,0.45968936370617214,0.24901522400583165,0.17304490158636937,0.23301077623562516,271,5665.0,0.04927422351287526,0.09059423220633951
City center,city_center,VIPV20_Wp700,SUMMER,24.87791264695173,5.2807244194053435,19.597188227546386,0.21226557446138417,0.7877344255386157,2.752899466098538,17,8.0,0.37654106384496827,3553.9875209931047,1508.7903404127828,0.4245345070854879,0.22625170264239935,0.16860422110090262,0.23798884343167265,248,5920.665657842224,0.046113190656332737,0.017825367242383688
City center,city_center,VIPV20_Wp700,AUTUMN,25.16995252994831,6.552452529948309,18.6175,0.2603283626439865,0.7396716373560135,2.6064121857984377,17,8.0,0.4023722831697514,3595.70750427833,1681.9825069548062,0.4677751193481422,0.25251304720959533,0.17411622318302408,0.2498018219350576,271,6287.5,0.012102818337492004,-0.04426666353052887
City center,city_center,VIPV20_Wp700,WINTER,24.54343892993273,5.5019006030163835,19.041538326916346,0.22416991435973407,0.7758300856402659,2.7298530390395297,16,7.5,0.37461477747058625,3506.2055614189617,1730.6899483367752,0.49360766732580413,0.2686709389360862,0.17766407560611738,0.2632067991141006,271,6460.0,0.08949952051356051,0.09611648375103375
City center,city_center,VIPV20_Wp1000,SPRING,22.91764785081776,5.200147850817759,17.7175,0.2269058275381522,0.7730941724618478,2.3844192593017572,17,8.0,0.4004757091517968,3273.9496929739657,1676.4502120849243,0.5120574136134887,0.2806158258250617,0.18031468497664788,0.25373459082069394,271,5815.0,0.10380729767809568,0.15800607701227248
City center,city_center,VIPV20_Wp1000,SUMMER,24.24971889319796,5.30971889319796,18.94,0.21896001832364886,0.781039981676351,2.652690753356257,16,7.5,0.3808981324358508,3464.2455561711367,1573.1089006910688,0.4540985548465999,0.2527272642092595,0.1723150710733958,0.2498998040632887,271,6060.0,0.0701998471182939,0.05357765563824347
City center,city_center,VIPV20_Wp1000,AUTUMN,22.660176076652125,5.307676076652124,17.3525,0.2342292512952218,0.7657707487047781,1.887534463010384,18,8.5,0.5002155042446206,3237.1680109503036,1283.4323507784623,0.396467636661743,0.21512159723096147,0.1653123695600211,0.22338112922596773,248,5061.855720461811,0.11060920534255798,0.243753798141898
City center,city_center,VIPV20_Wp1000,WINTER,25.66008374327772,6.06258374327772,19.5975,0.2362651581316823,0.7637348418683177,2.353771630979017,17,8.0,0.4542369964435331,3665.7262490396747,1599.3783162804275,0.43630598894268857,0.24138640428074587,0.17005184514103677,0.23480048078870336,271,6025.0,0.048074778004200756,0.22064105729115394
City center,city_center,VIPV50_Wp400,SPRING,24.7075,4.89,19.8175,0.19791561266821817,0.8020843873317819,2.7411616555270415,17,8.0,0.3755630991667032,3529.6428571428573,1742.5102113717137,0.49367890234147505,0.2730807591679798,0.17767412265958338,0.24365071334614996,248,6020.0,0.033815279091639346,0.032032035944624906
City center,city_center,VIPV50_Wp400,SUMMER,22.311279982151305,4.669066295000461,17.642213687150836,0.20926931573337101,0.7907306842666287,2.3822631823023914,18,8.5,0.390232562392415,3187.3257117359,1573.8381946267282,0.4937801583414502,0.27154571959971907,0.17768840639595823,0.2667932993876601,271,5952.5,0.14452486522597144,0.1500603291097118
City center,city_center,VIPV50_Wp400,AUTUMN,23.472116667824842,5.698153551068615,17.773963116756224,0.24276266310824632,0.7572373368917537,2.203626911184445,18,8.5,0.44381599089915486,3353.1595239749777,1462.077799613415,0.4360298963290019,0.2378105131153605,0.17001743864181146,0.2377629395546025,248,5580.799456510616,0.07874129376256878,0.11711043450952359
City center,city_center,VIPV50_Wp400,WINTER,24.07534906949003,5.626622189095455,18.448726880394577,0.23370885185735082,0.7662911481426492,2.536519791442741,18,8.5,0.3954786979964826,3439.335581355718,1429.2621183960537,0.4155634379337496,0.2289140786327606,0.16752756727818818,0.22956338624810868,271,5526.818657497383,0.10686448895146093,0.1601311882594866
City center,city_center,VIPV50_Wp700,SPRING,22.670480323278518,4.570480323278519,18.1,0.20160491785370138,0.7983950821462986,2.5253338561114482,17,8.0,0.37405087826992817,3238.6400461826456,1511.2037322544154,0.46661676219179005,0.2597125397602549,0.17396160039404995,0.2529721434314377,271,5735.0,0.11347276316886219,0.10824585396795336
City center,city_center,VIPV50_Wp700,SUMMER,22.10568471861734,4.713184718617342,17.3925,0.2132114331047123,0.7867885668952878,2.3624570464684633,17,8.0,0.3898780712165432,3157.954959802478,1559.9701083851767,0.4939811138037095,0.2647995547080242,0.17771676297067907,0.2464298242439028,271,5447.5,0.15240794660549442,0.1571267274393991
City center,city_center,VIPV50_Wp700,AUTUMN,22.38981466202936,5.569814662029359,16.82,0.24876555461064834,0.7512344453893517,2.135648249435121,17,8.0,0.43682705918354187,3198.5449517184793,1520.821263831639,0.4754728436799204,0.25634185895728145,0.17515348929672436,0.24073446258315137,271,5390.0,0.12122063892465651,0.1443462841126786
City center,city_center,VIPV50_Wp700,WINTER,23.16146618744365,4.95396618744365,18.2075,0.2138882809642382,0.7861117190357618,2.6608699166736547,17,8.0,0.3626863098779009,3308.7808839205213,1550.8540155524984,0.4687085878333885,0.25026376419119556,0.17424110575839558,0.24357159040034665,248,5641.475155279503,0.14076726861787822,0.1189575328163849
City center,city_center,VIPV50_Wp1000,SPRING,22.953904620089087,4.813904620089089,18.14,0.209720511597665,0.7902794884023351,2.793729115238851,17,8.0,0.34234267284068565,3279.129231441299,1527.647636335007,0.46586990890369673,0.25877208217208536,0.17386211028884835,0.24995747324743092,271,5737.5,0.10238947974833935,0.013469242739705489
