Region,Scenario,Annual_demand_MWh,Annual_avoided_MWh,Annual_reduction_pct,Annual_weighted_peak_MW,Annual_peak_reduction_pct,Annual_public_share,Annual_spatial_CV,Annual_spatial_Gini,Annual_top_cell_share,Annual_rank_correlation_vs_noVIPV
City center,noVIPV,9496.623088641814,0.0,0.0,2.7732478073464435,0.0,0.7757049459834412,0.4530927957821937,0.24658519324909345,0.23988026888469485,1.0
City center,VIPV20_Wp400,8922.97584388467,573.647244757145,0.06040539246453202,2.376907534906867,0.1429155632575118,0.7735554596663632,0.47202185425711574,0.2570998333297394,0.2550085352477404,0.9642857142857145
City center,VIPV20_Wp700,9024.86373358445,471.7593550573638,0.04967653771808624,2.6506429837242313,0.04420983342975233,0.7721481976979403,0.4566415839232473,0.24436039178986024,0.2411019782938908,1.0
City center,VIPV20_Wp1000,8710.881300319785,785.7417883220296,0.0827390727196276,2.2786149278000094,0.17835870210953814,0.7709142471902898,0.44495824064402006,0.24647425305029214,0.2387519618621885,1.0
City center,VIPV50_Wp400,8628.471791384085,868.1512972577293,0.09141684250858169,2.4578304794481696,0.11373571704004269,0.7792932380902642,0.4558863620834761,0.2496939124687776,0.23883259588909753,0.9642857142857145
City center,VIPV50_Wp700,8241.41227496902,1255.2108136727948,0.1321744373717492,2.420545332155005,0.12718029534076097,0.7807648477365111,0.47163191943643856,0.2554210899880709,0.2451962249438664,1.0
City center,VIPV50_Wp1000,8229.836506798749,1266.7865818430655,0.13339337257242231,2.385412160195025,0.13984889706719558,0.7776974056182807,0.4729329597041008,0.2608221232245769,0.2531368634454629,1.0
City center,VIPV80_Wp400,8385.03845850802,1111.5846301337951,0.11705051572103316,2.313831236435131,0.1656601222921009,0.7608357417521835,0.4691126388937751,0.25278846357717666,0.24882097986806045,1.0
City center,VIPV80_Wp700,7807.05345454709,1689.5696340947243,0.17791267678249645,2.0163299004178503,0.27293554687882116,0.7743135787394155,0.4635404894194518,0.2514162586544697,0.2444350498059587,1.0
City center,VIPV80_Wp1000,7720.704356175158,1775.9187324666564,0.18700528765753557,2.111698737003699,0.23854668471756282,0.7818263769638224,0.4500644193670035,0.24643162978282573,0.23922928452027856,0.9642857142857145
Suburban,noVIPV,1724.5559758792347,0.0,0.0,0.4260529920511086,0.0,0.4161998856743763,0.6965135859148043,0.3781901573621904,0.33832104705215243,1.0
Suburban,VIPV20_Wp400,1710.70634260814,13.849633271094717,0.008030840091481358,0.410980758045363,0.035376430366524804,0.4289280876116327,0.7047454813035156,0.3816090892728825,0.34222121320216725,0.9642857142857145
Suburban,VIPV20_Wp700,1712.4952100719763,12.060765807258349,0.006993548470416786,0.41009750126211025,0.03744954521310893,0.40898574102279844,0.6305986456629538,0.3522902721267309,0.3064888630603169,0.9642857142857145
Suburban,VIPV20_Wp1000,1701.47526038738,23.080715491854562,0.01338356992447709,0.46011037674432,-0.07993696870723052,0.3973696623382905,0.707248774060293,0.380424233470932,0.3492541757448506,0.9642857142857145
Suburban,VIPV50_Wp400,1707.237804849727,17.318171029507766,0.010042104328146496,0.43035505170811206,-0.010097475518931243,0.42116569698577516,0.7330499233331783,0.40049996836670454,0.34362018094506663,0.9642857142857145
Suburban,VIPV50_Wp700,1502.85259519602,221.70338068321462,0.12855679014430543,0.3290606482265277,0.22765323946591567,0.4053607798578151,0.6707555590286062,0.35599058118319227,0.34228804415712566,0.9642857142857145
Suburban,VIPV50_Wp1000,1654.403751788623,70.15222409061175,0.04067842683670843,0.3957437977232096,0.07113949413190163,0.42749556074714956,0.7119524844856934,0.3750183938779974,0.3498797757882009,0.9642857142857145
Suburban,VIPV80_Wp400,1550.7104958869897,173.84547999224492,0.10080593638232754,0.3812489906598283,0.10516063078347225,0.39044435824060214,0.6707451420034161,0.36814376274980143,0.3175386798623575,0.8571428571428573
Suburban,VIPV80_Wp700,1622.0331075376675,102.52286834156712,0.05944884931281957,0.4074338298716541,0.04370151724511526,0.395898507380179,0.7241644974696212,0.39053916636238495,0.3472932365096239,0.9285714285714288
Suburban,VIPV80_Wp1000,1486.3698188795108,238.18615699972383,0.13811448299223156,0.3543010168507657,0.16841091727795127,0.37849478496749334,0.6558689369284226,0.36833698702933826,0.3005564228992074,0.9642857142857145
