location_key,HexID
314469.982|6391510.702,53
321707.954|6397704.292,214
321185.911|6404754.726,446
322560.666|6391247.939,46
321534.53|6394544.737,142
313413.265|6402766.123,361
325170.475|6405949.462,470
321290.525|6404027.591,421
316563.386|6392555.607,70
318391.831|6393642.962,114
322521.889|6394546.75,143
310100.245|6401084.261,308
326690.616|6396165.399,183
329449.799|6401475.433,328
316832.683|6396397.246,175
315718.893|6395192.288,155
323524.791|6393280.702,95
322399.946|6394678.871,143
319367.588|6396589.872,195
323731.9|6401066.988,322
320866.965|6411736.459,584
317668.996|6391756.627,57
316226.269|6400914.919,288
326582.623|6396659.234,200
321589.725|6409896.659,549
317685.795|6399247.267,246
320589.717|6399391.558,249
325701.652|6405574.623,470
326026.909|6401156.306,325
320647.525|6410837.958,574
331046.781|6409985.971,557
318890.727|6405324.368,443
313212.338|6394783.554,133
318084.163|6387158.398,
325412.285|6401645.668,324
316215.962|6404275.438,416
322906.967|6404263.479,423
323648.465|6402083.263,347
316033.875|6399782.749,267
317475.325|6401812.807,315
320964.873|6395272.369,159
324373.172|6400637.602,297
304995.24|6402190.378,
323158.962|6401752.372,346
325114.404|6401790.264,348
331443.399|6410288.015,570
319115.014|6405268.254,443
317614.748|6395583.69,157
320300.44|6404501.348,420
321918.07|6392358.654,75
324232.826|6403482.244,398
316486.911|6395998.982,174
316970.673|6398995.452,245
327087.882|6390150.372,34
317814.457|6399989.368,269
320943.296|6396718.037,197
313109.384|6409154.981,524
327578.442|6402897.92,377
314100.489|6394861.703,134
314397.151|6405012.292,438
323045.446|6403629.584,397
311544.972|6406585.0,476
315878.05|6393515.175,111
320879.838|6397842.008,213
308551.044|6401354.853,307
325639.03|6403641.198,400
320329.944|6395881.704,177
318901.615|6399567.165,271
314613.019|6393739.634,110
324707.577|6411748.842,586
316521.91|6399959.224,268
317322.963|6396160.742,175
330650.453|6404332.047,432
315210.187|6393368.312,86
326457.709|6396833.943,200
316325.05|6401807.426,338
317525.379|6398635.491,226
316101.368|6399008.103,244
317139.96|6394338.497,137
328279.052|6402263.461,352
