Spatial_scope,Metric,Cells_total,Cells_with_nonzero_baseline,System_reduction_pct,Pearson_baseline_vs_VIPV,Spearman_baseline_vs_VIPV,Cells_with_reduction,Cells_with_local_increase,Cells_reduction_ge_5pct,Cells_reduction_ge_10pct,Cells_reduction_ge_20pct,Top10pct_cells_share_of_positive_saving_pct
All charger contexts,Charging cost,587,574,7.730963173746793,0.9937582828046687,0.9920369824342481,393,184,323,239,110,47.41713141247836
All charger contexts,Actual charging time,587,575,8.284097574694085,0.9946058908615019,0.9942351402151275,423,156,337,248,92,42.31475539323725
home,Charging cost,587,459,7.769989417950467,0.9924158513429325,0.9948152311863244,330,131,262,188,73,45.88417017824686
home,Actual charging time,587,459,7.921857725137912,0.9936024916956084,0.9952671446376116,334,127,261,175,62,45.226864683770394
work,Charging cost,587,359,10.557046419982246,0.9772263796063778,0.9542125698286397,217,150,202,191,153,69.46340145467852
work,Actual charging time,587,359,11.648131001817266,0.9807567237042495,0.957250658662243,230,137,215,195,147,68.62004293935321
public,Charging cost,587,455,7.061169219776043,0.9906132152924519,0.9862030166445457,287,170,251,208,123,56.53677744154916
public,Actual charging time,587,456,7.966748495370571,0.9915928211491895,0.987282739000849,307,152,261,207,128,55.79154642912526
