Scenario,HexID,chargerAccessType,Annual_avg_daily_chargingTime_min_day,Annual_total_chargingTime_min_day,Annual_avg_daily_chargingCost_SEK_day,Annual_total_chargingCost_SEK_day,Annual_avg_daily_energy_kWh_day,Annual_total_energy_kWh_day
VIPV50_Wp700,0,home,7313.26894977169,2669343.166666667,1647.5969562564935,601372.8890336201,767.8939269947051,280281.28335306735
VIPV50_Wp700,0,public,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,0,work,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,1,home,11901.952511415524,4344212.666666666,2727.806727674806,995649.4556013043,1210.3774117631467,441787.7552935485
VIPV50_Wp700,1,public,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,1,work,1076.7085616438355,392998.625,588.027397260274,214630.0,147.0068493150685,53657.5
VIPV50_Wp700,10,home,10077.058904109588,3678126.5,2339.234878265863,853820.7305670399,1016.682892775064,371089.25586289837
VIPV50_Wp700,10,public,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,10,work,103.68424657534247,37844.75,47.06849315068493,17180.0,11.767123287671232,4295.0
VIPV50_Wp700,100,home,12153.210273972603,4435921.75,2888.4655409897714,1054289.9224612666,1240.7433557706447,452871.32485628536
VIPV50_Wp700,100,public,727.2044520547945,265429.625,836.5650684931506,305346.25,152.1027397260274,55517.5
VIPV50_Wp700,100,work,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,101,home,9380.98310502283,3424058.833333333,2167.171660649707,791017.6561371431,975.4541613899879,356040.7689073456
VIPV50_Wp700,101,public,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,101,work,26.292351598173518,9596.708333333334,4.986301369863014,1820.0,1.2465753424657535,455.0
VIPV50_Wp700,102,home,4572.29908675799,1668889.1666666665,1129.6358570747523,412317.08783228457,467.64644930277194,170690.95399551175
VIPV50_Wp700,102,public,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,102,work,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,103,home,389.75353881278545,142260.0416666667,110.91789123863003,40485.03030209996,38.14383561643836,13922.5
VIPV50_Wp700,103,public,234.83504566210047,85714.79166666667,251.2294520547945,91698.75,45.678082191780824,16672.5
VIPV50_Wp700,103,work,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,104,home,812.0803652968037,296409.3333333334,221.03058914215154,80676.16503688532,84.95205479452055,31007.5
VIPV50_Wp700,104,public,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,104,work,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,105,home,2697.1961187214615,984476.5833333334,561.4951260540295,204945.72100972076,267.18437311219924,97522.29618595273
VIPV50_Wp700,105,public,431.18413242009126,157382.2083333333,426.513698630137,155677.5,77.54794520547945,28305.0
VIPV50_Wp700,105,work,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,106,home,1344.1639269406394,490619.8333333334,339.6510616503475,123972.63750237685,137.2945205479452,50112.5
VIPV50_Wp700,106,public,119.5579908675799,43638.666666666664,105.17808219178082,38390.0,19.123287671232873,6979.999999999999
VIPV50_Wp700,106,work,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,107,home,5016.143721461188,1830892.4583333335,1155.1806382507687,421640.9329615306,497.745110821382,181676.96544980444
VIPV50_Wp700,107,public,1431.2563926940638,522408.5833333333,1775.1061643835617,647913.75,322.74657534246575,117802.5
VIPV50_Wp700,107,work,754.6577625570777,275450.0833333334,364.8493150684931,133170.0,91.21232876712328,33292.5
VIPV50_Wp700,108,home,8245.53584474886,3009620.5833333335,1986.3089920661182,725002.7821041332,835.0618226100952,304797.56525268476
VIPV50_Wp700,108,public,1876.0515981735161,684758.8333333334,2350.1575342465753,857807.5,427.3013698630137,155965.0
VIPV50_Wp700,108,work,135.7840182648402,49561.16666666667,59.58904109589041,21750.0,14.897260273972602,5437.5
VIPV50_Wp700,109,home,5620.711872146119,2051559.8333333335,1277.230545594276,466189.1491419108,574.8527505750619,209821.25395989759
VIPV50_Wp700,109,public,1248.271803652968,455619.2083333333,1413.0102739726028,515748.75,256.9109589041096,93772.5
VIPV50_Wp700,109,work,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,11,home,9124.717579908676,3330521.916666667,2120.9943471082497,774162.9366945111,954.8235870829109,348510.6092852625
VIPV50_Wp700,11,public,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,11,work,360.53162100456626,131594.0416666667,144.68493150684932,52810.0,36.17123287671233,13202.5
VIPV50_Wp700,110,home,15799.89885844749,5766963.083333334,3897.1479197280078,1422458.990700723,1622.2826187167375,592133.1558316092
VIPV50_Wp700,110,public,4312.103082191781,1573917.625,5215.5445205479455,1903673.75,948.2808219178082,346122.5
VIPV50_Wp700,110,work,1063.530707762557,388188.7083333334,533.013698630137,194550.0,133.25342465753425,48637.5
VIPV50_Wp700,111,home,4110.692808219178,1500402.875,943.2754614616598,344295.5434335058,420.50211786700737,153483.2730214577
VIPV50_Wp700,111,public,4393.998630136986,1603809.5,4706.606164383562,1717911.25,855.7465753424658,312347.5
