TimeIndex,Hour,chargerAccessType,noVIPV,VIPV50_Wp700,Saving,Reduction_pct
1,0.0,home,105857.3734018265,98044.77910958904,7812.5942922374525,7.380302421241307
1,0.0,public,11762.817922374428,10911.518607305938,851.2993150684906,7.237205580213967
1,0.0,work,18.916780821917808,6.305593607305937,12.61118721461187,66.66666666666666
2,0.5,home,126086.91164383561,115411.90456621004,10675.007077625574,8.466387937060299
2,0.5,public,15317.777168949773,14745.29086757991,572.4863013698632,3.7373980248931535
2,0.5,work,64.0461187214612,18.698630136986303,45.347488584474895,70.80442888614797
3,1.0,home,126342.07648401828,116713.99771689498,9628.078767123297,7.620643126236101
3,1.0,public,14931.683789954339,14418.076369863014,513.6074200913245,3.439715355055045
3,1.0,work,46.98219178082192,18.698630136986303,28.28356164383562,60.200600635624106
4,1.5,home,115893.74166666667,106932.80159817351,8960.94006849316,7.732031030861526
4,1.5,public,11515.309703196348,11095.176255707762,420.13344748858617,3.648477186609824
4,1.5,work,21.676712328767124,18.698630136986303,2.978082191780821,13.738624873609703
5,2.0,home,100656.79315068493,92977.56152968036,7679.231621004568,7.6291240567426275
5,2.0,public,7228.356506849315,6685.079452054794,543.2770547945211,7.515913946409982
5,2.0,work,16.32054794520548,16.143150684931506,0.17739726027397396,1.0869565217391388
6,2.5,home,85266.64840182647,77857.30901826484,7409.33938356163,8.689610208019994
6,2.5,public,3409.6407534246578,3043.4544520547947,366.18630136986303,10.739732653713268
6,2.5,work,0.0,0.0,0.0,
7,3.0,home,68877.36347031963,62249.836872146116,6627.526598173514,9.622212965554963
7,3.0,public,1144.345776255708,1066.2408675799086,78.10490867579938,6.825289199856894
7,3.0,work,0.0,0.0,0.0,
8,3.5,home,52874.36232876712,47503.93047945206,5370.431849315064,10.156967597873415
8,3.5,public,342.2727168949771,338.7901826484018,3.4825342465753124,1.0174735159051231
8,3.5,work,0.0,0.0,0.0,
9,4.0,home,36438.57682648402,32958.62271689498,3479.9541095890454,9.550192166286172
9,4.0,public,185.87043378995432,133.50034246575342,52.3700913242009,28.175589982956897
9,4.0,work,85.8697488584475,54.34394977168949,31.525799086758006,36.71351029420955
10,4.5,home,22765.555707762556,20564.662100456622,2200.893607305934,9.667647192796077
10,4.5,public,371.26883561643837,304.26073059360726,67.0081050228311,18.0484055203755
10,4.5,work,716.2423515981735,656.5381278538813,59.70422374429222,8.33575724907531
