Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_session_starts,Annual_total_session_starts
VIPV50_Wp700,30,14.5,home,775.5,283057.5
VIPV50_Wp700,30,14.5,public,509.3150684931507,185900.0
VIPV50_Wp700,30,14.5,work,27.568493150684933,10062.5
VIPV50_Wp700,31,15.0,home,816.0068493150685,297842.5
VIPV50_Wp700,31,15.0,public,489.8904109589041,178810.0
VIPV50_Wp700,31,15.0,work,18.068493150684933,6595.0
VIPV50_Wp700,32,15.5,home,1077.3013698630136,393215.0
VIPV50_Wp700,32,15.5,public,523.6712328767123,191140.0
VIPV50_Wp700,32,15.5,work,11.23972602739726,4102.5
VIPV50_Wp700,33,16.0,home,1203.9383561643835,439437.5
VIPV50_Wp700,33,16.0,public,582.9109589041096,212762.5
VIPV50_Wp700,33,16.0,work,19.376712328767123,7072.5
VIPV50_Wp700,34,16.5,home,1289.8013698630136,470777.5
VIPV50_Wp700,34,16.5,public,532.7260273972603,194445.0
VIPV50_Wp700,34,16.5,work,14.993150684931507,5472.5
VIPV50_Wp700,35,17.0,home,1195.335616438356,436297.5
VIPV50_Wp700,35,17.0,public,563.527397260274,205687.5
VIPV50_Wp700,35,17.0,work,14.356164383561644,5240.0
VIPV50_Wp700,36,17.5,home,1047.2945205479452,382262.5
VIPV50_Wp700,36,17.5,public,441.1095890410959,161005.0
VIPV50_Wp700,36,17.5,work,6.239726027397261,2277.5
VIPV50_Wp700,37,18.0,home,1003.2191780821918,366175.0
VIPV50_Wp700,37,18.0,public,384.958904109589,140510.0
VIPV50_Wp700,37,18.0,work,14.383561643835616,5250.0
VIPV50_Wp700,38,18.5,home,732.8767123287671,267500.0
VIPV50_Wp700,38,18.5,public,310.4246575342466,113305.0
VIPV50_Wp700,38,18.5,work,2.5,912.5
VIPV50_Wp700,39,19.0,home,572.8287671232877,209082.5
VIPV50_Wp700,39,19.0,public,214.93150684931507,78450.0
VIPV50_Wp700,39,19.0,work,7.513698630136986,2742.5
VIPV50_Wp700,40,19.5,home,542.0958904109589,197865.0
VIPV50_Wp700,40,19.5,public,184.95890410958904,67510.0
VIPV50_Wp700,40,19.5,work,4.390410958904109,1602.5
VIPV50_Wp700,41,20.0,home,360.82191780821915,131700.0
VIPV50_Wp700,41,20.0,public,131.2054794520548,47890.0
VIPV50_Wp700,41,20.0,work,0.0,0.0
VIPV50_Wp700,42,20.5,home,325.486301369863,118802.5
VIPV50_Wp700,42,20.5,public,97.42465753424658,35560.0
VIPV50_Wp700,42,20.5,work,0.0,0.0
VIPV50_Wp700,43,21.0,home,280.54794520547944,102400.0
VIPV50_Wp700,43,21.0,public,86.1986301369863,31462.5
VIPV50_Wp700,43,21.0,work,0.0,0.0
VIPV50_Wp700,44,21.5,home,233.71917808219177,85307.5
VIPV50_Wp700,44,21.5,public,39.37671232876713,14372.5
