HexID,chargerAccessType,chargingTime_min_day,chargingCost_SEK_day,energy_kWh_day,Scenario,Season
30,home,2094.7916666666665,462.6796670384425,197.5,noVIPV,SPRING
30,work,0.0,0.0,0.0,noVIPV,SPRING
30,public,837.7083333333333,1251.25,227.5,noVIPV,SPRING
31,home,1766.75,434.77538767932566,185.0,noVIPV,SPRING
31,work,323.25,160.0,40.0,noVIPV,SPRING
31,public,99.375,27.5,5.0,noVIPV,SPRING
32,home,589.125,75.0,60.0,noVIPV,SPRING
32,work,0.0,0.0,0.0,noVIPV,SPRING
32,public,0.0,0.0,0.0,noVIPV,SPRING
33,home,1673.8333333333333,500.17195068821184,165.0,noVIPV,SPRING
33,work,0.0,0.0,0.0,noVIPV,SPRING
33,public,0.0,0.0,0.0,noVIPV,SPRING
34,home,0.0,0.0,0.0,noVIPV,SPRING
34,work,0.0,0.0,0.0,noVIPV,SPRING
34,public,216.66666666666666,206.25,37.5,noVIPV,SPRING
35,home,1073.5833333333333,320.8854281446628,117.29858727884583,noVIPV,SPRING
35,work,0.0,0.0,0.0,noVIPV,SPRING
35,public,0.0,0.0,0.0,noVIPV,SPRING
36,home,1454.5,414.1751021364412,148.93784521617675,noVIPV,SPRING
36,work,125.29166666666667,39.99999999999999,9.999999999999998,noVIPV,SPRING
36,public,556.375,742.5,135.0,noVIPV,SPRING
37,home,403.75,58.0061919504644,40.0,noVIPV,SPRING
37,work,0.0,0.0,0.0,noVIPV,SPRING
37,public,289.2083333333333,398.75000000000006,72.5,noVIPV,SPRING
38,home,0.0,0.0,0.0,noVIPV,SPRING
38,work,0.0,0.0,0.0,noVIPV,SPRING
38,public,831.25,1058.75,192.49999999999997,noVIPV,SPRING
39,home,9095.125,1960.2228821036058,940.0,noVIPV,SPRING
39,work,0.0,0.0,0.0,noVIPV,SPRING
39,public,1197.375,1471.25,267.5,noVIPV,SPRING
40,home,7138.416666666667,2126.706087845475,732.5,noVIPV,SPRING
40,work,0.0,0.0,0.0,noVIPV,SPRING
40,public,635.875,838.75,152.5,noVIPV,SPRING
41,home,2231.625,568.5877915267491,232.5,noVIPV,SPRING
41,work,0.0,0.0,0.0,noVIPV,SPRING
41,public,0.0,0.0,0.0,noVIPV,SPRING
42,home,2085.3333333333335,319.9003000905934,215.0,noVIPV,SPRING
42,work,553.625,370.0,92.5,noVIPV,SPRING
42,public,700.125,440.0,80.0,noVIPV,SPRING
43,home,9243.833333333334,2194.503177582244,957.5,noVIPV,SPRING
43,work,1319.3333333333333,760.0,190.0,noVIPV,SPRING
43,public,1494.0,1416.25,257.5,noVIPV,SPRING
44,home,1353.75,245.81602855288773,119.99999999999999,noVIPV,SPRING
44,work,0.0,0.0,0.0,noVIPV,SPRING
44,public,0.0,0.0,0.0,noVIPV,SPRING
45,home,4377.916666666667,631.6245694603904,452.5,noVIPV,SPRING
45,work,0.0,0.0,0.0,noVIPV,SPRING
45,public,757.0416666666666,893.75,162.5,noVIPV,SPRING
46,home,1127.7083333333333,342.08606454812184,110.0,noVIPV,SPRING
46,work,761.9166666666666,390.00000000000006,97.50000000000001,noVIPV,SPRING
46,public,1811.875,2598.75,472.5,noVIPV,SPRING
47,home,2308.2083333333335,655.1364016814845,220.0,noVIPV,SPRING
47,work,0.0,0.0,0.0,noVIPV,SPRING
47,public,0.0,0.0,0.0,noVIPV,SPRING
48,home,399.5416666666667,140.0,40.0,noVIPV,SPRING
48,work,0.0,0.0,0.0,noVIPV,SPRING
48,public,0.0,0.0,0.0,noVIPV,SPRING
49,home,0.0,0.0,0.0,noVIPV,SPRING
49,work,0.0,0.0,0.0,noVIPV,SPRING
49,public,0.0,0.0,0.0,noVIPV,SPRING
50,home,655.0416666666666,218.74999999999997,62.5,noVIPV,SPRING
50,work,0.0,0.0,0.0,noVIPV,SPRING
50,public,0.0,0.0,0.0,noVIPV,SPRING
51,home,0.0,0.0,0.0,noVIPV,SPRING
51,work,0.0,0.0,0.0,noVIPV,SPRING
51,public,0.0,0.0,0.0,noVIPV,SPRING
52,home,475.125,139.99999999999997,40.0,noVIPV,SPRING
52,work,0.0,0.0,0.0,noVIPV,SPRING
52,public,347.45833333333337,550.0,100.0,noVIPV,SPRING
53,home,28477.708333333332,6986.641213024988,2816.3307978888542,noVIPV,SPRING
53,work,331.6666666666667,150.0,37.5,noVIPV,SPRING
53,public,1700.3333333333335,1870.0,340.0,noVIPV,SPRING
54,home,2030.9166666666667,468.07924805746893,215.0,noVIPV,SPRING
54,work,0.0,0.0,0.0,noVIPV,SPRING
54,public,1258.5416666666667,1622.5,295.0,noVIPV,SPRING
55,home,754.0833333333334,194.96809881827886,67.5,noVIPV,SPRING
55,work,0.0,0.0,0.0,noVIPV,SPRING
55,public,34.708333333333336,68.75000000000001,12.500000000000002,noVIPV,SPRING
56,home,11636.0,2867.9105861976595,1205.0,noVIPV,SPRING
56,work,457.3333333333333,210.0,52.5,noVIPV,SPRING
56,public,2637.1666666666665,3162.5,575.0,noVIPV,SPRING
57,home,19099.458333333332,4578.668455312342,1968.778287204509,noVIPV,SPRING
57,work,0.0,0.0,0.0,noVIPV,SPRING
57,public,1998.7083333333333,2708.75,492.5,noVIPV,SPRING
58,home,4720.875,1395.6709455077955,505.0,noVIPV,SPRING
58,work,0.0,0.0,0.0,noVIPV,SPRING
58,public,427.04166666666663,412.50000000000006,75.0,noVIPV,SPRING
59,home,4027.25,808.9027624646614,405.0,noVIPV,SPRING
59,work,0.0,0.0,0.0,noVIPV,SPRING
59,public,1481.5833333333333,1732.5,315.0,noVIPV,SPRING
60,home,7981.291666666667,1771.5050309458536,815.0,noVIPV,SPRING
60,work,982.5,480.0,120.0,noVIPV,SPRING
60,public,0.0,0.0,0.0,noVIPV,SPRING
61,home,901.3333333333334,296.56775841346155,97.50000000000001,noVIPV,SPRING
61,work,0.0,0.0,0.0,noVIPV,SPRING
61,public,283.375,426.25,77.5,noVIPV,SPRING
62,home,1768.2916666666667,562.0122993090689,175.0,noVIPV,SPRING
62,work,0.0,0.0,0.0,noVIPV,SPRING
62,public,0.0,0.0,0.0,noVIPV,SPRING
63,home,1225.75,162.5,130.0,noVIPV,SPRING
63,work,0.0,0.0,0.0,noVIPV,SPRING
63,public,0.0,0.0,0.0,noVIPV,SPRING
64,home,0.0,0.0,0.0,noVIPV,SPRING
64,work,0.0,0.0,0.0,noVIPV,SPRING
64,public,182.875,178.75,32.5,noVIPV,SPRING
65,home,1694.0416666666667,538.994237154911,167.5,noVIPV,SPRING
65,work,0.0,0.0,0.0,noVIPV,SPRING
65,public,0.0,0.0,0.0,noVIPV,SPRING
66,home,0.0,0.0,0.0,noVIPV,SPRING
66,work,0.0,0.0,0.0,noVIPV,SPRING
66,public,0.0,0.0,0.0,noVIPV,SPRING
67,home,2840.5,833.3119961320987,290.0,noVIPV,SPRING
67,work,0.0,0.0,0.0,noVIPV,SPRING
67,public,228.0,261.25,47.5,noVIPV,SPRING
68,home,3034.7916666666665,583.026501082824,292.5,noVIPV,SPRING
68,work,0.0,0.0,0.0,noVIPV,SPRING
68,public,2166.8333333333335,2530.0,460.0,noVIPV,SPRING
69,home,3234.5,624.6312477225798,307.5,noVIPV,SPRING
69,work,978.3333333333334,660.0,165.0,noVIPV,SPRING
69,public,335.0,330.0,60.0,noVIPV,SPRING
70,home,14233.958333333334,3199.9496585452325,1422.5,noVIPV,SPRING
70,work,392.5416666666667,230.0,57.5,noVIPV,SPRING
70,public,736.75,770.0,140.0,noVIPV,SPRING
71,home,8757.291666666666,1886.3327067142816,902.5,noVIPV,SPRING
71,work,0.0,0.0,0.0,noVIPV,SPRING
71,public,652.8333333333334,838.75,152.5,noVIPV,SPRING
72,home,3052.5,679.2277891257611,325.0,noVIPV,SPRING
72,work,1128.2916666666667,450.0,112.5,noVIPV,SPRING
72,public,1160.9166666666667,1196.25,217.5,noVIPV,SPRING
73,home,0.0,0.0,0.0,noVIPV,SPRING
73,work,0.0,0.0,0.0,noVIPV,SPRING
73,public,0.0,0.0,0.0,noVIPV,SPRING
74,home,0.0,0.0,0.0,noVIPV,SPRING
74,work,1618.9583333333333,690.0,172.5,noVIPV,SPRING
