HexID,noVIPV_sessions,VIPV50_Wp700_sessions,Avoided_sessions_day,Frequency_reduction_pct,Ranking,Charger_context,chargerAccessType
271,589.3493150684932,504.3424657534247,85.00684931506851,14.423847986518682,largest_absolute_avoided_sessions,all,
248,527.9657534246576,461.04794520547944,66.91780821917814,12.674649403889324,largest_absolute_avoided_sessions,all,
321,268.74657534246575,221.8150684931507,46.93150684931504,17.463108800366992,largest_absolute_avoided_sessions,all,
450,176.22602739726028,131.78082191780823,44.445205479452056,25.22056823040149,largest_absolute_avoided_sessions,all,
191,230.65068493150685,190.3904109589041,40.26027397260273,17.4550853749072,largest_absolute_avoided_sessions,all,
268,276.20547945205476,236.71232876712327,39.49315068493149,14.298467489956849,largest_absolute_avoided_sessions,all,
293,216.74657534246575,177.43835616438355,39.3082191780822,18.135566440195927,largest_absolute_avoided_sessions,all,
211,221.24657534246575,181.97945205479454,39.26712328767121,17.748127050956587,largest_absolute_avoided_sessions,all,
361,264.4178082191781,225.45205479452056,38.96575342465752,14.736433104520136,largest_absolute_avoided_sessions,all,
292,277.6164383561644,238.72602739726028,38.89041095890411,14.008684496200534,largest_absolute_avoided_sessions,all,
324,263.78767123287673,225.6095890410959,38.178082191780845,14.47303507906422,largest_absolute_avoided_sessions,all,
247,305.7328767123288,272.9657534246575,32.76712328767127,10.717566144678191,largest_absolute_avoided_sessions,all,
296,150.6917808219178,118.73287671232876,31.958904109589042,21.20812690332258,largest_absolute_avoided_sessions,all,
86,221.17808219178082,189.34246575342468,31.83561643835614,14.393657871918732,largest_absolute_avoided_sessions,all,
197,209.44520547945206,178.65753424657532,30.787671232876733,14.69963046535205,largest_absolute_avoided_sessions,all,
143,125.69863013698631,95.60958904109589,30.089041095890423,23.937445510026166,largest_absolute_avoided_sessions,all,
349,213.07534246575344,183.06164383561645,30.013698630136986,14.08595583271722,largest_absolute_avoided_sessions,all,
272,361.2945205479452,331.8082191780822,29.486301369862986,8.161292157197286,largest_absolute_avoided_sessions,all,
227,391.28767123287673,362.14383561643837,29.143835616438366,7.448186528497411,largest_absolute_avoided_sessions,all,
175,180.84931506849315,153.76712328767124,27.082191780821915,14.975003787304951,largest_absolute_avoided_sessions,all,
167,0.6301369863013698,0.0,0.6301369863013698,100.0,largest_percentage_reduction,all,
203,0.6232876712328768,0.0,0.6232876712328768,100.0,largest_percentage_reduction,all,
413,1.2465753424657535,0.0,1.2465753424657535,100.0,largest_percentage_reduction,all,
508,0.6301369863013698,0.0,0.6301369863013698,100.0,largest_percentage_reduction,all,
51,0.6164383561643836,0.0,0.6164383561643836,100.0,largest_percentage_reduction,all,
526,1.2534246575342465,0.0,1.2534246575342465,100.0,largest_percentage_reduction,all,
545,1.8835616438356164,0.0,1.8835616438356164,100.0,largest_percentage_reduction,all,
547,0.6232876712328768,0.0,0.6232876712328768,100.0,largest_percentage_reduction,all,
384,3.1301369863013697,0.6301369863013698,2.5,79.86870897155362,largest_percentage_reduction,all,
335,5.636986301369863,1.2465753424657535,4.390410958904109,77.88578371810449,largest_percentage_reduction,all,
202,2.4863013698630136,0.6301369863013698,1.856164383561644,74.65564738292012,largest_percentage_reduction,all,
220,1.8835616438356164,0.6301369863013698,1.2534246575342465,66.54545454545455,largest_percentage_reduction,all,
262,1.8767123287671232,0.6301369863013698,1.2465753424657535,66.42335766423358,largest_percentage_reduction,all,
334,5.0,1.8630136986301369,3.136986301369863,62.73972602739726,largest_percentage_reduction,all,
302,3.1506849315068495,1.2328767123287672,1.9178082191780823,60.869565217391305,largest_percentage_reduction,all,
263,3.1506849315068495,1.2534246575342465,1.897260273972603,60.217391304347835,largest_percentage_reduction,all,
130,4.3493150684931505,1.863013698630137,2.486301369863013,57.16535433070865,largest_percentage_reduction,all,
457,3.76027397260274,1.8630136986301369,1.897260273972603,50.45537340619308,largest_percentage_reduction,all,
199,11.287671232876713,5.623287671232877,5.664383561643836,50.18203883495146,largest_percentage_reduction,all,
104,11.280821917808218,5.623287671232877,5.6575342465753415,50.151791135397694,largest_percentage_reduction,all,
450,113.71917808219177,79.28767123287672,34.431506849315056,30.27766066373546,largest_absolute_avoided_sessions,home,home
190,140.04794520547946,113.02054794520548,27.027397260273986,19.298674622193975,largest_absolute_avoided_sessions,home,home
86,146.26027397260273,119.3082191780822,26.952054794520535,18.427460897255777,largest_absolute_avoided_sessions,home,home
268,178.13698630136986,151.82876712328766,26.308219178082197,14.768532759151036,largest_absolute_avoided_sessions,home,home
175,93.86301369863014,70.63698630136986,23.22602739726028,24.74460011675424,largest_absolute_avoided_sessions,home,home
249,67.43835616438356,44.37671232876713,23.061643835616437,34.19662807231363,largest_absolute_avoided_sessions,home,home
399,161.8082191780822,139.41095890410958,22.39726027397262,13.84185573992551,largest_absolute_avoided_sessions,home,home
246,158.81506849315068,136.8904109589041,21.924657534246563,13.805149437184621,largest_absolute_avoided_sessions,home,home
214,74.37671232876713,53.04109589041096,21.33561643835617,28.685882677962987,largest_absolute_avoided_sessions,home,home
248,159.96575342465752,139.35616438356163,20.609589041095887,12.883750802825947,largest_absolute_avoided_sessions,home,home
93,100.02054794520548,79.97260273972603,20.04794520547945,20.043826610970346,largest_absolute_avoided_sessions,home,home
296,108.15753424657534,88.15068493150685,20.006849315068493,18.497878538407956,largest_absolute_avoided_sessions,home,home
95,60.58904109589041,40.58904109589041,20.0,33.00926972643003,largest_absolute_avoided_sessions,home,home
445,141.36301369863014,122.46575342465754,18.897260273972606,13.367895731382337,largest_absolute_avoided_sessions,home,home
70,103.21917808219177,85.02739726027397,18.191780821917803,17.62441937624419,largest_absolute_avoided_sessions,home,home
337,141.26027397260273,123.10958904109589,18.150684931506845,12.849107835531417,largest_absolute_avoided_sessions,home,home
324,168.04794520547946,149.95890410958904,18.089041095890423,10.764214387609544,largest_absolute_avoided_sessions,home,home
339,89.87671232876713,71.85616438356165,18.02054794520548,20.050297210791037,largest_absolute_avoided_sessions,home,home
348,110.02054794520548,93.11643835616438,16.9041095890411,15.364502272302811,largest_absolute_avoided_sessions,home,home
191,141.91780821917808,125.41095890410959,16.506849315068493,11.63127413127413,largest_absolute_avoided_sessions,home,home
130,2.4863013698630136,0.6164383561643836,1.86986301369863,75.20661157024793,largest_percentage_reduction,home,home
319,12.493150684931507,5.609589041095891,6.883561643835616,55.09868421052631,largest_percentage_reduction,home,home
524,2.5,1.2397260273972603,1.2602739726027397,50.41095890410959,largest_percentage_reduction,home,home
104,11.280821917808218,5.623287671232877,5.6575342465753415,50.151791135397694,largest_percentage_reduction,home,home
291,2.5,1.2465753424657535,1.2534246575342465,50.13698630136986,largest_percentage_reduction,home,home
