TimeIndex,chargerAccessType,Hour,chargingTime_min,chargingCost_SEK,energy_kWh,Scenario,Season
33,work,16.0,3215.0,1918.640753534589,479.66018838364727,noVIPV,SPRING
33,public,16.0,31593.0,36202.96116892779,6582.356576168689,noVIPV,SPRING
34,home,16.5,131780.58333333334,32473.349921972378,12989.33996878895,noVIPV,SPRING
34,work,16.5,2417.5833333333335,1413.0766917571025,353.2691729392756,noVIPV,SPRING
34,public,16.5,32291.625,36216.43251021152,6584.805910947548,noVIPV,SPRING
35,home,17.0,143927.08333333334,49631.2981481217,14180.370899463343,noVIPV,SPRING
35,work,17.0,1311.9166666666667,814.2427038289162,203.56067595722905,noVIPV,SPRING
35,public,17.0,29872.083333333332,34602.97045823933,6291.449174225332,noVIPV,SPRING
36,home,17.5,148641.33333333334,51747.9130387595,14785.118011074144,noVIPV,SPRING
36,work,17.5,620.125,369.324304536492,92.331076134123,noVIPV,SPRING
36,public,17.5,27071.875,31341.737644622022,5698.49775356764,noVIPV,SPRING
37,home,18.0,150442.29166666666,52680.74146349801,15051.640418142288,noVIPV,SPRING
37,work,18.0,363.20833333333337,207.24497115871654,51.811242789679135,noVIPV,SPRING
37,public,18.0,26363.916666666668,31413.910778073296,5711.620141467872,noVIPV,SPRING
38,home,18.5,149782.58333333334,52586.69721642385,15024.770633263957,noVIPV,SPRING
