HexID,noVIPV_cost,noVIPV_time_min,VIPV_cost,VIPV_time_min,Cost_saving_SEK_day,Time_saving_min_day,Cost_reduction_pct,Time_reduction_pct,Ranking,Metric,Charger_context,chargerAccessType
271,31823.75490212223,36502.76267123287,28010.46791825928,32444.37579908676,3813.2869838629485,4058.3868721461113,11.982517448337475,11.11802662362443,largest_absolute_saving,cost,all,
361,13653.962328767124,24558.484589041094,10734.90410958904,19663.937785388123,2919.058219178083,4894.546803652971,21.378836039616186,19.930166236059613,largest_absolute_saving,cost,all,
248,24684.530601915398,45189.510616438354,21776.981041612773,38373.962557077626,2907.5495603026247,6815.548059360728,11.778832691584636,15.08214620248946,largest_absolute_saving,cost,all,
321,13432.936609019072,23371.87705479452,10539.41259930751,19215.593949771686,2893.524009711562,4156.283105022834,21.540517117968136,17.78326616761922,largest_absolute_saving,cost,all,
293,10789.150258270227,18447.00502283105,7933.634951397982,14563.825684931506,2855.5153068722448,3883.1793378995444,26.466544987483157,21.05045959001748,largest_absolute_saving,cost,all,
134,11217.900293635,30525.18424657534,9117.519472824311,26902.09520547945,2100.3808208106893,3623.089041095889,18.723475568796406,11.869179926415574,largest_absolute_saving,cost,all,
292,13171.154681240541,20140.31312785388,11203.269382503058,16742.339497716897,1967.885298737483,3397.9736301369812,14.940871520856936,16.871503479444982,largest_absolute_saving,cost,all,
111,8330.783426263926,12979.989611872146,6384.950118995906,9911.170776255707,1945.8333072680198,3068.818835616439,23.35714671363939,23.642690998839814,largest_absolute_saving,cost,all,
191,9693.197342068253,23426.92328767123,7830.65131176615,18128.403310502283,1862.5460303021036,5298.519977168948,19.214981028176293,22.61722511362545,largest_absolute_saving,cost,all,
192,7101.876592308143,11625.05684931507,5271.662417279902,9481.453767123288,1830.2141750282408,2143.603082191781,25.77085297441662,18.439506231903536,largest_absolute_saving,cost,all,
445,14332.809033268864,29867.596689497717,12627.12290659143,26506.2,1705.686126677434,3361.3966894977166,11.900571079390295,11.254325965502533,largest_absolute_saving,cost,all,
272,17521.89779712155,27687.83059360731,15883.443190301588,24743.6649543379,1638.4546068199616,2944.1656392694094,9.350896950723698,10.633428391277329,largest_absolute_saving,cost,all,
211,10441.219345601032,15954.138127853883,8849.180402736178,13420.895433789954,1592.038942864854,2533.242694063929,15.24763430561961,15.878279815323971,largest_absolute_saving,cost,all,
247,13007.090589516183,27672.669634703198,11421.714240380326,24329.404452054794,1585.3763491358568,3343.2651826484034,12.18855468273345,12.081469647784713,largest_absolute_saving,cost,all,
450,7943.843051112322,19610.833789954337,6380.905485278779,15521.173744292237,1562.937565833543,4089.6600456621,19.674829371341815,20.854085499194994,largest_absolute_saving,cost,all,
