HexID,chargerAccessType,Sample_session_starts,Fullscale_avg_daily_session_starts,Scenario,Season
171,work,8.0,20.0,noVIPV,SPRING
171,public,18.0,45.0,noVIPV,SPRING
172,home,13.0,32.5,noVIPV,SPRING
172,work,0.0,0.0,noVIPV,SPRING
172,public,16.0,40.0,noVIPV,SPRING
173,home,33.0,82.5,noVIPV,SPRING
173,work,0.0,0.0,noVIPV,SPRING
173,public,5.0,12.5,noVIPV,SPRING
174,home,36.0,90.0,noVIPV,SPRING
174,work,2.0,5.0,noVIPV,SPRING
174,public,18.0,45.0,noVIPV,SPRING
175,home,42.0,105.0,noVIPV,SPRING
175,work,3.0,7.5,noVIPV,SPRING
175,public,41.0,102.5,noVIPV,SPRING
176,home,11.0,27.5,noVIPV,SPRING
176,work,0.0,0.0,noVIPV,SPRING
176,public,2.0,5.0,noVIPV,SPRING
177,home,17.0,42.5,noVIPV,SPRING
177,work,3.0,7.5,noVIPV,SPRING
177,public,7.0,17.5,noVIPV,SPRING
178,home,14.0,35.0,noVIPV,SPRING
178,work,12.0,30.0,noVIPV,SPRING
178,public,33.0,82.5,noVIPV,SPRING
179,home,0.0,0.0,noVIPV,SPRING
179,work,12.0,30.0,noVIPV,SPRING
179,public,15.0,37.5,noVIPV,SPRING
180,home,2.0,5.0,noVIPV,SPRING
180,work,0.0,0.0,noVIPV,SPRING
180,public,1.0,2.5,noVIPV,SPRING
181,home,0.0,0.0,noVIPV,SPRING
181,work,0.0,0.0,noVIPV,SPRING
181,public,0.0,0.0,noVIPV,SPRING
182,home,0.0,0.0,noVIPV,SPRING
182,work,1.0,2.5,noVIPV,SPRING
182,public,5.0,12.5,noVIPV,SPRING
183,home,0.0,0.0,noVIPV,SPRING
183,work,8.0,20.0,noVIPV,SPRING
183,public,3.0,7.5,noVIPV,SPRING
184,home,0.0,0.0,noVIPV,SPRING
184,work,2.0,5.0,noVIPV,SPRING
184,public,4.0,10.0,noVIPV,SPRING
185,home,1.0,2.5,noVIPV,SPRING
185,work,0.0,0.0,noVIPV,SPRING
185,public,0.0,0.0,noVIPV,SPRING
186,home,0.0,0.0,noVIPV,SPRING
186,work,0.0,0.0,noVIPV,SPRING
186,public,0.0,0.0,noVIPV,SPRING
187,home,9.0,22.5,noVIPV,SPRING
187,work,6.0,15.0,noVIPV,SPRING
187,public,7.0,17.5,noVIPV,SPRING
188,home,18.0,45.0,noVIPV,SPRING
188,work,3.0,7.5,noVIPV,SPRING
188,public,8.0,20.0,noVIPV,SPRING
189,home,43.0,107.5,noVIPV,SPRING
189,work,0.0,0.0,noVIPV,SPRING
189,public,8.0,20.0,noVIPV,SPRING
190,home,60.0,150.0,noVIPV,SPRING
190,work,1.0,2.5,noVIPV,SPRING
190,public,10.0,25.0,noVIPV,SPRING
191,home,53.0,132.5,noVIPV,SPRING
191,work,1.0,2.5,noVIPV,SPRING
191,public,39.0,97.5,noVIPV,SPRING
192,home,25.0,62.5,noVIPV,SPRING
192,work,0.0,0.0,noVIPV,SPRING
192,public,34.0,85.0,noVIPV,SPRING
193,home,11.0,27.5,noVIPV,SPRING
193,work,3.0,7.5,noVIPV,SPRING
193,public,21.0,52.5,noVIPV,SPRING
194,home,8.0,20.0,noVIPV,SPRING
194,work,2.0,5.0,noVIPV,SPRING
194,public,0.0,0.0,noVIPV,SPRING
195,home,9.0,22.5,noVIPV,SPRING
195,work,1.0,2.5,noVIPV,SPRING
195,public,5.0,12.5,noVIPV,SPRING
196,home,31.0,77.5,noVIPV,SPRING
196,work,0.0,0.0,noVIPV,SPRING
196,public,21.0,52.5,noVIPV,SPRING
197,home,41.0,102.5,noVIPV,SPRING
197,work,13.0,32.5,noVIPV,SPRING
197,public,24.0,60.0,noVIPV,SPRING
198,home,14.0,35.0,noVIPV,SPRING
198,work,19.0,47.5,noVIPV,SPRING
198,public,5.0,12.5,noVIPV,SPRING
199,home,0.0,0.0,noVIPV,SPRING
