HexID,noVIPV_cost,noVIPV_time_min,VIPV_cost,VIPV_time_min,Cost_saving_SEK_day,Time_saving_min_day,Cost_reduction_pct,Time_reduction_pct
0,1917.9446234426603,8610.619634703196,1647.5969562564935,7313.26894977169,270.34766718616675,1297.3506849315063,14.095697231388243,15.06686789070117
1,3275.0121973073697,13079.04703196347,3315.83412493508,12978.66107305936,-40.821927627710465,100.38595890410943,-1.2464664303013344,0.7675326700697639
10,2850.737952614816,12400.516894977169,2386.3033714165476,10180.74315068493,464.43458119826846,2219.773744292239,16.29173178728229,17.900654973433877
100,4030.209116170782,13606.11792237443,3725.030609482922,12880.414726027399,305.17850668786014,725.7031963470308,7.572274735406758,5.333653585007199
101,2362.666537912795,10016.44098173516,2172.1579620195703,9407.275456621002,190.5085758932246,609.1655251141583,8.063286665139039,6.081656410944397
102,851.0225098406523,3318.7681506849317,1129.6358570747523,4572.29908675799,-278.61334723409993,-1253.5309360730585,-32.73865779252633,-37.77097040702747
103,285.89937515020426,692.1113013698629,362.14734329342457,624.5885844748859,-76.2479681432203,67.52271689497695,-26.669511992868667,9.756048884237616
104,389.61172309322217,1312.4723744292237,221.03058914215154,812.0803652968037,168.58113395107063,500.39200913241996,43.26900962133891,38.125907933874316
105,949.2031995725094,3538.6818493150686,988.0088246841665,3128.380251141553,-38.80562511165704,410.3015981735157,-4.0882315956302975,11.594758038305473
106,284.3338271313261,1034.6489726027398,444.82914384212836,1463.7219178082194,-160.49531671080229,-429.0729452054795,-56.44608604261281,-41.47038817678553
107,3871.661293199428,8293.010502283105,3295.1361177028234,7202.05787671233,576.5251754966048,1090.9526255707751,14.890899069845574,13.155085541859988
108,4931.8524373284245,11136.316095890412,4396.055567408584,10257.371461187216,535.7968699198409,878.9446347031953,10.864008538951362,7.892597759752425
109,2510.19142120755,7302.5094748858455,2690.2408195668786,6868.983675799087,-180.04939835932873,433.5257990867585,-7.172735785732005,5.936668765411434
11,2373.851318988394,9867.076369863014,2265.679278615099,9485.249200913242,108.17204037329475,381.8271689497724,4.556816153902671,3.8697092698703144
110,10158.793535447225,22694.453424657535,9645.706138906091,21175.53264840183,513.0873965411338,1518.9207762557053,5.050672550345772,6.692916316748114
111,8330.783426263926,12979.989611872146,6384.950118995906,9911.170776255707,1945.8333072680198,3068.818835616439,23.35714671363939,23.642690998839814
112,5687.999484017683,13453.072488584477,5021.438497684769,12624.039954337899,666.5609863329146,829.0325342465785,11.71872445146731,6.162402937693594
113,4147.726027397261,5618.615753424658,4269.547945205479,6086.657762557077,-121.82191780821813,-468.0420091324195,-2.9370772563939718,-8.33020141744234
