HexID,chargerAccessType,noVIPV_sessions,VIPV50_Wp700_sessions,Avoided_sessions_day,Frequency_reduction_pct
0,home,54.43835616438356,43.054794520547944,11.38356164383562,20.91092098641168
0,public,0.0,0.0,0.0,
0,work,0.0,0.0,0.0,
1,home,88.16438356164383,91.82191780821918,-3.657534246575352,-4.148539465506537
1,public,0.0,0.0,0.0,
1,work,10.013698630136986,13.13013698630137,-3.116438356164384,-31.121751025991795
10,home,78.06164383561644,73.76712328767124,4.294520547945197,5.5014477494077285
10,public,0.0,0.0,0.0,
10,work,2.506849315068493,1.2465753424657535,1.2602739726027394,50.27322404371584
100,home,86.8082191780822,84.32191780821918,2.486301369863014,2.864131292409658
100,public,66.21917808219177,60.60958904109589,5.609589041095887,8.471245345469587
100,work,0.0,0.0,0.0,
101,home,61.82876712328767,59.986301369863014,1.842465753424655,2.979949041763594
101,public,0.0,0.0,0.0,
101,work,1.8835616438356164,0.6232876712328768,1.2602739726027397,66.9090909090909
102,home,17.493150684931507,25.636986301369863,-8.143835616438356,-46.55442443226312
102,public,0.0,0.0,0.0,
102,work,0.0,0.0,0.0,
103,home,15.020547945205479,16.876712328767123,-1.8561643835616444,-12.357501139990886
103,public,2.5,4.993150684931507,-2.493150684931507,-99.72602739726028
103,work,0.0,0.0,0.0,
104,home,11.280821917808218,5.623287671232877,5.6575342465753415,50.151791135397694
104,public,0.0,0.0,0.0,
104,work,0.0,0.0,0.0,
105,home,18.095890410958905,19.397260273972602,-1.3013698630136972,-7.191521574564716
105,public,4.36986301369863,7.52054794520548,-3.1506849315068495,-72.10031347962382
105,work,0.0,0.0,0.0,
106,home,6.267123287671233,6.8561643835616435,-0.5890410958904102,-9.398907103825124
106,public,2.5136986301369864,1.8630136986301369,0.6506849315068495,25.88555858310627
106,work,0.0,0.0,0.0,
107,home,43.76712328767123,37.465753424657535,6.301369863013697,14.39749608763693
107,public,30.664383561643834,28.76027397260274,1.904109589041095,6.209515300424389
107,work,11.856164383561644,10.013698630136986,1.8424657534246585,15.54015020219527
108,home,61.226027397260275,61.83561643835616,-0.6095890410958873,-0.9956370958720164
108,public,31.863013698630137,31.856164383561644,0.006849315068492956,0.021496130696474023
108,work,1.2534246575342465,2.4863013698630136,-1.2328767123287672,-98.36065573770493
109,home,51.86986301369863,42.49315068493151,9.37671232876712,18.077380166380557
109,public,17.458904109589042,22.54794520547945,-5.089041095890408,-29.148685759121207
109,work,0.0,0.0,0.0,
11,home,59.37671232876713,58.726027397260275,0.6506849315068521,1.0958588072442081
11,public,0.0,0.0,0.0,
11,work,7.47945205479452,5.609589041095891,1.8698630136986294,24.99999999999999
110,home,125.01369863013699,116.17808219178082,8.835616438356169,7.067718606180148
110,public,88.20547945205479,80.63013698630137,7.5753424657534225,8.588290107159494
110,work,10.636986301369863,12.493150684931507,-1.8561643835616444,-17.45009658725049
111,home,37.486301369863014,31.232876712328768,6.2534246575342465,16.68189292892381
111,public,98.6027397260274,96.22602739726027,2.376712328767127,2.410391775493196
111,work,23.13013698630137,14.321917808219178,8.808219178082192,38.0811371039384
112,home,74.4041095890411,73.06849315068493,1.335616438356169,1.7950842308754549
112,public,43.18493150684932,34.363013698630134,8.821917808219183,20.42823156225219
112,work,8.13013698630137,7.52054794520548,0.60958904109589,7.497893850042118
113,home,0.0,0.0,0.0,
113,public,36.21232876712329,41.273972602739725,-5.061643835616437,-13.977681104596174
113,work,38.78767123287671,39.897260273972606,-1.1095890410958944,-2.8606745541232668
114,home,12.513698630136986,13.767123287671232,-1.2534246575342465,-10.016420361247947
114,public,23.123287671232877,23.80821917808219,-0.6849315068493134,-2.9620853080568645
114,work,48.705479452054796,43.07534246575342,5.630136986301373,11.559555618056539
115,home,71.28082191780823,73.08219178082192,-1.80136986301369,-2.5271451907369915
115,public,43.0958904109589,43.14383561643836,-0.0479452054794578,-0.11125238397967004
115,work,10.63013698630137,11.23972602739726,-0.6095890410958908,-5.734536082474231
116,home,2.5,3.1095890410958904,-0.6095890410958904,-24.383561643835616
116,public,1.2602739726027397,1.2397260273972603,0.020547945205479312,1.6304347826086847
116,work,6.2465753424657535,9.39041095890411,-3.1438356164383556,-50.32894736842104
117,home,55.657534246575345,48.75342465753425,6.904109589041099,12.404627122815658
117,public,44.321917808219176,39.4041095890411,4.917808219178077,11.09565754906505
117,work,8.732876712328768,5.616438356164384,3.116438356164384,35.68627450980392
118,home,65.01369863013699,66.34931506849315,-1.335616438356169,-2.0543615676359113
118,public,103.17123287671232,114.42465753424658,-11.253424657534254,-10.90752174201687
118,work,11.226027397260275,13.116438356164384,-1.8904109589041092,-16.839536302623547
119,home,58.78082191780822,56.89041095890411,1.8904109589041056,3.2160335586110396
119,public,23.15068493150685,20.623287671232877,2.527397260273972,10.917159763313606
119,work,15.636986301369863,15.616438356164384,0.020547945205478868,0.13140604467805145
12,home,28.15068493150685,34.97945205479452,-6.8287671232876725,-24.25790754257908
12,public,0.0,0.0,0.0,
12,work,10.602739726027398,9.363013698630137,1.2397260273972606,11.692506459948323
120,home,76.91095890410959,66.13698630136986,10.773972602739732,14.008371181761518
120,public,20.65753424657534,21.815068493150687,-1.157534246575345,-5.603448275862082
120,work,4.36986301369863,5.636986301369863,-1.2671232876712324,-28.996865203761743
121,home,13.123287671232877,14.979452054794521,-1.8561643835616444,-14.144050104384139
121,public,0.0,0.0,0.0,
121,work,0.0,0.0,0.0,
122,home,8.123287671232877,6.86986301369863,1.2534246575342465,15.430016863406406
122,public,0.0,0.0,0.0,
122,work,0.0,0.0,0.0,
123,home,50.0,47.42465753424658,2.5753424657534225,5.150684931506845
123,public,31.84931506849315,26.945205479452056,4.904109589041095,15.397849462365588
123,work,4.986301369863014,2.5,2.486301369863014,49.862637362637365
124,home,77.47260273972603,68.76027397260275,8.712328767123282,11.245690036247892
124,public,19.410958904109588,19.363013698630137,0.04794520547945069,0.24700070571629504
124,work,0.0,0.0,0.0,
125,home,65.56164383561644,76.1986301369863,-10.63698630136986,-16.22440451316339
125,public,48.74657534246575,56.917808219178085,-8.171232876712331,-16.762680904875655
125,work,4.376712328767123,3.732876712328767,0.6438356164383561,14.710485133020342
126,home,115.05479452054794,111.21232876712328,3.842465753424662,3.339683295630436
126,public,49.36986301369863,39.945205479452056,9.42465753424657,19.08990011098778
126,work,0.0,0.0,0.0,
127,home,101.91780821917808,103.07534246575342,-1.157534246575338,-1.1357526881720386
127,public,29.34931506849315,31.856164383561644,-2.506849315068493,-8.541423570595098
127,work,0.0,0.0,0.0,
128,home,28.10958904109589,31.205479452054796,-3.095890410958905,-11.013645224171542
128,public,0.0,0.0,0.0,
128,work,3.1301369863013697,2.5,0.6301369863013697,20.131291028446388
129,home,7.493150684931507,6.863013698630137,0.6301369863013697,8.409506398537475
129,public,6.86986301369863,9.349315068493151,-2.479452054794521,-36.091724825523436
129,work,0.0,0.0,0.0,
13,home,6.883561643835616,10.60958904109589,-3.7260273972602747,-54.12935323383086
13,public,0.0,0.0,0.0,
13,work,3.1301369863013697,6.863013698630137,-3.7328767123287676,-119.25601750547047
130,home,2.4863013698630136,0.6164383561643836,1.86986301369863,75.20661157024793
130,public,1.8630136986301369,1.2465753424657535,0.6164383561643834,33.08823529411764
130,work,0.0,0.0,0.0,
131,home,0.0,0.0,0.0,
131,public,8.76027397260274,10.006849315068493,-1.2465753424657535,-14.22986708365911
131,work,0.0,0.0,0.0,
132,home,35.64383561643836,33.71917808219178,1.9246575342465775,5.399692544196777
132,public,0.0,0.0,0.0,
132,work,3.7534246575342465,4.376712328767123,-0.6232876712328768,-16.605839416058394
133,home,78.73287671232876,71.77397260273973,6.958904109589028,8.838625489343176
133,public,47.50684931506849,40.034246575342465,7.472602739726028,15.729527104959633
133,work,1.8767123287671232,1.8904109589041096,-0.013698630136986356,-0.729927007299273
134,home,169.91780821917808,162.34246575342465,7.575342465753437,4.458239277652377
134,public,65.11643835616438,50.602739726027394,14.513698630136986,22.288839802250976
134,work,18.71232876712329,14.363013698630137,4.349315068493151,23.243045387994147
135,home,76.28767123287672,65.56164383561644,10.726027397260282,14.059974860836784
135,public,84.39041095890411,79.9931506849315,4.397260273972606,5.210616021426835
135,work,27.486301369863014,32.465753424657535,-4.979452054794521,-18.11612260154498
136,home,78.16438356164383,76.33561643835617,1.8287671232876619,2.3396424815983057
136,public,23.801369863013697,20.63013698630137,3.1712328767123275,13.32374100719424
136,work,8.10958904109589,8.143835616438356,-0.03424657534246478,-0.42229729729728527
137,home,49.36986301369863,47.47945205479452,1.8904109589041056,3.8290788013318457
137,public,21.267123287671232,13.746575342465754,7.520547945205479,35.362318840579704
137,work,11.23972602739726,5.6438356164383565,5.595890410958904,49.78671541742839
138,home,0.0,0.0,0.0,
138,public,53.06164383561644,50.62328767123287,2.4383561643835634,4.595327223441336
138,work,15.664383561643836,13.726027397260275,1.9383561643835616,12.374289462177526
139,home,53.74657534246575,53.76027397260274,-0.013698630136985912,-0.025487447432138946
139,public,45.054794520547944,45.602739726027394,-0.5479452054794507,-1.2161751292186045
139,work,12.5,11.849315068493151,0.6506849315068486,5.205479452054789
14,home,5.616438356164384,6.8493150684931505,-1.2328767123287667,-21.951219512195113
14,public,0.0,0.0,0.0,
14,work,0.0,0.0,0.0,
140,home,10.006849315068493,8.10958904109589,1.897260273972602,18.959616700889796
140,public,13.095890410958905,9.986301369863014,3.109589041095891,23.744769874476987
140,work,0.0,0.0,0.0,
141,home,142.44520547945206,140.52739726027397,1.9178082191780845,1.3463480309660063
141,public,41.23972602739726,31.26027397260274,9.979452054794521,24.198638099983395
141,work,8.746575342465754,12.479452054794521,-3.7328767123287676,-42.678151918559124
142,home,68.68493150684931,62.465753424657535,6.219178082191775,9.054646988432381
142,public,116.28767123287672,97.5,18.78767123287672,16.156202143951
142,work,52.49315068493151,53.10958904109589,-0.6164383561643803,-1.1743215031315177
143,home,49.39041095890411,42.52054794520548,6.869863013698634,13.909305228123708
143,public,48.178082191780824,32.47945205479452,15.698630136986303,32.58458913847029
143,work,28.13013698630137,20.60958904109589,7.520547945205479,26.734842951059164
144,home,71.28767123287672,74.93835616438356,-3.650684931506845,-5.121060722521131
144,public,26.28082191780822,23.068493150684933,3.212328767123285,12.223090956476405
144,work,0.6164383561643836,3.136986301369863,-2.5205479452054798,-408.8888888888889
145,home,0.0,0.0,0.0,
145,public,0.6301369863013698,0.6301369863013698,0.0,0.0
145,work,0.0,0.0,0.0,
146,home,0.0,0.0,0.0,
146,public,3.1232876712328768,2.493150684931507,0.6301369863013697,20.175438596491222
146,work,0.0,0.0,0.0,
147,home,21.232876712328768,23.73972602739726,-2.506849315068493,-11.806451612903224
147,public,0.0,0.0,0.0,
147,work,0.0,0.0,0.0,
148,home,48.0958904109589,52.5,-4.404109589041099,-9.156935346055262
148,public,40.62328767123287,37.554794520547944,3.0684931506849296,7.553532287978414
148,work,12.520547945205479,9.979452054794521,2.5410958904109577,20.295404814004367
149,home,66.1986301369863,70.56164383561644,-4.363013698630141,-6.590791515778589
149,public,50.58904109589041,42.513698630136986,8.075342465753423,15.962632006498778
149,work,1.2465753424657535,3.7534246575342465,-2.506849315068493,-201.09890109890108
15,home,2.5136986301369864,4.36986301369863,-1.856164383561644,-73.84196185286103
15,public,0.0,0.0,0.0,
15,work,5.013698630136986,4.3561643835616435,0.6575342465753424,13.114754098360656
150,home,51.32876712328767,46.205479452054796,5.123287671232873,9.981318388043762
150,public,8.143835616438356,5.657534246575342,2.486301369863013,30.529857022708153
150,work,3.7465753424657535,5.616438356164384,-1.8698630136986303,-49.90859232175504
151,home,0.0,0.0,0.0,
151,public,12.506849315068493,13.732876712328768,-1.2260273972602747,-9.802847754654989
151,work,0.0,0.0,0.0,
152,home,102.47260273972603,97.39041095890411,5.0821917808219155,4.959561526635918
152,public,38.12328767123287,37.45205479452055,0.6712328767123239,1.7606899029823806
152,work,0.0,0.0,0.0,
153,home,92.52739726027397,78.76712328767124,13.760273972602732,14.87156710341253
153,public,25.636986301369863,20.595890410958905,5.041095890410958,19.663371627037133
153,work,5.657534246575342,5.013698630136986,0.6438356164383565,11.38014527845037
154,home,17.506849315068493,11.253424657534246,6.2534246575342465,35.719874804381845
154,public,13.732876712328768,13.73972602739726,-0.006849315068492956,-0.049875311720696834
154,work,34.42465753424658,22.513698630136986,11.910958904109592,34.60007958615201
155,home,35.62328767123287,38.71917808219178,-3.0958904109589085,-8.690636416073845
