chargerAccessType,noVIPV,VIPV50_Wp700,Reduction,Reduction_pct,noVIPV_share_pct,VIPV50_Wp700_share_pct,Share_change_percentage_points
home,23571.85616438356,21978.73287671233,1593.123287671231,6.758582254028843,53.682866408944555,54.005654201706704,0.3227877927621492
public,15420.32191780822,14350.09589041096,1070.2260273972606,6.940361122820049,35.118451246423795,35.260736857128244,0.14228561070444812
work,4917.280821917809,4368.267123287671,549.0136986301377,11.16498566002205,11.198682344631646,10.733608941165066,-0.46507340346657955
