TimeIndex,Hour,chargerAccessType,noVIPV,VIPV50_Wp700,Reduction,Reduction_pct
1,0.0,home,1275.0684931506848,1168.2397260273972,106.82876712328766,8.378276751181778
1,0.0,public,245.3972602739726,221.5068493150685,23.890410958904084,9.73540247850842
1,0.0,work,1.86986301369863,0.6232876712328768,1.2465753424657533,66.66666666666666
2,0.5,home,895.2808219178082,808.054794520548,87.22602739726028,9.742867853508887
2,0.5,public,179.7054794520548,191.67123287671234,-11.96575342465755,-6.658535655753335
2,0.5,work,0.6301369863013698,0.0,0.6301369863013698,100.0
3,1.0,home,378.1575342465753,366.9246575342466,11.232876712328732,2.970422560721586
3,1.0,public,81.38356164383562,73.23972602739725,8.143835616438366,10.006732873253673
3,1.0,work,0.0,0.0,0.0,
4,1.5,home,142.1027397260274,135.2123287671233,6.890410958904113,4.848893815973396
4,1.5,public,35.034246575342465,38.78082191780822,-3.7465753424657535,-10.694037145650048
4,1.5,work,0.0,0.0,0.0,
5,2.0,home,48.863013698630134,44.47260273972603,4.390410958904106,8.98514157555368
5,2.0,public,11.267123287671232,11.280821917808218,-0.013698630136985912,-0.12158054711245855
5,2.0,work,0.0,0.0,0.0,
6,2.5,home,10.657534246575343,9.376712328767123,1.28082191780822,12.017994858611832
6,2.5,public,1.86986301369863,2.5136986301369864,-0.6438356164383563,-34.432234432234445
6,2.5,work,0.0,0.0,0.0,
7,3.0,home,3.1232876712328768,0.6232876712328768,2.5,80.04385964912281
7,3.0,public,0.0,0.0,0.0,
7,3.0,work,0.0,0.0,0.0,
8,3.5,home,0.0,0.0,0.0,
8,3.5,public,0.0,0.6164383561643836,-0.6164383561643836,
8,3.5,work,0.0,0.0,0.0,
9,4.0,home,0.0,0.0,0.0,
9,4.0,public,8.767123287671232,4.376712328767123,4.390410958904109,50.078125
9,4.0,work,11.863013698630137,8.732876712328768,3.1301369863013697,26.385681293302536
10,4.5,home,0.0,0.0,0.0,
10,4.5,public,14.979452054794521,13.773972602739725,1.2054794520547958,8.04755372656608
10,4.5,work,30.67808219178082,30.589041095890412,0.08904109589040843,0.2902433578923785
11,5.0,home,9.383561643835616,6.883561643835616,2.5,26.642335766423358
11,5.0,public,41.842465753424655,39.4041095890411,2.4383561643835563,5.827467670649848
11,5.0,work,107.52739726027397,78.07534246575342,29.45205479452055,27.390279635645584
12,5.5,home,8.773972602739725,9.404109589041095,-0.6301369863013697,-7.181889149102263
12,5.5,public,61.363013698630134,78.0958904109589,-16.732876712328768,-27.26866837816721
12,5.5,work,145.7054794520548,113.56849315068493,32.13698630136986,22.05612748554506
13,6.0,home,5.616438356164384,4.383561643835616,1.2328767123287676,21.95121951219513
13,6.0,public,208.33561643835617,172.9794520547945,35.35616438356166,16.97077292303647
13,6.0,work,304.63013698630135,266.0753424657534,38.554794520547944,12.65626405252271
14,6.5,home,10.616438356164384,8.73972602739726,1.8767123287671232,17.67741935483871
14,6.5,public,240.1164383561644,237.42465753424656,2.691780821917831,1.1210314630459062
14,6.5,work,435.17123287671234,379.9178082191781,55.253424657534254,12.696938695207367
15,7.0,home,21.876712328767123,26.828767123287673,-4.952054794520549,-22.636192861615534
15,7.0,public,516.2945205479452,476.527397260274,39.76712328767127,7.702410485679041
15,7.0,work,804.0753424657535,706.0890410958904,97.9863013698631,12.18620895268113
16,7.5,home,30.636986301369863,30.65068493150685,-0.013698630136985912,-0.04471272076905752
16,7.5,public,638.6643835616438,588.2260273972603,50.43835616438355,7.897474395409939
16,7.5,work,911.3219178082192,785.4383561643835,125.8835616438356,13.813292447370594
17,8.0,home,48.76027397260274,34.342465753424655,14.417808219178085,29.56875965725524
17,8.0,public,550.568493150685,486.7191780821918,63.84931506849318,11.596979460831275
17,8.0,work,542.7465753424658,478.17123287671234,64.57534246575347,11.89788114738583
18,8.5,home,100.5,92.41780821917808,8.082191780821915,8.041981871464593
18,8.5,public,464.9178082191781,409.8082191780822,55.10958904109589,11.853619729514717
18,8.5,work,325.8767123287671,267.3835616438356,58.49315068493149,17.949472445247803
19,9.0,home,153.13013698630138,126.24657534246575,26.883561643835634,17.556022722189926
19,9.0,public,424.36986301369865,406.6986301369863,17.671232876712338,4.164111172084318
19,9.0,work,163.3082191780822,170.14383561643837,-6.835616438356169,-4.185714884871873
20,9.5,home,217.6095890410959,199.45205479452054,18.157534246575352,8.344087375279347
20,9.5,public,453.7328767123288,435.63698630136986,18.09589041095893,3.988225526454832
20,9.5,work,110.1027397260274,120.67808219178082,-10.575342465753423,-9.604976671850698
21,10.0,home,285.13013698630135,262.6506849315069,22.47945205479448,7.88392707007133
21,10.0,public,487.0753424657534,483.986301369863,3.0890410958904226,0.6342019040119271
21,10.0,work,104.98630136986301,95.06164383561644,9.924657534246577,9.453288100208772
22,10.5,home,299.45205479452056,284.3150684931507,15.13698630136986,5.054894784995424
22,10.5,public,551.0958904109589,483.6232876712329,67.47260273972597,12.24335073328361
22,10.5,work,105.65068493150685,101.75342465753425,3.8972602739725914,3.688816855753636
23,11.0,home,483.972602739726,467.5821917808219,16.390410958904113,3.3866402490801026
23,11.0,public,565.1849315068494,567.2876712328767,-2.10273972602738,-0.37204454839608503
23,11.0,work,65.58219178082192,59.986301369863014,5.595890410958901,8.532637075718013
24,11.5,home,519.554794520548,478.6575342465753,40.89726027397262,7.871597126095844
24,11.5,public,645.7054794520548,598.4794520547945,47.22602739726028,7.31386505149937
24,11.5,work,91.24657534246575,93.66438356164383,-2.4178082191780845,-2.649752289446032
25,12.0,home,630.9041095890411,560.3698630136986,70.53424657534254,11.17986798679869
25,12.0,public,664.554794520548,567.2739726027397,97.28082191780823,14.638495233187324
25,12.0,work,121.91095890410959,99.15068493150685,22.760273972602747,18.66958817911119
26,12.5,home,614.6438356164383,567.7465753424658,46.897260273972506,7.6299895250618315
26,12.5,public,646.8013698630137,587.8150684931506,58.9863013698631,9.11969332754441
26,12.5,work,146.25342465753425,135.47260273972603,10.780821917808225,7.371329555565967
27,13.0,home,621.3013698630137,594.2123287671233,27.08904109589048,4.360048506228652
27,13.0,public,593.7602739726027,570.9520547945206,22.80821917808214,3.841317814255549
27,13.0,work,105.58219178082192,111.26712328767124,-5.684931506849324,-5.384365877392159
28,13.5,home,699.6575342465753,670.6780821917808,28.97945205479448,4.141948115516391
28,13.5,public,572.1232876712329,541.7534246575342,30.369863013698705,5.3082724769544
28,13.5,work,60.02739726027397,67.65068493150685,-7.623287671232873,-12.699680511182104
29,14.0,home,852.2808219178082,836.9109589041096,15.369863013698591,1.8033801322800176
29,14.0,public,609.0616438356165,543.2602739726027,65.80136986301375,10.80372906896979
29,14.0,work,72.47260273972603,57.513698630136986,14.958904109589042,20.640771193648998
30,14.5,home,800.486301369863,775.5,24.986301369862986,3.1213902507893283
30,14.5,public,519.8287671232877,509.3150684931507,10.513698630136957,2.022531128532836
30,14.5,work,38.11643835616438,27.568493150684933,10.547945205479447,27.672955974842758
31,15.0,home,928.7671232876712,816.0068493150685,112.7602739726027,12.140855457227135
31,15.0,public,513.9383561643835,489.8904109589041,24.047945205479436,4.679149730125938
31,15.0,work,16.856164383561644,18.068493150684933,-1.2123287671232887,-7.192198293376682
32,15.5,home,1117.5616438356165,1077.3013698630136,40.26027397260282,3.6025103576769455
32,15.5,public,573.8972602739726,523.6712328767123,50.22602739726028,8.751745455847427
32,15.5,work,15.650684931506849,11.23972602739726,4.410958904109588,28.183807439824943
33,16.0,home,1256.9931506849316,1203.9383561643835,53.05479452054806,4.220770375052455
33,16.0,public,603.986301369863,582.9109589041096,21.07534246575335,3.489374248712877
33,16.0,work,23.71232876712329,19.376712328767123,4.3356164383561655,18.284228769497403
34,16.5,home,1414.958904109589,1289.8013698630136,125.15753424657532,8.845312318475777
