TimeIndex,chargerAccessType,Hour,Sample_session_starts,Fullscale_avg_daily_session_starts,Scenario,Season
34,public,16.5,239.0,597.5,noVIPV,SPRING
35,home,17.0,488.0,1220.0,noVIPV,SPRING
35,work,17.0,1.0,2.5,noVIPV,SPRING
35,public,17.0,212.0,530.0,noVIPV,SPRING
36,home,17.5,432.0,1080.0,noVIPV,SPRING
36,work,17.5,1.0,2.5,noVIPV,SPRING
36,public,17.5,192.0,480.0,noVIPV,SPRING
37,home,18.0,415.0,1037.5,noVIPV,SPRING
37,work,18.0,2.0,5.0,noVIPV,SPRING
37,public,18.0,158.0,395.0,noVIPV,SPRING
38,home,18.5,280.0,700.0,noVIPV,SPRING
38,work,18.5,1.0,2.5,noVIPV,SPRING
38,public,18.5,119.0,297.5,noVIPV,SPRING
39,home,19.0,231.0,577.5,noVIPV,SPRING
39,work,19.0,1.0,2.5,noVIPV,SPRING
39,public,19.0,77.0,192.5,noVIPV,SPRING
40,home,19.5,215.0,537.5,noVIPV,SPRING
40,work,19.5,3.0,7.5,noVIPV,SPRING
40,public,19.5,85.0,212.5,noVIPV,SPRING
41,home,20.0,155.0,387.5,noVIPV,SPRING
41,work,20.0,0.0,0.0,noVIPV,SPRING
41,public,20.0,54.0,135.0,noVIPV,SPRING
42,home,20.5,130.0,325.0,noVIPV,SPRING
42,work,20.5,0.0,0.0,noVIPV,SPRING
42,public,20.5,48.0,120.0,noVIPV,SPRING
43,home,21.0,113.0,282.5,noVIPV,SPRING
43,work,21.0,2.0,5.0,noVIPV,SPRING
43,public,21.0,26.0,65.0,noVIPV,SPRING
44,home,21.5,97.0,242.5,noVIPV,SPRING
44,work,21.5,1.0,2.5,noVIPV,SPRING
44,public,21.5,16.0,40.0,noVIPV,SPRING
45,home,22.0,100.0,250.0,noVIPV,SPRING
45,work,22.0,0.0,0.0,noVIPV,SPRING
45,public,22.0,10.0,25.0,noVIPV,SPRING
46,home,22.5,66.0,165.0,noVIPV,SPRING
46,work,22.5,0.0,0.0,noVIPV,SPRING
46,public,22.5,5.0,12.5,noVIPV,SPRING
47,home,23.0,76.0,190.0,noVIPV,SPRING
47,work,23.0,0.0,0.0,noVIPV,SPRING
47,public,23.0,7.0,17.5,noVIPV,SPRING
48,home,23.5,63.0,157.5,noVIPV,SPRING
48,work,23.5,0.0,0.0,noVIPV,SPRING
48,public,23.5,4.0,10.0,noVIPV,SPRING
1,home,0.0,204.0,510.0,noVIPV,SUMMER
1,work,0.0,0.0,0.0,noVIPV,SUMMER
1,public,0.0,41.0,102.5,noVIPV,SUMMER
2,home,0.5,91.0,227.5,noVIPV,SUMMER
2,work,0.5,0.0,0.0,noVIPV,SUMMER
