HexID,chargerAccessType,noVIPV_cost,noVIPV_time_min,VIPV_cost,VIPV_time_min,Cost_saving_SEK_day,Time_saving_min_day,Cost_reduction_pct,Time_reduction_pct
0,home,1917.9446234426603,8610.619634703196,1647.5969562564935,7313.26894977169,270.34766718616675,1297.3506849315063,14.095697231388243,15.06686789070117
0,public,0.0,0.0,0.0,0.0,0.0,0.0,,
0,work,0.0,0.0,0.0,0.0,0.0,0.0,,
1,home,2787.368361690931,12137.441894977168,2727.806727674806,11901.952511415524,59.561634016125026,235.489383561644,2.1368411450287295,1.9401895852461009
1,public,0.0,0.0,0.0,0.0,0.0,0.0,,
1,work,487.64383561643837,941.6051369863013,588.027397260274,1076.7085616438355,-100.38356164383566,-135.10342465753422,-20.585426147536385,-14.348203864939165
10,home,2790.4639800120763,12235.780365296803,2339.234878265863,10077.058904109588,451.2291017462135,2158.721461187215,16.17039692962676,17.642695412462572
10,public,0.0,0.0,0.0,0.0,0.0,0.0,,
10,work,60.273972602739725,164.7365296803653,47.06849315068493,103.68424657534247,13.205479452054796,61.05228310502282,21.909090909090914,37.060561627394506
100,home,3223.065280554344,12860.400342465753,2888.4655409897714,12153.210273972603,334.5997395645727,707.1900684931497,10.3814136680168,5.4989739795111126
100,public,807.1438356164383,745.7175799086757,836.5650684931506,727.2044520547945,-29.421232876712338,18.5131278538812,-3.645104079156167,2.48259238519607
100,work,0.0,0.0,0.0,0.0,0.0,0.0,,
101,home,2282.474757090877,9842.363356164384,2167.171660649707,9380.98310502283,115.30309644117006,461.38025114155425,5.051670169975038,4.687697806366665
101,public,0.0,0.0,0.0,0.0,0.0,0.0,,
101,work,80.1917808219178,174.07762557077626,4.986301369863014,26.292351598173518,75.20547945205479,147.78527397260274,93.78202938161941,84.89619127560789
102,home,851.0225098406523,3318.7681506849317,1129.6358570747523,4572.29908675799,-278.61334723409993,-1253.5309360730585,-32.73865779252633,-37.77097040702747
102,public,0.0,0.0,0.0,0.0,0.0,0.0,,
102,work,0.0,0.0,0.0,0.0,0.0,0.0,,
103,home,186.18362172554674,579.5852739726026,110.91789123863003,389.75353881278545,75.26573048691671,189.83173515981719,40.42553785846207,32.75302939611793
103,public,99.71575342465754,112.52602739726028,251.2294520547945,234.83504566210047,-151.51369863013696,-122.30901826484019,-151.94559879108422,-108.69398048954682
103,work,0.0,0.0,0.0,0.0,0.0,0.0,,
104,home,389.61172309322217,1312.4723744292237,221.03058914215154,812.0803652968037,168.58113395107063,500.39200913241996,43.26900962133891,38.125907933874316
104,public,0.0,0.0,0.0,0.0,0.0,0.0,,
104,work,0.0,0.0,0.0,0.0,0.0,0.0,,
105,home,640.073062586208,3239.8770547945205,561.4951260540295,2697.1961187214615,78.57793653217857,542.680936073059,12.276401105630864,16.75004720533992
105,public,309.13013698630135,298.80479452054794,426.513698630137,431.18413242009126,-117.38356164383566,-132.37933789954332,-37.97221545210823,-44.302949727414756
105,work,0.0,0.0,0.0,0.0,0.0,0.0,,
106,home,201.38177233680554,894.2043378995435,339.6510616503475,1344.1639269406394,-138.26928931354198,-449.9595890410959,-68.66028027714958,-50.319548896176926
106,public,82.95205479452055,140.44463470319636,105.17808219178082,119.5579908675799,-22.226027397260268,20.886643835616454,-26.793823796548583,14.871799040067637
106,work,0.0,0.0,0.0,0.0,0.0,0.0,,
107,home,1361.1791193673196,5754.412671232877,1155.1806382507687,5016.143721461188,205.99848111655092,738.2689497716892,15.133826120716549,12.829614279531953
107,public,2024.3999820512865,1551.8722602739726,1775.1061643835617,1431.2563926940638,249.29381766772485,120.61586757990881,12.314454647204656,7.772280661722434
107,work,486.0821917808219,986.7255707762558,364.8493150684931,754.6577625570777,121.23287671232879,232.06780821917812,24.940818397024017,23.518981882329314
108,home,2178.595588013356,8930.186757990869,1986.3089920661182,8245.53584474886,192.28659594723786,684.6509132420088,8.826172099365284,7.666703192174259
108,public,2599.804794520548,1968.013127853881,2350.1575342465753,1876.0515981735161,249.64726027397273,91.96152968036495,9.602538652138007,4.672810784582978
108,work,153.45205479452054,238.11621004566211,59.58904109589041,135.7840182648402,93.86301369863013,102.33219178082192,61.16764863417247,42.97573515099971
109,home,1429.1023801116594,6351.779680365297,1277.230545594276,5620.711872146119,151.87183451738338,731.067808219178,10.62707869155723,11.50965312098378
109,public,1081.0890410958905,950.7297945205479,1413.0102739726028,1248.271803652968,-331.92123287671234,-297.54200913242005,-30.702487978256322,-31.296169621198228
109,work,0.0,0.0,0.0,0.0,0.0,0.0,,
11,home,2204.8650176185306,9448.192808219179,2120.9943471082497,9124.717579908676,83.87067051028089,323.47522831050264,3.8038913874586933,3.4236730227298584
11,public,0.0,0.0,0.0,0.0,0.0,0.0,,
11,work,168.986301369863,418.8835616438356,144.68493150684932,360.53162100456626,24.30136986301369,58.351940639269344,14.380674448767827,13.930348665456652
110,home,4094.5229875020186,16810.15296803653,3897.1479197280078,15799.89885844749,197.37506777401086,1010.254109589041,4.820465494429308,6.009785345261146
110,public,5681.010273972603,5040.453538812785,5215.5445205479455,4312.103082191781,465.4657534246571,728.350456621004,8.193362289048766,14.450097615472867
110,work,383.26027397260276,843.8469178082191,533.013698630137,1063.530707762557,-149.75342465753425,-219.68378995433795,-39.07355779541068,-26.033606963326662
111,home,1245.0539742091325,5412.976141552512,943.2754614616598,4110.692808219178,301.77851274747275,1302.2833333333338,24.238187178926495,24.058545600014817
111,public,5961.510273972603,5391.76301369863,4706.606164383562,4393.998630136986,1254.9041095890407,997.7643835616436,21.05010394879021,18.505345673143733
