Scenario,Season,Segment_rows,Daily_cost_SEK_fullscale,Daily_actual_charging_h_fullscale,Assigned_cost_share_pct,Assigned_time_share_pct
noVIPV,SPRING,81040,2076470.4631331908,80315.06388888888,92.82943277923226,91.82615199175831
noVIPV,SUMMER,82346,2091194.1023365448,81659.5236111111,92.9616211082097,91.73693202451365
noVIPV,AUTUMN,81695,1987664.7729079826,81378.36458333333,93.01984833909422,91.8245034159494
noVIPV,WINTER,81129,2113085.093482227,80708.44166666667,92.98406041987558,91.83638507592434
VIPV50_Wp700,SPRING,71302,1834187.4855516271,70652.78194444445,92.88854522285405,91.4831556035096
VIPV50_Wp700,SUMMER,72480,1873527.4549491785,71725.62708333334,92.73251007617819,91.44145587279102
VIPV50_Wp700,AUTUMN,77676,1885616.3283648188,77201.58541666667,92.76125660562488,91.56420875531998
VIPV50_Wp700,WINTER,79003,2044654.1412984654,78584.65138888889,93.09069579219904,91.70006674861534
