TimeIndex,Hour,chargerAccessType,noVIPV,VIPV50_Wp700,Saving,Reduction_pct
1,0.0,home,18980.230734801746,17570.22805964781,1410.0026751539372,7.4287962820630336
1,0.0,public,14228.277010124657,12953.567107940302,1274.709902184355,8.958989913376637
1,0.0,work,6.607326935875174,3.402568696972387,3.2047582389027873,48.50309769753054
2,0.5,home,21480.293627592073,19657.763652239017,1822.5299753530562,8.48466043784412
2,0.5,public,18151.835925996238,17248.767565099653,903.0683608965846,4.975080011621585
2,0.5,work,20.946141895033488,10.089989546211363,10.856152348822125,51.82888764539599
3,1.0,home,21204.41584148443,19538.763467181212,1665.6523743032194,7.855214624892086
3,1.0,public,17929.553538966295,17142.37120983505,787.182329131243,4.390417906505368
3,1.0,work,15.734270965825738,10.089989546211363,5.644281419614375,35.872532206122216
4,1.5,home,19432.56163765503,17895.996613690408,1536.5650239646238,7.907166603229384
4,1.5,public,14409.251044035685,13636.557606432867,772.6934376028184,5.362481611580039
4,1.5,work,10.672633640859022,10.089989546211363,0.5826440946476588,5.459234470647141
5,2.0,home,16871.43478650259,15544.561052553672,1326.8737339489162,7.8646170331075576
5,2.0,public,9326.060424273204,8419.768416505069,906.2920077681356,9.717844047088773
5,2.0,work,8.806749850077816,8.711024308229144,0.09572554184867244,1.0869565217391364
6,2.5,home,14272.306886175198,13000.634878179073,1271.672007996125,8.910066313301629
6,2.5,public,4469.379512216646,3918.7331876129742,550.6463246036715,12.32041993969251
6,2.5,work,0.0,0.0,0.0,
7,3.0,home,11505.952448650138,10358.349773892836,1147.6026747573014,9.97399111354694
7,3.0,public,1509.0917276722928,1378.6239441798732,130.46778349241958,8.645450843048511
7,3.0,work,0.0,0.0,0.0,
8,3.5,home,8779.233126221736,7872.1575159703525,907.0756102513833,10.332059727883726
8,3.5,public,449.94126885496917,419.8418556793021,30.099413175667053,6.689631571752774
8,3.5,work,0.0,0.0,0.0,
9,4.0,home,5963.732884662074,5407.636460063384,556.0964245986897,9.324636689025688
9,4.0,public,196.11881789481782,143.63990938563919,52.47890850917864,26.758731809878668
9,4.0,work,35.844281765311614,25.884217609888612,9.960064155423002,27.787037889714046
10,4.5,home,3624.273249212309,3316.608121025573,307.6651281867362,8.489015784160408
10,4.5,public,409.74007756475754,293.67324436493556,116.06683319982199,28.326941774808
10,4.5,work,307.9062657287182,263.4192151066077,44.48705062211053,14.44824466849466
11,5.0,home,1824.2527890776269,1677.9276688799252,146.3251201977016,8.02109888902437
11,5.0,public,753.3959077632072,763.5547357330204,-10.15882796981316,-1.3484049840374346
11,5.0,work,1010.1993844776895,783.9362255592891,226.26315891840034,22.397871390051062
12,5.5,home,390.04349563251026,394.3808624274969,-4.337366794986622,-1.112021311354769
12,5.5,public,1717.7149383830617,1929.291536337053,-211.57659795399127,-12.317328866753343
12,5.5,work,2627.7350910540194,1999.845463160373,627.8896278936465,23.894708033213185
13,6.0,home,195.93283032953155,220.61223091176115,-24.67940058222959,-12.595847536485998
13,6.0,public,4163.626384345256,3745.3994457568206,418.2269385884356,10.044775875206275
13,6.0,work,4742.500397960812,3761.3745759909857,981.1258219698261,20.68794390384642
14,6.5,home,208.02121465675214,192.64578123907447,15.37543341767767,7.391281433986473
14,6.5,public,8092.881430498027,7539.635577276728,553.2458532212986,6.83620361885436
14,6.5,work,8826.560120957227,7452.995985087368,1373.5641358698585,15.561715062797278
15,7.0,home,300.73895254321366,289.9543836956758,10.784568847537855,3.586023279105557
15,7.0,public,13814.577208455601,13383.98389340804,430.5933150475612,3.116948919609385
15,7.0,work,14001.518242288677,12317.767406992854,1683.750835295823,12.025487566129817
16,7.5,home,452.58722723179125,439.98191894611665,12.605308285674596,2.785166599325797
16,7.5,public,22846.05184475093,22146.369468587036,699.6823761638952,3.0625964648883217
16,7.5,work,23410.562658133706,20998.344092448737,2412.218565684969,10.303975179540906
17,8.0,home,803.3627886527441,713.3809870918168,89.98180156092735,11.200643449247714
17,8.0,public,30240.44511895114,28052.965690979316,2187.4794279718226,7.2336217915025625
17,8.0,work,28787.36092497856,25874.992914362858,2912.3680106157008,10.11682876455918
18,8.5,home,1051.3352058251667,965.9873961807094,85.34780964445724,8.118039724301813
18,8.5,public,31995.292478149742,28472.135149919763,3523.1573282299796,11.011486551141916
18,8.5,work,27296.034545628263,24663.127791324943,2632.9067543033198,9.645748175992862
19,9.0,home,2064.6133790943722,1842.895108683913,221.71827041045935,10.738972858333142
19,9.0,public,29286.89523329019,26164.563622668484,3122.331610621706,10.661190220916883
19,9.0,work,22986.212267731986,20659.51750477706,2326.694762954925,10.122132067061505
20,9.5,home,3395.568405015627,3079.139287731415,316.42911728421177,9.318885074346058
20,9.5,public,26021.09978128548,24232.65320700304,1788.4465742824395,6.873062973182633
20,9.5,work,17318.810327395764,15772.376773038455,1546.4335543573088,8.929213526353381
21,10.0,home,4406.399100966854,4135.75977948849,270.63932147836476,6.141961163231469
21,10.0,public,26082.94882251155,24569.167331923156,1513.7814905883934,5.8037206639836905
21,10.0,work,12391.614690867515,11379.391783935565,1012.2229069319492,8.16861185716133
22,10.5,home,5691.623777558777,5413.419245171287,278.20453238748996,4.887964195462267
22,10.5,public,29090.233067629568,27042.98858931895,2047.2444783106184,7.0375664352744876
22,10.5,work,9239.886008110809,7979.662152935257,1260.2238551755518,13.638954572267691
23,11.0,home,6661.981011015723,6355.271851360132,306.70915965559107,4.603873219518956
23,11.0,public,31037.56939702057,28897.995924536528,2139.5734724840404,6.893495573430526
23,11.0,work,6927.403546493638,5987.949192580773,939.4543539128645,13.56142092210547
24,11.5,home,8965.78142739986,8709.586135294761,256.1952921050979,2.857478672435096
