Scenario,HexID,chargerAccessType,Annual_avg_daily_session_starts,Annual_total_session_starts
VIPV50_Wp700,133,public,40.034246575342465,14612.5
VIPV50_Wp700,133,work,1.8904109589041096,690.0
VIPV50_Wp700,134,home,162.34246575342465,59255.0
VIPV50_Wp700,134,public,50.602739726027394,18470.0
VIPV50_Wp700,134,work,14.363013698630137,5242.5
VIPV50_Wp700,135,home,65.56164383561644,23930.0
VIPV50_Wp700,135,public,79.9931506849315,29197.5
VIPV50_Wp700,135,work,32.465753424657535,11850.0
VIPV50_Wp700,136,home,76.33561643835617,27862.5
VIPV50_Wp700,136,public,20.63013698630137,7530.0
VIPV50_Wp700,136,work,8.143835616438356,2972.5
VIPV50_Wp700,137,home,47.47945205479452,17330.0
VIPV50_Wp700,137,public,13.746575342465754,5017.5
VIPV50_Wp700,137,work,5.6438356164383565,2060.0
VIPV50_Wp700,138,home,0.0,0.0
VIPV50_Wp700,138,public,50.62328767123287,18477.5
VIPV50_Wp700,138,work,13.726027397260275,5010.0
VIPV50_Wp700,139,home,53.76027397260274,19622.5
VIPV50_Wp700,139,public,45.602739726027394,16645.0
VIPV50_Wp700,139,work,11.849315068493151,4325.0
VIPV50_Wp700,14,home,6.8493150684931505,2500.0
VIPV50_Wp700,14,public,0.0,0.0
VIPV50_Wp700,14,work,0.0,0.0
VIPV50_Wp700,140,home,8.10958904109589,2960.0
VIPV50_Wp700,140,public,9.986301369863014,3645.0
VIPV50_Wp700,140,work,0.0,0.0
VIPV50_Wp700,141,home,140.52739726027397,51292.5
VIPV50_Wp700,141,public,31.26027397260274,11410.0
VIPV50_Wp700,141,work,12.479452054794521,4555.0
VIPV50_Wp700,142,home,62.465753424657535,22800.0
VIPV50_Wp700,142,public,97.5,35587.5
VIPV50_Wp700,142,work,53.10958904109589,19385.0
VIPV50_Wp700,143,home,42.52054794520548,15520.0
VIPV50_Wp700,143,public,32.47945205479452,11855.0
VIPV50_Wp700,143,work,20.60958904109589,7522.5
VIPV50_Wp700,144,home,74.93835616438356,27352.5
