Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_chargingTime_min,Annual_total_chargingTime_min,Annual_avg_daily_chargingCost_SEK,Annual_total_chargingCost_SEK,Annual_avg_daily_energy_kWh,Annual_total_energy_kWh
VIPV50_Wp700,1,0.0,home,98044.77910958904,35786344.375,17570.22805964781,6413133.24177145,9960.842554258355,3635707.5323043
VIPV50_Wp700,1,0.0,public,10911.518607305938,3982704.291666667,12953.567107940302,4728051.99439821,2355.1940196255096,859645.817163311
VIPV50_Wp700,1,0.0,work,6.305593607305937,2301.541666666667,3.402568696972387,1241.9375743949213,0.8506421742430967,310.4843935987303
VIPV50_Wp700,2,0.5,home,115411.90456621004,42125345.166666664,19657.763652239017,7175083.733067241,11629.756027183717,4244860.949922057
VIPV50_Wp700,2,0.5,public,14745.29086757991,5382031.166666667,17248.767565099653,6295800.161261374,3136.1395572908464,1144690.938411159
VIPV50_Wp700,2,0.5,work,18.698630136986303,6825.0,10.089989546211363,3682.8461843671475,2.522497386552841,920.7115460917869
VIPV50_Wp700,3,1.0,home,116713.99771689498,42600609.16666667,19538.763467181212,7131648.665521142,11790.50393524316,4303533.936363753
VIPV50_Wp700,3,1.0,public,14418.076369863014,5262597.875,17142.37120983505,6256965.491589794,3116.794765424555,1137630.0893799625
VIPV50_Wp700,3,1.0,work,18.698630136986303,6825.0,10.089989546211363,3682.8461843671475,2.522497386552841,920.7115460917869
VIPV50_Wp700,4,1.5,home,106932.80159817351,39030472.58333333,17895.996613690408,6532038.763996999,10921.55765411029,3986368.543750256
VIPV50_Wp700,4,1.5,public,11095.176255707762,4049739.333333333,13636.557606432867,4977343.526347997,2479.3741102605213,904971.5502450903
VIPV50_Wp700,4,1.5,work,18.698630136986303,6825.0,10.089989546211363,3682.8461843671475,2.522497386552841,920.7115460917869
VIPV50_Wp700,5,2.0,home,92977.56152968036,33936809.95833333,15544.561052553672,5673764.78418209,9599.50288527484,3503818.5531253167
VIPV50_Wp700,5,2.0,public,6685.079452054794,2440054.0,8419.768416505069,3073215.47202435,1530.8669848191034,558766.4494589728
VIPV50_Wp700,5,2.0,work,16.143150684931506,5892.25,8.711024308229144,3179.5238725036374,2.177756077057286,794.8809681259094
VIPV50_Wp700,6,2.5,home,77857.30901826484,28417917.791666668,13000.634878179073,4745231.730535362,8125.981366568731,2965983.198797587
VIPV50_Wp700,6,2.5,public,3043.4544520547947,1110860.875,3918.7331876129742,1430337.6134787356,712.4969432023589,260061.384268861
VIPV50_Wp700,6,2.5,work,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,7,3.0,home,62249.836872146116,22721190.458333332,10358.349773892836,3780797.6674708854,6557.828060823546,2393607.2422005944
VIPV50_Wp700,7,3.0,public,1066.2408675799086,389177.9166666666,1378.6239441798732,503197.7396256537,250.65889894179514,91490.49811375522
VIPV50_Wp700,7,3.0,work,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,8,3.5,home,47503.93047945206,17338934.625,7872.1575159703525,2873337.4933291785,5044.94111988918,1841403.5087595508
VIPV50_Wp700,8,3.5,public,338.7901826484018,123658.41666666666,419.8418556793021,153242.27732294527,76.33488285078221,27862.232240535508
VIPV50_Wp700,8,3.5,work,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,9,4.0,home,32958.62271689498,12029897.291666666,5407.636460063384,1973787.3079231353,3528.79463262816,1288010.0409092784
VIPV50_Wp700,9,4.0,public,133.50034246575342,48727.625,143.63990938563919,52428.56692575831,26.11634716102531,9532.466713774238
VIPV50_Wp700,9,4.0,work,54.34394977168949,19835.541666666664,25.884217609888612,9447.739427609344,6.471054402472153,2361.934856902336
VIPV50_Wp700,10,4.5,home,20564.662100456622,7506101.666666667,3316.608121025573,1210561.9641743342,2218.790640401838,809858.583746671
VIPV50_Wp700,10,4.5,public,304.26073059360726,111055.16666666666,293.67324436493556,107190.73419320147,53.39513533907917,19489.224398763898
VIPV50_Wp700,10,4.5,work,656.5381278538813,239636.4166666667,263.4192151066077,96148.0135139118,65.85480377665192,24037.00337847795
VIPV50_Wp700,11,5.0,home,10514.23401826484,3837695.416666667,1677.9276688799252,612443.5991411727,1138.0811479280983,415399.6189937559
VIPV50_Wp700,11,5.0,public,865.1060502283107,315763.7083333334,763.5547357330204,278697.47854255245,138.82813376964012,50672.26882591864
VIPV50_Wp700,11,5.0,work,1781.3543378995432,650194.3333333333,783.9362255592891,286136.7223291405,195.98405638982229,71534.18058228513
VIPV50_Wp700,12,5.5,home,2307.7787671232877,842339.25,394.3808624274969,143949.01478603636,246.54043592646008,89987.25911315792
VIPV50_Wp700,12,5.5,public,2155.095662100457,786609.9166666667,1929.291536337053,704191.4107630244,350.78027933400966,128034.80195691352
VIPV50_Wp700,12,5.5,work,4506.596689497717,1644907.7916666667,1999.845463160373,729943.5940535361,499.9613657900932,182485.89851338402
VIPV50_Wp700,13,6.0,home,871.275,318015.375,220.61223091176115,80523.46428279282,88.24489236470446,32209.385713117124
