Scenario,Season,Period,Sample_event_count_selected_days,Fullscale_avg_daily_sessions
VIPV50_Wp1000,SPRING,Morning,4110,10275.0
VIPV50_Wp1000,SPRING,Afternoon,6662,16655.0
VIPV50_Wp1000,SPRING,Evening,2141,5352.5
VIPV50_Wp1000,SUMMER,Night,514,1285.0
VIPV50_Wp1000,SUMMER,Morning,4127,10317.5
VIPV50_Wp1000,SUMMER,Afternoon,6606,16515.0
VIPV50_Wp1000,SUMMER,Evening,4117,10292.5
VIPV50_Wp1000,AUTUMN,Night,2229,5572.5
VIPV50_Wp1000,AUTUMN,Morning,4253,10632.5
VIPV50_Wp1000,AUTUMN,Afternoon,7099,17747.5
VIPV50_Wp1000,AUTUMN,Evening,2657,6642.5
VIPV50_Wp1000,WINTER,Night,641,1602.5
VIPV50_Wp1000,WINTER,Morning,4422,11055.0
VIPV50_Wp1000,WINTER,Afternoon,7146,17865.0
VIPV50_Wp1000,WINTER,Evening,4538,11345.0
VIPV80_Wp400,SPRING,Night,2193,5482.5
VIPV80_Wp400,SPRING,Morning,4256,10640.0
VIPV80_Wp400,SPRING,Afternoon,6828,17070.0
VIPV80_Wp400,SPRING,Evening,2300,5750.0
VIPV80_Wp400,SUMMER,Night,550,1375.0
VIPV80_Wp400,SUMMER,Morning,4347,10867.5
VIPV80_Wp400,SUMMER,Afternoon,6790,16975.0
VIPV80_Wp400,SUMMER,Evening,4278,10695.0
VIPV80_Wp400,AUTUMN,Night,2251,5627.5
VIPV80_Wp400,AUTUMN,Morning,4366,10915.0
VIPV80_Wp400,AUTUMN,Afternoon,7246,18115.0
VIPV80_Wp400,AUTUMN,Evening,2705,6762.5
VIPV80_Wp400,WINTER,Night,674,1685.0
VIPV80_Wp400,WINTER,Morning,4612,11530.0
VIPV80_Wp400,WINTER,Afternoon,7272,18180.0
VIPV80_Wp400,WINTER,Evening,4561,11402.5
VIPV80_Wp700,SPRING,Night,1986,4965.0
VIPV80_Wp700,SPRING,Morning,3941,9852.5
VIPV80_Wp700,SPRING,Afternoon,6296,15740.0
VIPV80_Wp700,SPRING,Evening,2144,5360.0
VIPV80_Wp700,SUMMER,Night,501,1252.5
VIPV80_Wp700,SUMMER,Morning,3888,9720.0
VIPV80_Wp700,SUMMER,Afternoon,6392,15980.0
VIPV80_Wp700,SUMMER,Evening,4011,10027.5
VIPV80_Wp700,AUTUMN,Night,2200,5500.0
VIPV80_Wp700,AUTUMN,Morning,4267,10667.5
VIPV80_Wp700,AUTUMN,Afternoon,7088,17720.0
VIPV80_Wp700,AUTUMN,Evening,2601,6502.5
VIPV80_Wp700,WINTER,Night,638,1595.0
VIPV80_Wp700,WINTER,Morning,4515,11287.5
VIPV80_Wp700,WINTER,Afternoon,7238,18095.0
VIPV80_Wp700,WINTER,Evening,4579,11447.5
VIPV80_Wp1000,SPRING,Night,1821,4552.5
VIPV80_Wp1000,SPRING,Morning,3636,9090.0
VIPV80_Wp1000,SPRING,Afternoon,5978,14945.0
VIPV80_Wp1000,SPRING,Evening,2031,5077.5
VIPV80_Wp1000,SUMMER,Night,479,1197.5
VIPV80_Wp1000,SUMMER,Morning,3656,9140.0
VIPV80_Wp1000,SUMMER,Afternoon,6089,15222.5
VIPV80_Wp1000,SUMMER,Evening,3734,9335.0
VIPV80_Wp1000,AUTUMN,Night,2100,5250.0
VIPV80_Wp1000,AUTUMN,Morning,4054,10135.0
VIPV80_Wp1000,AUTUMN,Afternoon,6788,16970.0
VIPV80_Wp1000,AUTUMN,Evening,2620,6550.0
VIPV80_Wp1000,WINTER,Night,628,1570.0
VIPV80_Wp1000,WINTER,Morning,4415,11037.5
VIPV80_Wp1000,WINTER,Afternoon,7015,17537.5
VIPV80_Wp1000,WINTER,Evening,4427,11067.5
