Scenario,Season,Period,chargerAccessType,Fullscale_avg_daily_actual_charging_h
VIPV20_Wp700,SPRING,Night,home,15977.015277777777
VIPV20_Wp700,SPRING,Night,work,118.2611111111111
VIPV20_Wp700,SPRING,Night,public,1548.3743055555556
VIPV20_Wp700,SPRING,Morning,home,1916.1902777777777
VIPV20_Wp700,SPRING,Morning,work,6184.517361111111
VIPV20_Wp700,SPRING,Morning,public,4650.01875
VIPV20_Wp700,SPRING,Afternoon,home,17549.620138888888
VIPV20_Wp700,SPRING,Afternoon,work,1122.2701388888888
VIPV20_Wp700,SPRING,Afternoon,public,6000.963888888889
VIPV20_Wp700,SPRING,Evening,home,19525.53888888889
VIPV20_Wp700,SPRING,Evening,work,41.75625
VIPV20_Wp700,SPRING,Evening,public,2023.4777777777776
VIPV20_Wp700,SUMMER,Night,home,11277.728472222223
VIPV20_Wp700,SUMMER,Night,work,133.30208333333334
VIPV20_Wp700,SUMMER,Night,public,783.1784722222222
VIPV20_Wp700,SUMMER,Morning,home,2062.8569444444443
VIPV20_Wp700,SUMMER,Morning,work,5765.434722222222
VIPV20_Wp700,SUMMER,Morning,public,4569.359027777778
VIPV20_Wp700,SUMMER,Afternoon,home,17626.724305555555
VIPV20_Wp700,SUMMER,Afternoon,work,1242.6638888888888
VIPV20_Wp700,SUMMER,Afternoon,public,6122.976388888888
VIPV20_Wp700,SUMMER,Evening,home,25792.784722222223
VIPV20_Wp700,SUMMER,Evening,work,49.12222222222222
VIPV20_Wp700,SUMMER,Evening,public,2804.730555555556
VIPV20_Wp700,AUTUMN,Night,home,16108.993055555557
VIPV20_Wp700,AUTUMN,Night,work,119.46041666666666
VIPV20_Wp700,AUTUMN,Night,public,1478.6458333333335
VIPV20_Wp700,AUTUMN,Morning,home,1851.98125
VIPV20_Wp700,AUTUMN,Morning,work,5282.0784722222215
VIPV20_Wp700,AUTUMN,Morning,public,4593.78125
VIPV20_Wp700,AUTUMN,Afternoon,home,17840.40763888889
VIPV20_Wp700,AUTUMN,Afternoon,work,1156.2375
VIPV20_Wp700,AUTUMN,Afternoon,public,6204.498611111111
VIPV20_Wp700,AUTUMN,Evening,home,22151.46041666667
VIPV20_Wp700,AUTUMN,Evening,work,55.73194444444445
VIPV20_Wp700,AUTUMN,Evening,public,2372.397222222222
VIPV20_Wp700,WINTER,Night,home,11732.275
VIPV20_Wp700,WINTER,Night,work,133.18125
VIPV20_Wp700,WINTER,Night,public,756.4270833333333
VIPV20_Wp700,WINTER,Morning,home,1906.0062500000001
VIPV20_Wp700,WINTER,Morning,work,5794.2243055555555
VIPV20_Wp700,WINTER,Morning,public,4728.767361111111
VIPV20_Wp700,WINTER,Afternoon,home,17256.69375
VIPV20_Wp700,WINTER,Afternoon,work,1274.6458333333335
VIPV20_Wp700,WINTER,Afternoon,public,6128.8069444444445
VIPV20_Wp700,WINTER,Evening,home,26575.79513888889
VIPV20_Wp700,WINTER,Evening,work,74.19097222222221
VIPV20_Wp700,WINTER,Evening,public,3111.6041666666665
VIPV20_Wp1000,SPRING,Night,home,15947.389583333334
VIPV20_Wp1000,SPRING,Night,work,94.85972222222222
VIPV20_Wp1000,SPRING,Night,public,1419.177777777778
VIPV20_Wp1000,SPRING,Morning,home,1760.2027777777778
VIPV20_Wp1000,SPRING,Morning,work,6009.722222222222
VIPV20_Wp1000,SPRING,Morning,public,4309.513888888889
VIPV20_Wp1000,SPRING,Afternoon,home,17249.013194444444
VIPV20_Wp1000,SPRING,Afternoon,work,1303.9770833333332
VIPV20_Wp1000,SPRING,Afternoon,public,5868.891666666667
VIPV20_Wp1000,SPRING,Evening,home,19039.15902777778
VIPV20_Wp1000,SPRING,Evening,work,69.02916666666667
VIPV20_Wp1000,SPRING,Evening,public,1942.7055555555555
VIPV20_Wp1000,SUMMER,Night,home,11136.760416666666
VIPV20_Wp1000,SUMMER,Night,work,117.76805555555555
VIPV20_Wp1000,SUMMER,Night,public,753.2958333333333
VIPV20_Wp1000,SUMMER,Morning,home,2032.8402777777776
VIPV20_Wp1000,SUMMER,Morning,work,5562.936805555555
VIPV20_Wp1000,SUMMER,Morning,public,4548.268749999999
VIPV20_Wp1000,SUMMER,Afternoon,home,17269.97708333333
VIPV20_Wp1000,SUMMER,Afternoon,work,1213.584027777778
VIPV20_Wp1000,SUMMER,Afternoon,public,5871.5625
VIPV20_Wp1000,SUMMER,Evening,home,25965.2375
VIPV20_Wp1000,SUMMER,Evening,work,62.29097222222222
VIPV20_Wp1000,SUMMER,Evening,public,2890.803472222222
VIPV20_Wp1000,AUTUMN,Night,home,15610.624305555555
VIPV20_Wp1000,AUTUMN,Night,work,175.41805555555555
VIPV20_Wp1000,AUTUMN,Night,public,1433.15625
VIPV20_Wp1000,AUTUMN,Morning,home,1904.2493055555556
VIPV20_Wp1000,AUTUMN,Morning,work,5166.694444444445
VIPV20_Wp1000,AUTUMN,Morning,public,4617.024305555556
VIPV20_Wp1000,AUTUMN,Afternoon,home,17418.768055555556
VIPV20_Wp1000,AUTUMN,Afternoon,work,1248.8180555555555
VIPV20_Wp1000,AUTUMN,Afternoon,public,6244.388888888889
VIPV20_Wp1000,AUTUMN,Evening,home,22474.87777777778
VIPV20_Wp1000,AUTUMN,Evening,work,74.85416666666667
VIPV20_Wp1000,AUTUMN,Evening,public,2374.853472222222
VIPV20_Wp1000,WINTER,Night,home,12014.563194444445
VIPV20_Wp1000,WINTER,Night,work,139.63680555555555
VIPV20_Wp1000,WINTER,Night,public,784.1784722222222
