Scenario,Season,Period,chargerAccessType,Fullscale_avg_daily_actual_charging_h
VIPV80_Wp1000,SPRING,Evening,public,1596.7194444444444
VIPV80_Wp1000,SUMMER,Night,home,8706.280555555555
VIPV80_Wp1000,SUMMER,Night,work,101.08819444444444
VIPV80_Wp1000,SUMMER,Night,public,579.5590277777778
VIPV80_Wp1000,SUMMER,Morning,home,1750.620138888889
VIPV80_Wp1000,SUMMER,Morning,work,4363.688194444445
VIPV80_Wp1000,SUMMER,Morning,public,3416.796527777778
VIPV80_Wp1000,SUMMER,Afternoon,home,14216.879166666668
VIPV80_Wp1000,SUMMER,Afternoon,work,898.5847222222221
VIPV80_Wp1000,SUMMER,Afternoon,public,4951.479166666667
VIPV80_Wp1000,SUMMER,Evening,home,20857.839583333334
VIPV80_Wp1000,SUMMER,Evening,work,59.34583333333333
VIPV80_Wp1000,SUMMER,Evening,public,2424.8583333333336
VIPV80_Wp1000,AUTUMN,Night,home,14603.65972222222
VIPV80_Wp1000,AUTUMN,Night,work,115.29791666666667
VIPV80_Wp1000,AUTUMN,Night,public,1349.7597222222223
VIPV80_Wp1000,AUTUMN,Morning,home,1631.990277777778
VIPV80_Wp1000,AUTUMN,Morning,work,4821.229166666666
VIPV80_Wp1000,AUTUMN,Morning,public,3933.7388888888886
VIPV80_Wp1000,AUTUMN,Afternoon,home,16164.473611111112
VIPV80_Wp1000,AUTUMN,Afternoon,work,1040.8125
VIPV80_Wp1000,AUTUMN,Afternoon,public,5398.40625
VIPV80_Wp1000,AUTUMN,Evening,home,20936.41597222222
VIPV80_Wp1000,AUTUMN,Evening,work,54.422916666666666
VIPV80_Wp1000,AUTUMN,Evening,public,2237.3097222222223
VIPV80_Wp1000,WINTER,Night,home,11306.724999999999
VIPV80_Wp1000,WINTER,Night,work,145.55069444444445
VIPV80_Wp1000,WINTER,Night,public,717.5097222222222
VIPV80_Wp1000,WINTER,Morning,home,1827.5625
VIPV80_Wp1000,WINTER,Morning,work,5517.895138888889
VIPV80_Wp1000,WINTER,Morning,public,4400.620833333333
VIPV80_Wp1000,WINTER,Afternoon,home,16038.934027777777
VIPV80_Wp1000,WINTER,Afternoon,work,1173.0583333333334
VIPV80_Wp1000,WINTER,Afternoon,public,5883.101388888889
VIPV80_Wp1000,WINTER,Evening,home,25314.061805555557
VIPV80_Wp1000,WINTER,Evening,work,52.84791666666667
VIPV80_Wp1000,WINTER,Evening,public,2937.23125
