Scenario,Season,Period,chargerAccessType,Sample_event_count_selected_days,Fullscale_avg_daily_sessions
VIPV80_Wp1000,AUTUMN,Morning,work,1295,3237.5
VIPV80_Wp1000,AUTUMN,Morning,public,2026,5065.0
VIPV80_Wp1000,AUTUMN,Afternoon,home,4113,10282.5
VIPV80_Wp1000,AUTUMN,Afternoon,work,219,547.5
VIPV80_Wp1000,AUTUMN,Afternoon,public,2456,6140.0
VIPV80_Wp1000,AUTUMN,Evening,home,1994,4985.0
VIPV80_Wp1000,AUTUMN,Evening,work,13,32.5
VIPV80_Wp1000,AUTUMN,Evening,public,613,1532.5
VIPV80_Wp1000,WINTER,Night,home,400,1000.0
VIPV80_Wp1000,WINTER,Night,work,106,265.0
VIPV80_Wp1000,WINTER,Night,public,122,305.0
VIPV80_Wp1000,WINTER,Morning,home,809,2022.5
VIPV80_Wp1000,WINTER,Morning,work,1459,3647.5
VIPV80_Wp1000,WINTER,Morning,public,2147,5367.5
VIPV80_Wp1000,WINTER,Afternoon,home,4124,10310.0
VIPV80_Wp1000,WINTER,Afternoon,work,253,632.5
VIPV80_Wp1000,WINTER,Afternoon,public,2638,6595.0
VIPV80_Wp1000,WINTER,Evening,home,3491,8727.5
VIPV80_Wp1000,WINTER,Evening,work,12,30.0
VIPV80_Wp1000,WINTER,Evening,public,924,2310.0
