Scenario,Period,chargerAccessType,Fullscale_avg_daily_sessions,Annual_total_sessions
VIPV80_Wp700,Morning,public,5021.301369863014,1832775.0
VIPV80_Wp700,Afternoon,home,10128.36301369863,3696852.5
VIPV80_Wp700,Afternoon,work,555.2328767123288,202660.0
VIPV80_Wp700,Afternoon,public,6191.226027397261,2259797.5
VIPV80_Wp700,Evening,home,6524.568493150685,2381467.5
VIPV80_Wp700,Evening,work,29.95205479452055,10932.5
VIPV80_Wp700,Evening,public,1767.8150684931506,645252.5
VIPV80_Wp1000,Night,home,2355.6849315068494,859825.0
VIPV80_Wp1000,Night,work,212.17123287671234,77442.5
VIPV80_Wp1000,Night,public,577.486301369863,210782.5
VIPV80_Wp1000,Morning,home,1871.1575342465753,682972.5
VIPV80_Wp1000,Morning,work,3189.253424657534,1164077.5
VIPV80_Wp1000,Morning,public,4782.931506849315,1745770.0
VIPV80_Wp1000,Afternoon,home,9665.445205479453,3527887.5000000005
VIPV80_Wp1000,Afternoon,work,529.3904109589041,193227.5
VIPV80_Wp1000,Afternoon,public,5964.219178082192,2176940.0
VIPV80_Wp1000,Evening,home,6229.808219178082,2273880.0
VIPV80_Wp1000,Evening,work,28.102739726027398,10257.5
VIPV80_Wp1000,Evening,public,1736.8150684931506,633937.5
