Scenario,Period,chargerAccessType,Fullscale_avg_daily_sessions,Annual_total_sessions,noVIPV_value,Absolute_change_vs_noVIPV,Change_vs_noVIPV_pct,Reduction_vs_noVIPV_pct
noVIPV,Night,home,2771.4109589041095,1011565.0,2771.4109589041095,0.0,0.0,-0.0
noVIPV,Night,work,298.90410958904107,109099.99999999999,298.90410958904107,0.0,0.0,-0.0
noVIPV,Night,public,682.2328767123288,249015.0,682.2328767123288,0.0,0.0,-0.0
noVIPV,Morning,home,2179.9931506849316,795697.5,2179.9931506849316,0.0,0.0,-0.0
noVIPV,Morning,work,3967.828767123288,1448257.5,3967.828767123288,0.0,0.0,-0.0
noVIPV,Morning,public,5752.95205479452,2099827.5,5752.95205479452,0.0,0.0,-0.0
noVIPV,Afternoon,home,11384.63698630137,4155392.5,11384.63698630137,0.0,0.0,-0.0
noVIPV,Afternoon,work,628.027397260274,229230.00000000003,628.027397260274,0.0,0.0,-0.0
noVIPV,Afternoon,public,6968.95205479452,2543667.5,6968.95205479452,0.0,0.0,-0.0
noVIPV,Evening,home,7252.075342465753,2647007.5,7252.075342465753,0.0,0.0,-0.0
noVIPV,Evening,work,26.28082191780822,9592.5,26.28082191780822,0.0,0.0,-0.0
noVIPV,Evening,public,2027.4315068493152,740012.5,2027.4315068493152,0.0,0.0,-0.0
VIPV20_Wp400,Night,home,2752.705479452055,1004737.5000000001,2771.4109589041095,-18.705479452054533,-0.6749442695229575,0.6749442695229575
VIPV20_Wp400,Night,work,279.28767123287673,101940.00000000001,298.90410958904107,-19.616438356164338,-6.56278643446378,6.56278643446378
VIPV20_Wp400,Night,public,682.9109589041096,249262.50000000003,682.2328767123288,0.6780821917808453,0.09939160291549044,-0.09939160291549044
VIPV20_Wp400,Morning,home,2155.109589041096,786615.0000000001,2179.9931506849316,-24.883561643835492,-1.1414513681392682,1.1414513681392682
VIPV20_Wp400,Morning,work,3778.054794520548,1378990.0,3967.828767123288,-189.77397260273983,-4.782816591662741,4.782816591662741
