Scenario,Period,chargerAccessType,Fullscale_avg_daily_actual_charging_h,Annual_total_actual_charging_h
VIPV80_Wp400,Evening,work,52.168103120243536,19041.35763888889
VIPV80_Wp400,Evening,public,2477.121208143075,904149.2409722223
VIPV80_Wp700,Night,home,12532.97636605784,4574536.373611111
VIPV80_Wp700,Night,work,119.25255136986301,43527.18125
VIPV80_Wp700,Night,public,1015.5454452054795,370674.0875
VIPV80_Wp700,Morning,home,1803.6678139269407,658338.7520833333
VIPV80_Wp700,Morning,work,5100.427264079147,1861655.9513888885
VIPV80_Wp700,Morning,public,3967.882477168949,1448277.1041666665
VIPV80_Wp700,Afternoon,home,15889.498974505326,5799667.125694444
VIPV80_Wp700,Afternoon,work,1068.2131069254185,389897.7840277778
VIPV80_Wp700,Afternoon,public,5573.093649162861,2034179.1819444443
VIPV80_Wp700,Evening,home,21547.31878805175,7864771.357638889
VIPV80_Wp700,Evening,work,54.05536910197869,19730.209722222222
VIPV80_Wp700,Evening,public,2362.4893131659055,862308.5993055555
VIPV80_Wp1000,Night,home,11760.931381278539,4292739.954166667
VIPV80_Wp1000,Night,work,110.33470509893455,40272.16736111111
VIPV80_Wp1000,Night,public,941.3543188736681,343594.3263888889
VIPV80_Wp1000,Morning,home,1683.0845395738204,614325.8569444445
VIPV80_Wp1000,Morning,work,4814.190768645358,1757179.6305555557
VIPV80_Wp1000,Morning,public,3781.2276331811263,1380148.086111111
VIPV80_Wp1000,Afternoon,home,15059.998196347033,5496899.341666667
VIPV80_Wp1000,Afternoon,work,993.220201674277,362525.3736111111
VIPV80_Wp1000,Afternoon,public,5292.490363394217,1931758.982638889
VIPV80_Wp1000,Evening,home,20550.178696727548,7500815.224305555
VIPV80_Wp1000,Evening,work,52.48477359208524,19156.942361111112
VIPV80_Wp1000,Evening,public,2295.7017884322677,837931.1527777778
