Scenario,Season,Daily_demand_MWh,Demand_reduction_pct,Peak_30min_MW,Peak_reduction_pct,Home_share,Public_share,Load_factor,Spatial_Gini,Top10pct_hex_share
noVIPV,SPRING,568.90536400128,0.0,39.81645072926657,0.0,0.5766152976728243,0.42338470232717595,0.5953416171596728,0.5418841172740579,0.3335832493455724
noVIPV,SUMMER,573.3324361693564,0.0,42.55240767723029,0.0,0.5898320972256503,0.4101679027743499,0.5613983511405253,0.5423555394604216,0.3322199528349269
noVIPV,AUTUMN,572.0368140008705,0.0,44.878559475423515,0.0,0.5976531647635923,0.40234683523640746,0.5310969765660319,0.5404217599860062,0.3335310095506507
noVIPV,WINTER,571.6268568819929,0.0,42.90616810129929,0.0,0.5847820358387938,0.4152179641612061,0.5551133265311361,0.546088413828736,0.336074057515546
VIPV20_Wp400,SPRING,552.2492660685924,0.029277449267731057,38.87863307197005,0.02355352222811737,0.5727468965050438,0.42725310349495627,0.591851725949206,0.5385465481674676,0.33144836781753917
VIPV20_Wp400,SUMMER,552.7765541886598,0.035853338628523974,41.16277444632443,0.03265698245435487,0.5875287968691549,0.4124712031308452,0.5595433430893076,0.540141739578224,0.33330884115435255
VIPV20_Wp400,AUTUMN,563.3413842806546,0.015200821883122306,43.87734684280815,0.022309375441599222,0.5987498348804392,0.40125016511956074,0.5349584550417716,0.5439185809800059,0.3320650997391763
VIPV20_Wp400,WINTER,566.0164670651989,0.009814776456439777,41.517710056734366,0.03236033666038059,0.5886175860642053,0.4113824139357947,0.5680472123540087,0.5448669238714813,0.3399508400347104
VIPV20_Wp700,SPRING,543.5563124872087,0.04455758921973214,37.66717591316998,0.05397956816167937,0.5774375610054318,0.42256243899456825,0.6012709776590474,0.5423770094709285,0.3327963061953608
VIPV20_Wp700,SUMMER,553.1659165131452,0.0351742172324158,40.76628710429985,0.041974606618703565,0.5869378040099829,0.4130621959900172,0.5653833471698069,0.5390538476240803,0.32911191450606014
VIPV20_Wp700,AUTUMN,559.0628945294504,0.022680217695570156,43.49953821177705,0.030727841529798808,0.5940009421360254,0.40599905786397456,0.5355065416706826,0.5436760637315071,0.33499136680329905
VIPV20_Wp700,WINTER,562.5812292725053,0.015824357271854,41.50840818546208,0.03257713232599034,0.5836566957331673,0.4163433042668328,0.5647261742316343,0.5422895145002321,0.3321705473511656
VIPV20_Wp1000,SPRING,530.6498376150467,0.06724409507614898,37.58773363463911,0.055974780619742,0.5823585134352838,0.4176414865647163,0.5882347181541966,0.5339814186947553,0.32639075192292005
VIPV20_Wp1000,SUMMER,543.8178373100026,0.05147903205433763,40.14798303675159,0.05650501985027053,0.5917036814084272,0.4082963185915728,0.5643889142286738,0.5423918156794202,0.33401615950376684
VIPV20_Wp1000,AUTUMN,557.4439733001975,0.0255103174192751,42.725073417553745,0.04798474111115502,0.5914860935085737,0.40851390649142627,0.5436346941723157,0.5432494960919791,0.3306009368289477
VIPV20_Wp1000,WINTER,560.9084710648326,0.018750668706549282,41.20660999133881,0.039611043940067404,0.5880473670252632,0.41195263297473694,0.5671708082581994,0.5411632652333739,0.33112775508292996
VIPV50_Wp400,SPRING,527.5171457520086,0.07275062052179611,37.37807637018881,0.06124037462951129,0.5788034057970262,0.42119659420297395,0.5880420612156112,0.539025542591125,0.3363275623844587
VIPV50_Wp400,SUMMER,534.1229356208187,0.06838877076362657,39.04036312412514,0.08253456725045517,0.588914156455514,0.41108584354448596,0.5700541833275489,0.5387053642316169,0.33190141216758756
VIPV50_Wp400,AUTUMN,554.4693730582803,0.03071033281883059,43.6417021135185,0.027560094984384404,0.5956604291368462,0.40433957086315386,0.5293764776635199,0.5385172319237934,0.32953252721769616
VIPV50_Wp400,WINTER,560.7287430800034,0.019065083578183532,42.6838732929737,0.005180952253782395,0.5846274935742817,0.4153725064257185,0.5473659212688984,0.5433403095758588,0.3356550567461923
VIPV50_Wp700,SPRING,504.09901357817614,0.11391411388231877,35.627107566270006,0.1052163888610303,0.5783511580527105,0.4216488419472894,0.5895546116587644,0.5435359536344926,0.33922830757772876
VIPV50_Wp700,SUMMER,509.5953046474823,0.11116958940562502,38.78452455946713,0.08854688426430331,0.583134700151275,0.41686529984872517,0.5474641737863506,0.542313826900167,0.33226253708626924
VIPV50_Wp700,AUTUMN,543.2867195344934,0.050259168226074014,42.59174791986101,0.05095554719876462,0.6014983209671598,0.39850167903284006,0.5314866788248128,0.5426334998531422,0.3333144189008086
VIPV50_Wp700,WINTER,555.2702232396775,0.0286141797667356,41.2786729918575,0.03793149520132775,0.588937011311351,0.41106298868864893,0.5604894155928175,0.5391501598091323,0.33059942910409806
