mode,pvEnergyProduced_kWh,pvEnergyStored_kWh,pvEnergyWasted_kWh,Scenario,Season,Adoption_pct,System_Wp,Annual_factor_full,pvEnergyProduced_annual_kWh_full,pvEnergyStored_annual_kWh_full,pvEnergyWasted_annual_kWh_full
DRIVING,873.1730214129961,871.684110479239,1.4889109516309815,VIPV20_Wp400,SPRING,20,400,131.42857142857142,114759.88281427948,114564.19737727141,195.6854393572147
PARKED_OPEN,11932.224071894774,11079.589212836094,852.6348593221,VIPV20_Wp400,SPRING,20,400,131.42857142857142,1568235.1637347415,1456174.582258458,112060.58151090457
DRIVING,800.439325299331,799.0720760648921,1.3672492542656804,VIPV20_Wp400,SUMMER,20,400,131.42857142857142,105200.59703934063,105020.90142567153,179.695616274918
PARKED_OPEN,10959.732316645714,10182.830253512457,776.9020634017857,VIPV20_Wp400,SUMMER,20,400,131.42857142857142,1440421.9616162938,1338314.83331878,102107.12833280611
DRIVING,329.1142336308879,328.52300931705,0.5912243279979817,VIPV20_Wp400,AUTUMN,20,400,130.0,42784.850372015426,42707.991211216504,76.85916263973763
PARKED_OPEN,4600.718842355935,4288.042191493221,312.67665103799936,VIPV20_Wp400,AUTUMN,20,400,130.0,598093.4495062715,557445.4848941187,40647.96463493992
DRIVING,168.4532494982208,168.18521412844171,0.2680353799663135,VIPV20_Wp400,WINTER,20,400,128.57142857142856,21658.27493548553,21623.81324508536,34.461691709954586
PARKED_OPEN,2385.6824466879216,2224.795288458603,160.88715836022945,VIPV20_Wp400,WINTER,20,400,128.57142857142856,306730.60028844705,286045.10851610603,20685.491789172356
DRIVING,1528.1062449381914,1525.6013031630462,2.504941795170927,VIPV20_Wp700,SPRING,20,700,131.42857142857142,200836.82076330512,200507.59984428604,329.22092165103606
PARKED_OPEN,20896.12531939971,19407.18674625287,1488.9385733973454,VIPV20_Wp700,SPRING,20,700,131.42857142857142,2746347.8991211047,2550658.82950752,195689.06964650823
DRIVING,1400.7770127582721,1398.5616785085294,2.2153342673534153,VIPV20_Wp700,SUMMER,20,700,131.42857142857142,184102.12167680147,183810.963461121,291.15821799502027
PARKED_OPEN,18772.02893386885,17497.35919340219,1274.6697407711563,VIPV20_Wp700,SUMMER,20,700,131.42857142857142,2467180.9455941916,2299652.9225614304,167528.02307278052
DRIVING,575.9460957345266,574.9652939697888,0.9808017863962698,VIPV20_Wp700,AUTUMN,20,700,130.0,74872.99244548846,74745.48821607255,127.50423223151508
PARKED_OPEN,7923.74175613137,7368.7984725747065,554.9432838213875,VIPV20_Wp700,AUTUMN,20,700,130.0,1030086.428297078,957943.8014347118,72142.62689678038
DRIVING,294.7945149218607,294.3394432182273,0.45507171300431826,VIPV20_Wp700,WINTER,20,700,128.57142857142856,37902.15191852494,37843.642699486365,58.50922024341234
PARKED_OPEN,4211.579524476085,3926.5631284311235,285.016396168699,VIPV20_Wp700,WINTER,20,700,128.57142857142856,541488.796004068,504843.83079828724,36644.96522168986
DRIVING,2183.0514700250087,2179.6557657937765,3.395704251813994,VIPV20_Wp1000,SPRING,20,1000,131.42857142857142,286915.3360604297,286469.04350432486,446.29255880983914
PARKED_OPEN,29908.888566589972,27567.491907169086,2341.3966597395124,VIPV20_Wp1000,SPRING,20,1000,131.42857142857142,3930882.497323253,3623156.0792279365,307726.418137193
