Scenario,Adoption_pct,System_Wp,Observed_vehicle_count_max,Expected_equipped_sample_vehicles,Installed_VIPV_kWp_full,PV_produced_annual_kWh_full,PV_stored_annual_kWh_full,PV_wasted_annual_kWh_full,Accounting_error_abs_kWh_week_sample,VIPV_equipped_vehicles,Produced_VIPV_kWh_per_equipped_vehicle_year,Produced_specific_yield_kWh_per_kWp_year,Stored_VIPV_kWh_per_equipped_vehicle_year,Stored_specific_yield_kWh_per_kWp_year,Wasted_VIPV_kWh_per_equipped_vehicle_year,Wasted_specific_yield_kWh_per_kWp_year,PV_stored_share,PV_wasted_share
VIPV20_Wp1000,20,1000,2119,2118.8,21188.0,10446108.017849637,9721524.388121841,724583.6298864416,1.2147740041967115e-06,21188.0,493.0200121696072,493.0200121696072,458.82218180676995,458.82218180676995,34.19783037032479,34.19783037032479,0.9306360197989841,0.06936398021620299
VIPV20_Wp400,20,400,2119,2118.8,8475.2,4197884.780306875,3921896.912246708,275987.8681778048,9.003377608003549e-07,21188.0,198.12557958782682,495.31394896956704,185.09991090460204,462.749777261505,13.025668688776893,32.56417172194223,0.9342554923482221,0.06574450767980095
VIPV20_Wp700,20,700,2119,2118.8,14831.6,7282818.155820562,6810007.078522916,472811.07742988,1.012351083429111e-06,21188.0,343.7237188890203,491.0338841271718,321.4086784275494,459.15525489649906,22.31504046771191,31.878629239588445,0.9350785551442382,0.06492144487391886
VIPV50_Wp1000,50,1000,5297,5297.0,52970.0,25991160.467626944,24204989.31372523,1786171.154298577,3.039010160726586e-06,52970.0,490.67699580190566,490.67699580190566,456.95656623985707,456.95656623985707,33.72042956954081,33.72042956954081,0.931277745134679,0.06872225488059013
VIPV50_Wp400,50,400,5297,5297.0,21188.0,10416293.04626146,9746052.419159481,670240.6273940998,2.2356421357399353e-06,52970.0,196.6451396311395,491.61284907784875,183.99192786783993,459.97981966959986,12.65321176881442,31.63302942203605,0.9356545918854946,0.06434540814255008
VIPV50_Wp700,50,700,5297,5297.0,37079.0,18267993.19348908,17084040.95196075,1183952.2418572146,2.5177936319330772e-06,52970.0,344.8743287424783,492.6776124892548,322.52295548349537,460.74707926213625,22.351373265191892,31.93053323598842,0.9351898027885021,0.0648101972295013
VIPV80_Wp1000,80,1000,8475,8475.2,84752.0,41664560.280939676,38821113.77158384,2843446.5099913147,4.866170828779229e-06,84752.0,491.60562914078344,491.60562914078344,458.0554296250689,458.0554296250689,33.550199523212605,33.550199523212605,0.9317538337094456,0.06824616630580664
VIPV80_Wp400,80,400,8475,8475.2,33900.8,16675363.392011857,15620800.335706774,1054563.0567714903,3.5696295921718607e-06,84752.0,196.75480687195414,491.8870171798853,184.31187860707445,460.7796965176861,12.442928270382884,31.107320675957208,0.9367592158854986,0.06324078414247132
VIPV80_Wp700,80,700,8475,8475.2,59326.4,29156728.856864356,27266679.315705754,1890049.541685324,4.032306679489758e-06,84752.0,344.0240803386865,491.4629719124092,321.72313710243714,459.6044815749102,22.30094324246418,31.858490346377394,0.9351762143676269,0.0648237856504383
