Scenario,Season,Adoption_pct,System_Wp,Daily_demand_MWh,Home_MWh,Public_MWh,Home_share,Public_share,Peak_30min_MW,Peak_slot,Peak_time,Load_factor,Overnight_share_00_06,Daytime_share_06_16,Evening_share_16_24,Active_hexes,Max_hex_MWh_day,P95_hex_MWh_day,Top10pct_hex_share,Spatial_Gini,Spatial_HHI,Demand_centroid_x,Demand_centroid_y,Demand_reduction_pct,Peak_reduction_pct
noVIPV,SPRING,0,0,568.90536400128,328.0395358112645,240.86582819001558,0.5766152976728243,0.42338470232717595,39.81645072926657,35,17:00,0.5953416171596728,0.20151948623167448,0.4089654443538364,0.3895150694144893,553,6.35,3.044758080364067,0.3335832493455724,0.5418841172740579,0.0035696317949473946,319804.800710682,6399978.511998606,0.0,0.0
noVIPV,SUMMER,0,0,573.3324361693564,338.16987323326276,235.1625629360937,0.5898320972256503,0.4101679027743499,42.55240767723029,35,17:00,0.5613983511405253,0.13867842972714847,0.38715382412064336,0.4741677461522084,549,6.4675,2.9582221522334877,0.3322199528349269,0.5423555394604216,0.003579988065010025,319773.16762065806,6399969.55974564,0.0,0.0
noVIPV,AUTUMN,0,0,572.0368140008705,341.87961224890273,230.15720175196773,0.5976531647635923,0.40234683523640746,44.878559475423515,37,18:00,0.5310969765660319,0.20372911195998053,0.36556533679489833,0.43070555124512094,549,6.0175,2.876500884798755,0.3335310095506507,0.5404217599860062,0.0035629515750703663,319837.678501809,6399961.706823795,0.0,0.0
noVIPV,WINTER,0,0,571.6268568819929,334.2771171075826,237.3497397744102,0.5847820358387938,0.4152179641612061,42.90616810129929,37,18:00,0.5551133265311361,0.1417747977396103,0.37933279366076,0.4788924085996297,547,6.655824329191428,2.90024134001789,0.336074057515546,0.546088413828736,0.0036259137833842673,319775.83203384985,6399956.4167341795,0.0,0.0
VIPV20_Wp400,SPRING,20,400,552.2492660685924,316.29905323797453,235.95021283061797,0.5727468965050438,0.42725310349495627,38.87863307197005,35,17:00,0.591851725949206,0.20781211301262875,0.4117009905071967,0.38048689648017453,550,6.9225,2.8432976289512113,0.33144836781753917,0.5385465481674676,0.0035484347936649498,319821.10881061864,6400013.298651794,0.029277449267731057,0.02355352222811737
VIPV20_Wp400,SUMMER,20,400,552.7765541886598,324.7721438199405,228.0044103687193,0.5875287968691549,0.4124712031308452,41.16277444632443,36,17:30,0.5595433430893076,0.13728055496255429,0.38547544436565323,0.47724400067179273,546,5.7425,2.8225938091137976,0.33330884115435255,0.540141739578224,0.0035571806990797343,319848.21282953856,6399976.567251074,0.035853338628523974,0.03265698245435487
VIPV20_Wp400,AUTUMN,20,400,563.3413842806546,337.30056081936,226.0408234612946,0.5987498348804392,0.40125016511956074,43.87734684280815,36,17:30,0.5349584550417716,0.19839216434504478,0.3696078157444288,0.4320000199105263,553,6.158421595598349,2.9256288215443216,0.3320650997391763,0.5439185809800059,0.0035728939547146894,319812.9825491118,6400002.2448980715,0.015200821883122306,0.022309375441599222
VIPV20_Wp400,WINTER,20,400,566.0164670651989,333.16724651650713,232.84922054869176,0.5886175860642053,0.4113824139357947,41.517710056734366,36,17:30,0.5680472123540087,0.14567279154391222,0.38151089639290947,0.47281631206317837,551,6.74,2.943486630076245,0.3399508400347104,0.5448669238714813,0.0036379355571761218,319802.02099026425,6399997.416133427,0.009814776456439777,0.03236033666038059
VIPV20_Wp700,SPRING,20,700,543.5563124872087,313.86983135172017,229.68648113548863,0.5774375610054318,0.42256243899456825,37.66717591316998,36,17:30,0.6012709776590474,0.2054548424449131,0.4082354966417089,0.386309660913378,553,5.9275,2.753394113566312,0.3327963061953608,0.5423770094709285,0.0035767249788113045,319829.6613291997,6399988.042522229,0.04455758921973214,0.05397956816167937
VIPV20_Wp700,SUMMER,20,700,553.1659165131452,324.67398829139495,228.49192822175027,0.5869378040099829,0.4130621959900172,40.76628710429985,37,18:00,0.5653833471698069,0.13730507028867292,0.3930684169521175,0.4696265127592096,548,5.920665657842225,2.746847215937354,0.32911191450606014,0.5390538476240803,0.0035379080050008094,319869.9034182987,6399956.696041315,0.0351742172324158,0.041974606618703565
