Scenario,Adoption_pct,System_Wp,Annual_external_demand_GWh,Avoided_external_charging_GWh,Avoided_external_charging_pct,Avoided_external_charging_kWh_per_equipped_vehicle_year,Avoided_specific_displacement_kWh_per_kWp_year,Seasonal_demand_range_pct,Produced_VIPV_kWh_per_equipped_vehicle_year,Stored_VIPV_kWh_per_equipped_vehicle_year,Wasted_VIPV_kWh_per_equipped_vehicle_year,Produced_specific_yield_kWh_per_kWp_year,Stored_specific_yield_kWh_per_kWp_year,Wasted_specific_yield_kWh_per_kWp_year,PV_stored_share,PV_wasted_share,Behavioural_capture_ratio_avoided_to_stored
noVIPV,0,0,208.58764480915713,0.0,0.0,0.0,0.0,0.007746741885661581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VIPV20_Wp400,20,400,203.86792346907467,4.719721340082458,0.022627041713811323,222.75445252418623,556.8861313104655,0.02464608235653437,198.12557958782682,185.09991090460204,13.025668688776893,495.31394896956704,462.749777261505,32.56417172194223,0.9342554923482221,0.06574450767980095,1.2034281995899547
VIPV20_Wp700,20,700,202.40547910473802,6.182165704419106,0.029638216156452353,291.77674648004086,416.8239235429155,0.034304373146056236,343.7237188890203,321.4086784275494,22.31504046771191,491.0338841271718,459.15525489649906,31.878629239588445,0.9350785551442382,0.06492144487391886,0.9078060614527307
VIPV20_Wp1000,20,1000,200.06019005925745,8.527454749899675,0.04088187849142115,402.4662426798035,402.4662426798035,0.055195833317293753,493.0200121696072,458.82218180676995,34.19783037032479,493.0200121696072,458.82218180676995,34.19783037032479,0.9306360197989841,0.06936398021620299,0.8771725924299353
VIPV50_Wp400,50,400,198.59318731180392,9.99445749735321,0.04791490649648702,188.68147059379288,471.7036764844822,0.0610272226313693,196.6451396311395,183.99192786783993,12.65321176881442,491.61284907784875,459.97981966959986,31.63302942203605,0.9356545918854946,0.06434540814255008,1.02548776340515
VIPV50_Wp700,50,700,192.67328884597046,15.914355963186665,0.0762957747461369,300.44092813265365,429.201325903791,0.09690364135425748,344.8743287424783,322.52295548349537,22.351373265191892,492.6776124892548,460.74707926213625,31.93053323598842,0.9351898027885021,0.0648101972295013,0.931533470795161
VIPV50_Wp1000,50,1000,186.80141958672854,21.786225222428584,0.10444638388031771,411.2936609860031,411.2936609860031,0.1275434268046306,490.67699580190566,456.95656623985707,33.72042956954081,490.67699580190566,456.95656623985707,33.72042956954081,0.931277745134679,0.06872225488059013,0.9000716728296547
VIPV80_Wp400,80,400,192.30915735279072,16.278487456366406,0.07804147494574794,192.07201548478392,480.18003871195975,0.10213462921960789,196.75480687195414,184.31187860707445,12.442928270382884,491.8870171798853,460.7796965176861,31.107320675957208,0.9367592158854986,0.06324078414247132,1.0421032921825562
VIPV80_Wp700,80,700,183.3900795702709,25.197565238886227,0.12080085214030874,297.30938784791186,424.7276969255884,0.16071815895490602,344.0240803386865,321.72313710243714,22.30094324246418,491.4629719124092,459.6044815749102,31.858490346377394,0.9351762143676269,0.0648237856504383,0.924115655857378
VIPV80_Wp1000,80,1000,174.03819358630346,34.54945122285366,0.1656351758248383,407.653521130518,407.653521130518,0.2222801125521358,491.60562914078344,458.0554296250689,33.550199523212605,491.60562914078344,458.0554296250689,33.550199523212605,0.9317538337094456,0.06824616630580664,0.8899654818286811
