Scenario,vehicleId,Adoption_pct,System_Wp,PV_produced_annual_kWh_vehicle,PV_stored_annual_kWh_vehicle,PV_wasted_annual_kWh_vehicle,PV_event_count,Driving_event_count,Parked_open_event_count,Mean_start_SoC_frac,Max_start_SoC_frac
VIPV20_Wp1000,10003264,20,1000,536.8791469781362,468.52666471430837,68.35248227233531,77,42,35,0.7960962668183783,1.0
VIPV20_Wp1000,10004531,20,1000,467.74951265859073,467.74951265888166,3.952897379549517e-09,224,133,91,0.5756772777288464,0.726691241123549
VIPV20_Wp1000,10005561,20,1000,442.306434692607,435.2119351266203,7.094499570855639,98,56,42,0.796465228465177,1.0
VIPV20_Wp1000,10006088,20,1000,602.091224739156,602.0912247405531,7.402956634612534e-09,101,56,45,0.5451867111641567,0.7702976059274551
VIPV20_Wp1000,10050104,20,1000,505.7310169477447,378.9239366319135,126.80708031978023,109,70,39,0.7806907521694205,1.0
VIPV20_Wp1000,10050235,20,1000,550.0123653847634,488.60123732094956,61.41112806849263,100,56,44,0.8591191761180254,1.0
VIPV20_Wp1000,10051055,20,1000,538.5733783767525,481.7932226169294,56.78015576433107,171,105,66,0.7955533659943319,1.0
VIPV20_Wp1000,10051178,20,1000,341.2450128720665,341.24501287246096,8.389294514598885e-09,72,42,30,0.6077041163487521,0.7942082397335096
VIPV20_Wp1000,10054423,20,1000,523.8377746392287,472.78496027974444,51.05281436363625,79,42,37,0.7460278971269783,1.0
VIPV20_Wp1000,10054961,20,1000,394.7444451412864,394.7444451421728,8.655713509702631e-09,95,49,46,0.637325661599973,0.7978599935833842
VIPV20_Wp1000,10055157,20,1000,618.6445119476012,613.7821002476762,4.862411710795042,82,49,33,0.751028514026444,1.0
VIPV20_Wp1000,10095807,20,1000,618.8785760379981,618.8785760392859,8.835365993722541e-09,196,112,84,0.5236118563600047,0.7373333333333333
VIPV20_Wp1000,10097278,20,1000,617.7718137719108,567.934494972559,49.83731880334801,267,168,99,0.7907727951089059,1.0
VIPV20_Wp1000,10149051,20,1000,520.0017424548747,477.10286668589066,42.89887577567028,94,49,45,0.6778473152750903,1.0
VIPV20_Wp1000,10162674,20,1000,480.4923449332319,480.4923449350645,3.770811099011882e-09,171,105,66,0.508376556510882,0.8860048554500135
VIPV20_Wp1000,1835429,20,1000,532.2931196142968,508.7400305132253,23.55308910815409,257,168,89,0.7356001102495746,1.0
VIPV20_Wp1000,1836827,20,1000,482.6424628433929,481.7321078259377,0.910355027173739,172,105,67,0.6005509298067067,1.0
VIPV20_Wp1000,1836843,20,1000,507.9265048946536,504.7828756648607,3.1436292350747097,88,49,39,0.7663973052760197,1.0
VIPV20_Wp1000,1837004,20,1000,529.0212032169381,442.2893720651435,86.73183115635634,82,42,40,0.7557961561956911,1.0
VIPV20_Wp1000,1837132,20,1000,633.6521915869799,499.28837744202224,134.36381414936938,94,49,45,0.7033063364322525,1.0
VIPV20_Wp1000,1837159,20,1000,424.8792345311031,357.58145046812314,67.2977840679205,97,56,41,0.7587693893165917,1.0
VIPV20_Wp1000,1837338,20,1000,546.1201509528961,542.515111922315,3.6050390414912385,133,77,56,0.7887085720757145,1.0
VIPV20_Wp1000,1837617,20,1000,521.3396232730659,521.0182250626358,0.3213982212219191,123,77,46,0.7887403945456058,1.0
VIPV20_Wp1000,1837820,20,1000,401.2174442026233,395.62617780841936,5.591266403110748,125,77,48,0.5899566830522345,1.0
VIPV20_Wp1000,1838493,20,1000,542.5537968398454,500.25237036667085,42.30142648100996,78,42,36,0.7335015140080549,1.0
VIPV20_Wp1000,1838760,20,1000,491.4614125937689,488.77876157354865,2.682651024247138,257,161,96,0.5940066950974314,1.0
VIPV20_Wp1000,1838878,20,1000,402.6461566093476,399.13186813881407,3.5142884777343846,125,77,48,0.7483670555206734,1.0
VIPV20_Wp1000,1838910,20,1000,500.5301562458811,429.8397423414509,70.69041391143944,134,77,57,0.7670712011204734,1.0
VIPV20_Wp1000,1838919,20,1000,576.725570289429,576.7129800158523,0.012590281245077125,77,42,35,0.6825433827772538,0.9190762443667916
VIPV20_Wp1000,1838998,20,1000,464.231790481001,408.9481721517019,55.283618337274746,160,98,62,0.773602267004701,1.0
VIPV20_Wp1000,1839452,20,1000,584.3284817728494,550.4776270952882,33.85085468576247,88,49,39,0.6941262394968064,1.0
VIPV20_Wp1000,1839535,20,1000,482.64790235225973,453.083776265568,29.564126093910026,177,105,72,0.7578330778436504,1.0
VIPV20_Wp1000,1839766,20,1000,578.806826138297,578.8068261387668,8.73362243712952e-09,100,56,44,0.607427310032702,0.7191731745649466
VIPV20_Wp1000,1840284,20,1000,554.8612771563771,540.2865025064882,14.574774653422791,97,56,41,0.7161321697711842,1.0
VIPV20_Wp1000,1840291,20,1000,604.585425480892,571.0407301826117,33.54469530862989,108,56,52,0.7361314806348879,1.0
VIPV20_Wp1000,1840319,20,1000,524.8642938490372,524.8642938506475,4.566030914706554e-09,136,77,59,0.5954937495737236,0.961020843990003
VIPV20_Wp1000,1853272,20,1000,524.1869507219978,524.1869507228706,4.383361348269938e-09,101,56,45,0.5548216226803568,0.7024776264561832
VIPV20_Wp1000,1853421,20,1000,500.89879740389296,500.8987974051898,4.203389696566987e-09,87,49,38,0.6912584159821625,0.9104091964151352
VIPV20_Wp1000,1853600,20,1000,593.2973262465811,593.2973262476459,4.217201221639679e-09,269,161,108,0.6134754216751086,0.8403087713766813
VIPV20_Wp1000,1854277,20,1000,481.0451883239724,481.0451883286289,8.890768982681573e-09,103,56,47,0.6157617830708352,0.7525487232723328
VIPV20_Wp1000,1854308,20,1000,371.3328337852502,371.3328337853296,4.618463630799262e-09,218,140,78,0.5569320835537678,0.7513593713332878
VIPV20_Wp1000,1854413,20,1000,361.7616776151583,351.7790534754021,9.982624146600807,91,56,35,0.6677094906768148,1.0
VIPV20_Wp1000,1855267,20,1000,517.4463380231224,517.4439572239896,0.002380804404486584,185,112,73,0.7146870044667599,1.0
VIPV20_Wp1000,1856046,20,1000,522.6131921752773,522.6131921770752,1.061497701095671e-08,165,98,67,0.7890282334861471,0.995930968971902
VIPV20_Wp1000,1856464,20,1000,466.66803503362917,459.68373322660057,6.9843018104874135,80,49,31,0.7553297844428444,1.0
VIPV20_Wp1000,1856621,20,1000,489.79161256189116,489.7916125661359,9.500469671627015e-09,91,49,42,0.7124772219623576,0.8855295544343065
VIPV20_Wp1000,1856730,20,1000,568.1951523837903,568.1951523875044,1.060827567969129e-08,36,14,22,0.6353655614112137,0.8353119490965022
VIPV20_Wp1000,1856768,20,1000,471.6510505363845,471.65105053877,1.0088916895686027e-08,138,84,54,0.6503081830454381,0.7797116941139784
VIPV20_Wp1000,1858461,20,1000,469.9728141434102,390.8238146059064,79.14899954657662,166,98,68,0.8303283058736868,1.0
VIPV20_Wp1000,1859798,20,1000,425.5372702890923,425.53727029036514,4.57830464751785e-09,219,140,79,0.586559709595563,0.935792446701838
VIPV20_Wp1000,1860071,20,1000,628.6432408620852,577.6053831761241,51.037857693812924,86,42,44,0.7828141876805774,1.0
VIPV20_Wp1000,1860305,20,1000,544.408294880932,544.4082948817392,1.0975094409053748e-08,163,98,65,0.7346680055864024,0.8200946344978771
VIPV20_Wp1000,1860571,20,1000,446.89679192638437,443.08858856703364,3.8082033713564685,163,98,65,0.7599254105993304,1.0
VIPV20_Wp1000,1860579,20,1000,453.17018826561946,453.17018826602464,4.0980989807469476e-09,94,56,38,0.5803153159865699,0.7147666795760588
VIPV20_Wp1000,1860612,20,1000,579.6505415647442,579.6505415677731,1.051638922840255e-08,76,42,34,0.792982637680598,0.9184857783762272
VIPV20_Wp1000,1860975,20,1000,575.9099210736632,547.768020120666,28.141900960553606,187,112,75,0.7783281841142023,1.0
VIPV20_Wp1000,1861422,20,1000,512.2771533614368,428.2925254464825,83.98462791813131,135,77,58,0.7936741672351384,1.0
VIPV20_Wp1000,1861550,20,1000,433.472577348274,433.4725773481553,4.4171796436354335e-09,144,84,60,0.6363049915884295,0.8069695210281665
VIPV20_Wp1000,1861868,20,1000,260.9868242055934,260.98682420680126,3.063597665480361e-09,79,42,37,0.39421100580483626,0.6646375054583962
VIPV20_Wp1000,1861903,20,1000,585.9117233286963,517.4408288161897,68.4708945194772,79,42,37,0.7745695370708598,1.0
VIPV20_Wp1000,1862594,20,1000,462.1485670296846,462.1470838599724,0.0014831778239330132,51,28,23,0.6686896966186611,1.0
VIPV20_Wp1000,1862724,20,1000,454.82307870165533,454.8230787006762,8.28261573755451e-09,178,112,66,0.6297373284514745,0.784895002790441
VIPV20_Wp1000,1862804,20,1000,475.5597638285407,453.3705785529243,22.18918528287965,79,49,30,0.6949689411044467,1.0
VIPV20_Wp1000,1862858,20,1000,441.5057595325662,421.9480729227297,19.557686617864242,159,98,61,0.7502098296804507,1.0
VIPV20_Wp1000,1862884,20,1000,405.2355555948999,405.23555559620786,8.980976792413853e-09,94,56,38,0.5967842374644419,0.6881776283233647
VIPV20_Wp1000,1862999,20,1000,457.4419997459956,457.2446577361106,0.19734201545970856,118,70,48,0.8101550733423314,1.0
VIPV20_Wp1000,1863032,20,1000,604.4906452388077,602.571804393936,1.9188408507658712,151,84,67,0.7555180790593454,1.0
VIPV20_Wp1000,1863615,20,1000,429.1771453749521,421.8895674289732,7.287577956269161,98,56,42,0.5346446871187475,0.6826666666666666
VIPV20_Wp1000,1863811,20,1000,551.169437898931,527.9217539256093,23.247683983336756,99,56,43,0.7900643018266779,1.0
VIPV20_Wp1000,1864249,20,1000,534.0733108982548,505.9478419210021,28.12546898876811,113,70,43,0.8240537185277398,1.0
VIPV20_Wp1000,1864676,20,1000,415.06056194394506,395.65125296953215,19.40930898235181,95,56,39,0.651424947700864,1.0
VIPV20_Wp1000,1864710,20,1000,445.48770385939935,402.7787993544287,42.70890450927433,76,42,34,0.7239673205416456,1.0
VIPV20_Wp1000,1864958,20,1000,443.98624764512886,443.98624764648855,3.507264596600627e-09,218,140,78,0.4852554089124189,0.6905494605555321
VIPV20_Wp1000,1865518,20,1000,551.1949155644439,518.8237248397213,32.37119073650344,176,105,71,0.6895745121932851,1.0
VIPV20_Wp1000,1865867,20,1000,400.0269072492064,366.0362640882056,33.99064316829637,139,91,48,0.8229599459314227,1.0
VIPV20_Wp1000,1866088,20,1000,423.1412903008734,423.1412903011091,4.318509305546148e-09,95,56,39,0.6364321248681719,0.7560660725062862
VIPV20_Wp1000,1866162,20,1000,410.926263206576,364.6191894609929,46.307073749840995,144,84,60,0.7785431160694782,1.0
VIPV20_Wp1000,1866176,20,1000,537.2635539533334,513.4967774774559,23.766776482250744,216,133,83,0.727663093402419,1.0
VIPV20_Wp1000,1866210,20,1000,340.90355162131647,340.8984777790765,0.0050738498155503235,90,56,34,0.6506468765797148,1.0
VIPV20_Wp1000,1866416,20,1000,581.1325723127992,574.1087163344046,7.023855989110677,158,98,60,0.7380600640563767,1.0
VIPV20_Wp1000,1866541,20,1000,542.7278347397755,534.5281214384029,8.199713312108702,344,224,120,0.6723732984874924,1.0
VIPV20_Wp1000,1866545,20,1000,570.5462976085375,570.5336821946233,0.012615423885577568,141,84,57,0.6745730979268494,1.0
VIPV20_Wp1000,1866585,20,1000,549.2142476085966,529.8234684861307,19.390779132531463,62,28,34,0.6650955199669664,1.0
VIPV20_Wp1000,1866629,20,1000,458.9462813138273,445.16839460632195,13.777886714879449,179,112,67,0.7202528195333733,1.0
VIPV20_Wp1000,1866871,20,1000,409.980493106504,406.7813369156542,3.199156200892257,91,49,42,0.6967419496738381,1.0
VIPV20_Wp1000,1866896,20,1000,558.7360153897345,528.4508874781354,30.285127923003458,187,112,75,0.8138225871424933,1.0
VIPV20_Wp1000,1866916,20,1000,348.4647469097615,275.82629109496133,72.63845581974766,73,42,31,0.7635789269035718,1.0
VIPV20_Wp1000,1867330,20,1000,521.8831387794053,381.7860385814432,140.09710020654103,100,56,44,0.9071954839715353,1.0
VIPV20_Wp1000,1867571,20,1000,496.6635266474531,496.65988658168226,0.0036400737979831147,132,84,48,0.668924370783377,1.0
VIPV20_Wp1000,1867877,20,1000,415.4665771957625,328.2926607287188,87.17391647243159,92,56,36,0.773290635982119,1.0
VIPV20_Wp1000,1868467,20,1000,487.1943509087598,429.09681949721215,58.09753141980267,244,147,97,0.7574136029822537,1.0
VIPV20_Wp1000,1868606,20,1000,455.0889242819191,455.088924283097,8.259803202603946e-09,331,224,107,0.6544432605616618,0.8267280257499342
VIPV20_Wp1000,1868633,20,1000,449.02034654315435,449.02034654476444,6.38454753890947e-09,80,42,38,0.5415580585716269,0.7106334937685677
VIPV20_Wp1000,1868837,20,1000,505.86314556583613,505.8631455665491,5.02681071647986e-09,134,77,57,0.5868482452027409,0.7497409155471214
VIPV20_Wp1000,1868943,20,1000,479.98630191156855,450.073914619184,29.912387296324347,85,49,36,0.80192275469684,1.0
VIPV20_Wp1000,1869279,20,1000,570.1013747195467,570.1013747205794,1.033886407553978e-08,167,98,69,0.6660630336593918,0.7519549037909488
VIPV20_Wp1000,1869489,20,1000,414.0235144764723,414.01492006612216,0.008594417951242269,75,42,33,0.7185290524700105,1.0
VIPV20_Wp1000,1870094,20,1000,468.73635996060625,465.89059695356127,2.8457630119367985,171,105,66,0.6793702576670544,1.0
VIPV20_Wp1000,1870746,20,1000,560.1198851646719,438.5307960928935,121.58908907591595,248,154,94,0.7659952995153345,1.0
VIPV20_Wp1000,1870904,20,1000,354.40646924105073,348.97440027991985,5.432068966055554,91,49,42,0.7670492168884921,1.0
VIPV20_Wp1000,1870983,20,1000,509.5567046865089,481.0858714851225,28.470833211595693,168,98,70,0.6627351829538495,1.0
VIPV20_Wp1000,1871025,20,1000,496.26602837415106,407.8021732889748,88.46385509049465,160,98,62,0.7405735270588799,1.0
VIPV20_Wp1000,1871093,20,1000,265.0085722320806,265.00857223369536,6.535167543634609e-09,69,42,27,0.6950050081592506,0.7421389057913567
VIPV20_Wp1000,1871126,20,1000,476.69823475650134,462.41019930992604,14.288035450544953,200,126,74,0.6794308780493017,1.0
VIPV20_Wp1000,1871277,20,1000,421.81539664613916,421.8153966465219,5.479208717552938e-09,183,119,64,0.586082335443018,0.8536325181338243
VIPV20_Wp1000,1871406,20,1000,447.49464371021105,447.4946437121171,4.858856610960966e-09,243,154,89,0.5203103691522575,0.6806143508149511
VIPV20_Wp1000,1871439,20,1000,480.2072218335438,480.1144570123866,0.0927648253507988,233,161,72,0.6766232193108902,1.0
VIPV20_Wp1000,1871903,20,1000,501.84314928142544,468.0466041849532,33.79654510313371,221,140,81,0.814757913235687,1.0
VIPV20_Wp1000,1871930,20,1000,593.040544759748,302.35256106604044,290.6879837038964,109,56,53,0.8346910736896673,1.0
VIPV20_Wp1000,1872157,20,1000,441.3879285326547,421.48551934183035,19.902409196144024,165,98,67,0.677657874794802,1.0
VIPV20_Wp1000,1872181,20,1000,521.2577913874951,505.78549685602655,15.472294536378957,114,70,44,0.7613903679832479,1.0
VIPV20_Wp1000,1872553,20,1000,598.2400338992329,509.373663371274,88.86637053378313,94,49,45,0.731186052247,1.0
VIPV20_Wp1000,1872692,20,1000,447.2864835793885,379.9652316547769,67.32125192910657,87,49,38,0.7916235487472194,1.0
VIPV20_Wp1000,1872751,20,1000,400.2825992263014,400.2776135431269,0.004985687838276837,120,77,43,0.7317436576539186,1.0
VIPV20_Wp1000,1872878,20,1000,494.5788503126444,494.5592693240824,0.019580998875094444,188,112,76,0.7143163099276133,1.0
VIPV20_Wp1000,1872890,20,1000,462.55157515459445,450.9932570380408,11.558318122945996,361,238,123,0.8009437202594031,1.0
VIPV20_Wp1000,1873052,20,1000,411.0286112162074,410.7357905694353,0.2928206519903087,78,49,29,0.6263272420141098,1.0
VIPV20_Wp1000,1873082,20,1000,538.106698603291,495.28530009881666,42.82139851303538,78,42,36,0.7580844030582438,1.0
VIPV20_Wp1000,1873341,20,1000,505.429301560735,505.42930156402315,7.1974103275812464e-09,172,105,67,0.5493739905549857,0.7653333333333333
VIPV20_Wp1000,1873488,20,1000,418.3921553374332,418.39215533718857,4.305925552128523e-09,71,42,29,0.5470732279005697,0.7290834864639603
VIPV20_Wp1000,1873717,20,1000,470.9630562085503,398.44392037590967,72.51913584249581,136,84,52,0.7710739954751474,1.0
