Scenario,Adoption_pct,System_Wp,Fleet_nominal_Wp_per_EV,Annual_external_demand_GWh,Annual_home_GWh,Annual_public_GWh,Annual_home_share,Annual_public_share,Weighted_peak_MW,Mean_seasonal_load_factor,Seasonal_demand_range_pct,Avoided_external_charging_GWh,Avoided_external_charging_pct,VIPV_equipped_vehicles,Implied_useful_VIPV_kWh_per_equipped_vehicle_year,Implied_specific_yield_kWh_per_kWp_year,Implied_VIPV_km_per_equipped_vehicle_year
noVIPV,0,0,0.0,208.58764480915713,122.48725088642908,86.10039392272805,0.5872219852642577,0.4127780147357423,42.52996990350188,0.5608495927093956,0.007746741885661581,0.0,0.0,0.0,0.0,0.0,0.0
VIPV20_Wp400,20,400,80.0,203.86792346907467,119.65795335037559,84.2099701186991,0.5869385988449863,0.4130614011550138,41.35134783420473,0.5636542873211103,0.02464608235653437,4.719721340082458,0.022627041713811323,21188.0,222.75445252418623,556.8861313104655,1178.5949869004562
VIPV20_Wp700,20,700,140.0,202.40547910473802,118.51755216125365,83.88792694348439,0.5855451773611563,0.4144548226388437,40.84957071663157,0.5668182160469418,0.034304373146056236,6.182165704419106,0.029638216156452353,21188.0,291.77674648004086,416.8239235429155,1543.7923094182056
VIPV20_Wp1000,20,1000,200.0,200.06019005925745,117.72450700682026,82.33568305243718,0.5884454422039211,0.41155455779607875,40.406198668454316,0.5659109701154595,0.055195833317293753,8.527454749899675,0.04088187849142115,21188.0,402.4662426798035,402.4662426798035,2129.4510194698596
VIPV50_Wp400,50,400,200.0,198.59318731180392,116.5877144914024,82.00547282040155,0.5870680463391339,0.41293195366086627,40.66695869088959,0.5588521832316491,0.0610272226313693,9.99445749735321,0.04791490649648702,52970.0,188.68147059379288,471.7036764844822,998.3146592264173
VIPV50_Wp700,50,700,350.0,192.67328884597046,113.33048094841347,79.34280789755698,0.588200272218396,0.4117997277816039,39.55287612477354,0.5573015436640059,0.09690364135425748,15.914355963186665,0.0762957747461369,52970.0,300.44092813265365,429.201325903791,1589.634540384411
VIPV50_Wp1000,50,1000,500.0,186.80141958672854,109.8445050005939,76.95691458613464,0.5880282132952157,0.4119717867047843,38.39361705347849,0.5570481279393875,0.1275434268046306,21.786225222428584,0.10444638388031771,52970.0,411.2936609860031,411.2936609860031,2176.156936433879
VIPV80_Wp400,80,400,320.0,192.30915735279072,113.75305214596669,78.55610520682401,0.5915113648867327,0.4084886351132672,38.9110847554144,0.5653280336426992,0.10213462921960789,16.278487456366406,0.07804147494574794,84752.0,192.07201548478392,480.18003871195975,1016.254050184042
VIPV80_Wp700,80,700,560.0,183.3900795702709,108.0622999633949,75.32777960687599,0.5892483400226014,0.4107516599773986,37.21886872896038,0.563823679215105,0.16071815895490602,25.197565238886227,0.12080085214030874,84752.0,297.30938784791186,424.7276969255884,1573.065544168846
VIPV80_Wp1000,80,1000,800.0,174.03819358630346,102.24291529712308,71.79527828918044,0.5874740089532245,0.4125259910467757,35.7995698743969,0.556307917638882,0.2222801125521358,34.54945122285366,0.1656351758248383,84752.0,407.653521130518,407.653521130518,2156.896937198508
