Scenario,Observed_vehicle_count,Vehicle_stored_Gini_observed,Vehicle_stored_top10_share_observed,P50_stored_kWh_vehicle_year,P90_stored_kWh_vehicle_year,P95_stored_kWh_vehicle_year,Mean_stored_kWh_vehicle_year_observed
VIPV20_Wp1000,2119,0.11006063575731638,0.13395921082123935,461.35845977991573,568.9692452214766,605.8030204946301,458.7788762681379
VIPV20_Wp400,2119,0.1089241059472195,0.13303378918309625,186.20473977781157,228.6912326368136,242.18410424334974,185.08244040805604
VIPV20_Wp700,2119,0.10543122295285506,0.13284761796164263,323.5689190473989,397.1621775782409,419.58434951999584,321.37834254473415
VIPV50_Wp1000,5297,0.10694186091509186,0.13268082415873828,460.0924712569219,563.814754794809,595.8728500856747,456.9565662398571
VIPV50_Wp400,5297,0.11090851130260809,0.13386436889865116,185.42287118150102,228.34472852685073,241.89802312383142,183.99192786783996
VIPV50_Wp700,5297,0.10790326637647095,0.13307170983694047,324.48361456745596,399.7932459599534,420.16054279426817,322.52295548349537
VIPV80_Wp1000,8475,0.10779967036378431,0.13286298467076763,461.7664435608399,567.0140660253068,598.5840296537892,458.06623919272965
VIPV80_Wp400,8475,0.10725110823777197,0.1329473554002509,185.6578574320484,227.73666914809792,240.8673997368534,184.31622814993244
VIPV80_Wp700,8475,0.11042584645133043,0.13357731841118012,324.27883402842235,399.3732024195888,421.73830824137167,321.7307293888585
