Scenario,System_Wp,Implied_useful_VIPV_kWh_per_equipped_vehicle_year,Implied_specific_yield_kWh_per_kWp_year,Implied_VIPV_km_per_equipped_vehicle_year,Within_Karoui_specific_yield_range
VIPV20_Wp400,400,222.75445252418623,556.8861313104655,1178.5949869004562,True
VIPV20_Wp700,700,291.77674648004086,416.8239235429155,1543.7923094182056,True
VIPV20_Wp1000,1000,402.4662426798035,402.4662426798035,2129.4510194698596,True
VIPV50_Wp400,400,188.68147059379288,471.7036764844822,998.3146592264173,True
VIPV50_Wp700,700,300.44092813265365,429.201325903791,1589.634540384411,True
VIPV50_Wp1000,1000,411.2936609860031,411.2936609860031,2176.156936433879,True
VIPV80_Wp400,400,192.07201548478392,480.18003871195975,1016.254050184042,True
VIPV80_Wp700,700,297.30938784791186,424.7276969255884,1573.065544168846,True
VIPV80_Wp1000,1000,407.653521130518,407.653521130518,2156.896937198508,True
