Scenario,Adoption_pct,System_Wp,Produced_VIPV_kWh_per_equipped_vehicle_year,Stored_VIPV_kWh_per_equipped_vehicle_year,Wasted_VIPV_kWh_per_equipped_vehicle_year,Produced_specific_yield_kWh_per_kWp_year,Stored_specific_yield_kWh_per_kWp_year,Wasted_specific_yield_kWh_per_kWp_year,PV_stored_share,PV_wasted_share,Avoided_external_charging_kWh_per_equipped_vehicle_year,Avoided_specific_displacement_kWh_per_kWp_year,Behavioural_capture_ratio_avoided_to_stored,Stored_yield_within_Karoui_useful_range,Stored_yield_relative_to_Karoui_realistic,Within_Karoui_specific_yield_range
VIPV20_Wp400,20,400,198.12557958782682,185.09991090460204,13.025668688776893,495.31394896956704,462.749777261505,32.56417172194223,0.9342554923482221,0.06574450767980095,222.75445252418623,556.8861313104655,1.2034281995899547,True,1.4294844604513819,True
VIPV20_Wp700,20,700,343.7237188890203,321.4086784275494,22.31504046771191,491.0338841271718,459.15525489649906,31.878629239588445,0.9350785551442382,0.06492144487391886,291.77674648004086,416.8239235429155,0.9078060614527307,True,1.4183805893832446,True
VIPV20_Wp1000,20,1000,493.0200121696072,458.82218180676995,34.19783037032479,493.0200121696072,458.82218180676995,34.19783037032479,0.9306360197989841,0.06936398021620299,402.4662426798035,402.4662426798035,0.8771725924299353,True,1.4173516903337844,True
VIPV50_Wp400,50,400,196.6451396311395,183.99192786783993,12.65321176881442,491.61284907784875,459.97981966959986,31.63302942203605,0.9356545918854946,0.06434540814255008,188.68147059379288,471.7036764844822,1.02548776340515,True,1.4209277597714371,True
VIPV50_Wp700,50,700,344.8743287424783,322.52295548349537,22.351373265191892,492.6776124892548,460.74707926213625,31.93053323598842,0.9351898027885021,0.0648101972295013,300.44092813265365,429.201325903791,0.931533470795161,True,1.423297908215708,True
VIPV50_Wp1000,50,1000,490.67699580190566,456.95656623985707,33.72042956954081,490.67699580190566,456.95656623985707,33.72042956954081,0.931277745134679,0.06872225488059013,411.2936609860031,411.2936609860031,0.9000716728296547,True,1.4115886006617366,True
VIPV80_Wp400,80,400,196.75480687195414,184.31187860707445,12.442928270382884,491.8870171798853,460.7796965176861,31.107320675957208,0.9367592158854986,0.06324078414247132,192.07201548478392,480.18003871195975,1.0421032921825562,True,1.4233986664704759,True
VIPV80_Wp700,80,700,344.0240803386865,321.72313710243714,22.30094324246418,491.4629719124092,459.6044815749102,31.858490346377394,0.9351762143676269,0.0648237856504383,297.30938784791186,424.7276969255884,0.924115655857378,True,1.4197682995185346,True
VIPV80_Wp1000,80,1000,491.60562914078344,458.0554296250689,33.550199523212605,491.60562914078344,458.0554296250689,33.550199523212605,0.9317538337094456,0.06824616630580664,407.653521130518,407.653521130518,0.8899654818286811,True,1.4149831093368463,True
